candidate_id,block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff
hexc_00072,73,40882169,40877269,4900,40878725,1456,-4580.405233936927,-4551.2191751965975,-29.186058740329827,29.186058740329827
hexc_00072,73,40882169,40877269,4900,40879124,1855,-4936.812938927236,-4850.317606594764,-86.49533233247257,86.49533233247257
hexc_00072,73,40882169,40877269,4900,40879634,2365,-5287.734411033838,-5232.623872291668,-55.11053874217032,55.11053874217032
hexc_00072,73,40882169,40877269,4900,40880284,3015,-5767.6552280559135,-5719.876956023018,-47.778272032895984,47.778272032895984
hexc_00072,73,40882169,40877269,4900,40881113,3844,-6491.242944958817,-6341.312042812691,-149.93090214612585,149.93090214612585
hexc_00072,73,40882169,40877269,4900,40882169,4900,-7132.910898843928,-7132.910898843928,0.0,0.0
hexc_00073,74,1186291,1186290,1,1186290,0,-653.3515415969134,-653.3515415969134,0.0,0.0
hexc_00073,74,1186291,1186290,1,1186291,1,-667.0145337229201,-667.0145337229201,0.0,0.0
hexc_00074,75,113195507,113182659,12848,113182659,0,-5799.97247180605,-5799.97247180605,0.0,0.0
hexc_00074,75,113195507,113182659,12848,113182660,1,-5799.82876066605,-5800.7421226236,0.9133619575504781,0.9133619575504781
hexc_00074,75,113195507,113182659,12848,113182661,2,-5818.049924141673,-5801.5117734411515,-16.538150700521328,16.538150700521328
hexc_00074,75,113195507,113182659,12848,113182662,3,-5818.049924141673,-5802.281424258702,-15.7684998829709,15.7684998829709
hexc_00074,75,113195507,113182659,12848,113182663,4,-5817.726574076673,-5803.051075076252,-14.675499000421041,14.675499000421041
hexc_00074,75,113195507,113182659,12848,113182664,5,-5817.683817043285,-5803.820725893804,-13.863091149481079,13.863091149481079
hexc_00074,75,113195507,113182659,12848,113182666,7,-5817.216755838284,-5805.3600275289045,-11.856728309379832,11.856728309379832
hexc_00074,75,113195507,113182659,12848,113182667,8,-5816.893405773285,-5806.129678346456,-10.763727426829064,10.763727426829064
hexc_00074,75,113195507,113182659,12848,113182668,9,-5816.86279274938,-5806.899329164006,-9.963463585373574,9.963463585373574
hexc_00074,75,113195507,113182659,12848,113182669,10,-5835.083956295685,-5807.668979981557,-27.41497631412858,27.41497631412858
hexc_00074,75,113195507,113182659,12848,113182670,11,-5835.083956295685,-5808.438630799108,-26.645325496577243,26.645325496577243
hexc_00074,75,113195507,113182659,12848,113182674,15,-5834.290467333216,-5811.517234069311,-22.77323326390524,22.77323326390524
hexc_00074,75,113195507,113182659,12848,113182675,16,-5833.9671172682165,-5812.286884886861,-21.68023238135538,21.68023238135538
hexc_00074,75,113195507,113182659,12848,113182679,20,-5832.969761956616,-5815.365488157065,-17.604273799551265,17.604273799551265
hexc_00074,75,113195507,113182659,12848,113182685,26,-5831.849828118811,-5819.983393062368,-11.866435056443152,11.866435056443152
hexc_00074,75,113195507,113182659,12848,113182691,32,-5849.073360901825,-5824.6012979676725,-24.472062934152746,24.472062934152746
hexc_00074,75,113195507,113182659,12848,113182693,34,-5848.750010836825,-5826.140599602774,-22.60941123405064,22.60941123405064
hexc_00074,75,113195507,113182659,12848,113182703,44,-5865.254155371919,-5833.837107778281,-31.417047593638017,31.417047593638017
hexc_00074,75,113195507,113182659,12848,113182717,58,-5880.83241716576,-5844.612219223992,-36.220197941767765,36.220197941767765
hexc_00074,75,113195507,113182659,12848,113182723,64,-5898.26082786347,-5849.230124129296,-49.030703734173585,49.030703734173585
hexc_00074,75,113195507,113182659,12848,113182735,76,-5895.883938160877,-5858.465933939905,-37.41800422097185,37.41800422097185
hexc_00074,75,113195507,113182659,12848,113182758,99,-5909.706688846034,-5876.167902743571,-33.538786102462836,33.538786102462836
hexc_00074,75,113195507,113182659,12848,113182787,128,-5922.025294866741,-5898.487776452543,-23.53751841419853,23.53751841419853
hexc_00074,75,113195507,113182659,12848,113182789,130,-5921.684043068039,-5900.0270780876435,-21.65696498039506,21.65696498039506
hexc_00074,75,113195507,113182659,12848,113182829,170,-5931.944602535391,-5930.813110789673,-1.1314917457175397,1.1314917457175397
hexc_00074,75,113195507,113182659,12848,113182882,223,-5958.408871494052,-5971.6046041198615,13.195732625809796,13.195732625809796
hexc_00074,75,113195507,113182659,12848,113182951,292,-6018.233351577207,-6024.710510530861,6.477158953653998,6.477158953653998
hexc_00074,75,113195507,113182659,12848,113183042,383,-6055.411333169743,-6094.748734927977,39.33740175823459,39.33740175823459
