rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_end,C_best,C_gap,E_end_over_h,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,best_residual_fraction,slope_gap_abs,intercept_gap_abs,pythagorean_abs_error
endpoint_residual_fraction,21,hexc_00030,31,7108243,7105465,2778,7108243,finite_negative,False,False,False,True,3.0610536895683746,2.8642148070887212,1.0799644574123346,9.370049690420158,8.20372646114628,1.166323229273918,0.0001830505303507334,0.00016026558334055483,0.010988602273698689,1.812086857767099,
endpoint_residual_fraction,22,hexc_00044,45,12836777,12833438,3339,12836777,finite_negative,False,False,False,True,3.2472701683812866,3.2265653621243278,0.3661140674687296,10.544763546459029,10.410724036060493,0.13403951039849749,0.00016592655673394301,0.00016381738526426116,0.0014719786975052607,2.659453968979051,
endpoint_residual_fraction,23,hexc_00054,55,12895717,12894136,1581,12895717,finite_negative,False,False,False,True,4.173567953245754,3.506241972803063,2.2638323013231196,17.418669460359947,12.293732771845916,5.124936688513932,0.00015891694966435195,0.00011216026095084185,0.01987867299532642,8.13774952485278,
endpoint_residual_fraction,24,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,3.8932817375441644,3.5576645063146755,1.5813494074376655,15.157642687894906,12.656976739491244,2.500665948403456,0.00015270097539979443,0.00012750879101249224,0.0009537870633524737,21.68075716053363,
endpoint_residual_fraction,25,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,4.9381612598933655,3.7473615742145925,3.216009617649237,24.385436628711634,14.042718767900068,10.342717860812392,0.00015172443417858675,8.737278695596712e-05,0.028244306607341008,6.446846595234547,
best_residual_fraction,1,hexc_00004,5,356077,355293,784,356077,finite_negative,False,False,False,True,4.659963846370249,2.9578124362820146,3.600917749859537,21.7152630494778,8.748654408224548,12.96660864125347,0.0013550898740644507,0.0005459391844926093,0.054506233117118774,5.888014534602803,
best_residual_fraction,2,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.12859076935284,4.25147562841261,5.722041710606102,50.81680635690252,18.0750450189864,32.741761337916,0.0013147173309265249,0.0004676321998049124,0.017443084023894606,19.075913015040214,
best_residual_fraction,3,hexc_00005,6,3448507,3446024,2483,3448507,finite_negative,False,False,False,True,3.950072758850855,3.614619717675169,1.59298433664912,15.603074800215605,13.065475703406118,2.537599096809437,0.0004159678813378587,0.000348317130860772,0.01790899170829474,1.5608927613905053,
best_residual_fraction,4,hexc_00055,56,1511449,1511046,403,1511527,finite_positive,False,False,False,True,4.441210001223139,4.2091343268334205,1.416874904018333,19.724346274964436,17.71681178132743,2.007534493636961,0.00037510683112807467,0.00033692863795549313,0.047537801403058855,3.9483599705058623,
best_residual_fraction,5,hexc_00018,19,1515197,1513853,1344,1515197,finite_negative,False,False,False,True,3.636778227344154,2.619131084290481,2.5231544221842306,13.226155874884487,6.859847636696631,6.366308238187839,0.0005320069009106019,0.00027592947765329166,0.02596736746661743,7.444362017841513,
best_residual_fraction,6,hexc_00001,2,24181,24178,3,24317,finite_positive,False,False,False,True,2.659038437627159,2.5225853545608086,0.8408617851549579,7.070485412778683,6.363436871044681,0.7070485417339826,0.00029921548732170635,0.00026929393857023264,0.6513287378108803,0.9769724284698782,
best_residual_fraction,7,hexc_00011,12,3279709,3278912,797,3279709,finite_negative,False,False,False,True,5.722357435883904,4.133982042993461,3.956711651387374,32.74537462401581,17.089807531792392,15.6555670922246,0.00046694207578390354,0.00024369701966365498,0.011114091169549312,16.789431784330645,
best_residual_fraction,8,hexc_00013,14,1195591,1195386,205,1195669,finite_positive,False,False,False,True,5.836408019379565,4.281353402000997,3.966569250101652,34.0636585686781,18.32998695282551,15.733671615851984,0.0004154153049167087,0.00022353902778161853,0.129358145968842,0.7391312597837896,
best_residual_fraction,9,hexc_00017,18,3241093,3239129,1964,3241093,finite_negative,False,False,False,True,3.3271702735937883,2.736557939211929,1.8924356461508107,11.070062029486163,7.488749354663839,3.581312674822237,0.0003223417146451283,0.00021805987185078015,0.028734019609961803,5.281587750125254,
best_residual_fraction,10,hexc_00031,32,3293113,3292080,1033,3293113,finite_negative,False,False,False,True,3.2301092922063503,3.00383588207035,1.187676737662406,10.433606039597809,9.023030006413357,1.4105760331844157,0.00021675431711153253,0.0001874501203030266,0.02499098096517527,3.9677645549827503,
best_residual_fraction,11,hexc_00047,48,3440630,3439819,811,3440807,finite_positive,False,False,False,True,4.499584798782631,3.2896231832263045,3.069958089912055,20.24626336143573,10.821620687619964,9.424642673816473,0.00031206758182784027,0.0001668000133731448,0.041388528793852575,17.183296326199525,
best_residual_fraction,12,hexc_00044,45,12836777,12833438,3339,12836777,finite_negative,False,False,False,True,3.2472701683812866,3.2265653621243278,0.3661140674687296,10.544763546459029,10.410724036060493,0.13403951039849749,0.00016592655673394301,0.00016381738526426116,0.0014719786975052607,2.659453968979051,
best_residual_fraction,13,hexc_00066,67,39699197,39695992,3205,39699197,finite_negative,False,False,False,True,5.402608236258769,5.027739452597902,1.9773749647656715,29.188175754491084,25.27816400320945,3.910011751282041,0.0001871865445184669,0.00016211126763562186,0.005115422576909667,16.215209849962775,
best_residual_fraction,14,hexc_00030,31,7108243,7105465,2778,7108243,finite_negative,False,False,False,True,3.0610536895683746,2.8642148070887212,1.0799644574123346,9.370049690420158,8.20372646114628,1.166323229273918,0.0001830505303507334,0.00016026558334055483,0.010988602273698689,1.812086857767099,
best_residual_fraction,15,hexc_00007,8,3452747,3451296,1451,3452747,finite_negative,False,False,False,True,3.8756857759435848,2.793059515889247,2.68696088072604,15.020940233851428,7.801181459299474,7.219758774552058,0.0003049414510545176,0.00015837248248796342,0.028133727126825714,7.7130230243692495,
