scope,rows,Qmax,Qmean,Qmedian,Q95,Q99,pass_Q_le_1_frac,pass_Q_le_0p75_frac,pass_Q_le_0p5_frac,pass_Q_le_0p25_frac,theta_local_norm_max,theta_local_norm_median,median_h,median_p_star,best_k4_corr_proxy_median,worst_block_id,worst_p_star,worst_h
pstar_mod_30:29,180,0.1648068982246287,0.06064764969644373,0.05792493113391755,0.07663572078172465,0.12583735972841312,1.0,1.0,1.0,1.0,0.135776208151487,0.0538871248052571,1.0,39666674.0,0.0011831109281738,106,479,1
y_mod_30:28,176,0.1648068982246287,0.06119030113640474,0.057874462950152444,0.08257338801027035,0.12595831071586702,1.0,1.0,1.0,1.0,0.135776208151487,0.0538909706454154,1.0,39693614.0,0.00118293117681385,106,479,1
pstar_mod_30:13,175,0.1551610461475472,0.05910129196105487,0.0576454444892701,0.07256178832185921,0.08945127868754292,1.0,1.0,1.0,1.0,0.1299853261832927,0.0538884743806344,1.0,39691573.0,0.0011829942530847,202,673,1
y_mod_30:12,168,0.1551610461475472,0.058765617944413574,0.05758172232612195,0.07164494090643557,0.08611930826324204,1.0,1.0,1.0,1.0,0.1299853261832927,0.053887858669819294,1.0,39683128.0,0.0011790883567304,202,673,1
depth:0.55-0.60,17,0.1389495863976313,0.09058248425921948,0.0917954514179663,0.1258037042804357,0.13632040997419217,1.0,1.0,1.0,1.0,0.1167037763024239,0.0736954721948265,3.0,356243.0,0.0025588807575882,37,1657,1
pstar_mod_30:17,158,0.1225172337511368,0.06024812264305604,0.05811908844703455,0.08003588126452049,0.1161688490331302,1.0,1.0,1.0,1.0,0.1019121772932965,0.05434985323136535,1.0,33892097.0,0.00120466952464895,48,3440807,811
mu:0.10-0.25,15,0.1225172337511368,0.06636387441246609,0.0572404470284414,0.10345708571734585,0.1187052041443786,1.0,1.0,1.0,1.0,0.0766406167450937,0.0511003197001628,1.0,30784867.0,0.001056703261255,48,3440807,811
h:257<=h<=1024,9,0.1225172337511368,0.07858957794821722,0.0675855848506355,0.11162572058897055,0.12033893111870354,1.0,1.0,1.0,1.0,0.0141239471794488,0.0047083460199858,350.0,31026421.0,-0.0021967627903795,48,3440807,811
y_mod_30:19,1,0.1225172337511368,0.1225172337511368,0.1225172337511368,0.1225172337511368,0.1225172337511368,1.0,1.0,1.0,1.0,0.0072712465886281,0.0072712465886281,811.0,3440807.0,-0.004195654339344,48,3440807,811
y_mod_30:16,162,0.1166604661931528,0.059630493002358266,0.0581474087260119,0.07330662120521399,0.08445107563978174,1.0,1.0,1.0,1.0,0.1019121772932965,0.054352327754149846,1.0,33913142.0,0.00120466952464895,1136,5897,1
h:2<=h<=4,61,0.1157979799474991,0.066789112661539,0.063077134089216,0.0917954514179663,0.10297004611857292,1.0,1.0,1.0,1.0,0.0972921006486078,0.0573214083021299,3.0,33862799.0,0.0016817872224629,2,24317,3
depth:>=0.70,2,0.1157979799474991,0.1039981167584101,0.1039981167584101,0.1146179936285902,0.11556198268371733,1.0,1.0,1.0,1.0,0.0972921006486078,0.0899657196264574,2.0,42119.0,0.0035462440268359497,2,24317,3
