extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_exc,Q_energy_L2,Q_energy_RMS,kappa_L2,kappa_RMS,bridge_argmax_location_fraction,threshold_relevant_flag,forbidden_flag,finite_certified_flag,threshold_relevance_non_surviving_flag,energy_L2_above_0p025_flag,high_energy_harmless_flag,harmful_concentration_flag
top_kappa_L2,hexc_00341,342,40863883,40863879,4,40864051,positive,finite_positive,0.0574566735917498,0.014176984271913,0.0199670866976149,0.0089295526336997,0.7100176649008322,1.5876477639439344,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00428,429,108831199,108831195,4,108831299,positive,finite_positive,0.055060010476967,0.0134309492743368,0.0189204808195844,0.0084614962559143,0.7098629999103702,1.5873019225115204,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00619,620,109709029,109709025,4,109709357,positive,finite_positive,0.0536476402628444,0.0134251522178237,0.0189123463606488,0.0084578584152863,0.709861799367085,1.587299238015118,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00459,460,178299031,178299027,4,178299217,positive,finite_positive,0.0536908999369261,0.0130839545118638,0.0184335280556581,0.0082437243595202,0.7097911193320223,1.5871411926520687,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00423,424,178906843,178906839,4,178907011,positive,finite_positive,0.0537613436683464,0.0130816248069056,0.0184302583442049,0.0082422621001049,0.7097906368208294,1.587140113724254,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00448,449,178913599,178913595,4,178913689,positive,finite_positive,0.0532662829880072,0.013081599559448,0.0184302229129119,0.008242246254749,0.7097906314677971,1.587140101754503,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00525,526,179146273,179146269,4,179146433,positive,finite_positive,0.0531778236195784,0.0130807094930725,0.0184289737116236,0.0082416875949494,0.7097904472467818,1.5871396898237817,0.25,False,False,True,True,False,False,False
top_kappa_L2,hexc_00444,445,179382103,179382099,4,179382319,positive,finite_positive,0.0531359360204135,0.0130798087714223,0.0184277095556904,0.0082411222472292,0.7097902607968611,1.5871392729090925,0.25,False,False,True,True,False,False,False
top_high_energy_kappa_L2,hexc_00001,2,24181,24178,3,24317,positive,finite_positive,0.1157979799474991,0.0184358992034248,0.0260719675992124,0.0130359837996062,0.70711576075991,1.41423152151982,0.6666666666666666,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0205672364492246,0.0304825946938867,0.0101608648979622,0.674720661274592,2.0241619838237823,0.625,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0172880108593613,0.0289054037503281,0.0083442713181433,0.598089236486277,2.0718418901086366,0.7692307692307693,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00004,5,356077,355293,784,356077,negative,finite_negative,0.1566810093663226,0.0128661873649445,0.0285182984397066,0.0046883793831597,0.45115550607432625,2.744271807686652,0.826530612244898,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00011,12,3279709,3278912,797,3279709,negative,finite_negative,0.1060058846880691,0.0114062615417102,0.0254216307563309,0.0041792903519915,0.44868331426258445,2.7292340519664853,0.12296110414052698,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00013,14,1195591,1195386,205,1195669,positive,finite_positive,0.0899443884131837,0.0127144572989962,0.0298022102047381,0.0052683362325293,0.42662799878429125,2.4133724078753525,0.7219512195121951,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00081,82,12782500,12782006,494,12782599,negative,finite_negative,0.0796044258439215,0.0108684538700757,0.0277787667189073,0.0046297944531512,0.39125041007231653,2.347502460433908,0.694331983805668,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00026,27,1192781,1192323,458,1192781,negative,finite_negative,0.0967472985369818,0.0120403626533005,0.036413013628854,0.0061549226791826,0.33066097676023193,1.9562167196712064,0.24672489082969432,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00095,96,3438637,3438262,375,3438637,negative,finite_negative,0.0753076301542394,0.0091609752093495,0.0289409320608848,0.0048234886768141,0.3165404344986885,1.8992426069921442,0.3626666666666667,False,False,True,True,True,True,False
top_high_energy_kappa_L2,hexc_00087,88,3290641,3290318,323,3290641,negative,finite_negative,0.0705553720204413,0.0078480023338476,0.0270342406488881,0.0045696207015524,0.29029860449105616,1.717429705091598,0.09907120743034056,False,False,True,True,True,True,False
