scope,rows,Q_pp_max,Q_pp_mean,Q_pp_median,Q_pp_q95,Q_pp_q99,Q_bdy_max,Q_bdy_mean,Q_bdy_median,Q_bdy_q95,Q_bdy_q99,Q_leak_plus_max,Q_leak_plus_mean,Q_leak_plus_median,Q_leak_plus_q95,Q_leak_plus_q99,Q_o2p4_max,Q_o2p4_mean,Q_o2p4_median,Q_o2p4_q95,Q_o2p4_q99,O2_subtotal_before_o2p4,O2_total_with_o2p4_max,O2_margin_remaining,worst_block_id,worst_p_star,worst_h,worst_component,pass_Q_o2p4_le_0p05_frac,pass_Q_o2p4_le_0p10_frac,pass_Q_o2p4_le_0p25_frac,pass_Q_o2p4_le_1_frac,pass_O2_total_le_1
scale:p<100M,796,0.0001142102173859,1.4348017259535177e-07,0.0,0.0,0.0,0.016842403132266606,0.0003291232941939149,0.0,0.0,0.014384094103292801,0.0,0.0,0.0,0.0,0.0,0.016842403132266606,0.00032926677436651025,0.0,0.0,0.014384094103292801,0.0301511056,0.046993508732266605,0.9530064912677334,243,30781319,7,bdy,1.0,1.0,1.0,1.0,True
h:5<=h<=16,6,0.0,0.0,0.0,0.0,0.0,0.016842403132266606,0.005503661862080123,0.0,0.016676694359253487,0.016809261377663982,0.0,0.0,0.0,0.0,0.0,0.016842403132266606,0.005503661862080123,0.0,0.016676694359253487,0.016809261377663982,0.0301511056,0.046993508732266605,0.9530064912677334,243,30781319,7,bdy,1.0,1.0,1.0,1.0,True
depth:0.55-0.60,44,0.0,0.0,0.0,0.0,0.0,0.002296256544829283,0.00010393975893043375,0.0,0.0,0.002288016155239906,0.0,0.0,0.0,0.0,0.0,0.002296256544829283,0.00010393975893043375,0.0,0.0,0.002288016155239906,0.0301511056,0.03244736214482928,0.9675526378551708,58,1188511,3,bdy,1.0,1.0,1.0,1.0,True
h:1025<=h<=8192,75,0.0006293709991497,8.391613321996e-06,0.0,0.0,0.00016363645977892524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006293709991497,8.391613321996e-06,0.0,0.0,0.00016363645977892524,0.0301511056,0.0307804765991497,0.9692195234008503,153,108849263,1843,pp,1.0,1.0,1.0,1.0,True
h:8193<=h<=65536,18,0.0002713345538969,3.4633940285238884e-05,0.0,0.00024288641385830995,0.00026564492588918194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002713345538969,3.4633940285238884e-05,0.0,0.00024288641385830995,0.00026564492588918194,0.0301511056,0.030422440153896897,0.969577559846103,128,187449539,9358,pp,1.0,1.0,1.0,1.0,True
mu:0.05-0.10,14,0.0002713345538969,3.6371479124885716e-05,0.0,0.00024958009386739,0.000266983661890998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002713345538969,3.6371479124885716e-05,0.0,0.00024958009386739,0.000266983661890998,0.0301511056,0.030422440153896897,0.969577559846103,128,187449539,9358,pp,1.0,1.0,1.0,1.0,True
mu:0.018-0.05,6,0.0001142102173859,1.9035036230983335e-05,0.0,8.565766303942501e-05,0.00010849970651660502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001142102173859,1.9035036230983335e-05,0.0,8.565766303942501e-05,0.00010849970651660502,0.0301511056,0.0302653158173859,0.9697346841826141,3,30974597,64413,pp,1.0,1.0,1.0,1.0,True
depth:>=0.70,4,0.0001142102173859,5.2385120463894e-05,4.7665132234838e-05,0.0001113782244484664,0.00011364381879841328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001142102173859,5.2385120463894e-05,4.7665132234838e-05,0.0001113782244484664,0.00011364381879841328,0.0301511056,0.0302653158173859,0.9697346841826141,3,30974597,64413,pp,1.0,1.0,1.0,1.0,True
h:h>65536,3,9.5330264469676e-05,3.1776754823225336e-05,0.0,8.579723802270839e-05,9.342365918028248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5330264469676e-05,3.1776754823225336e-05,0.0,8.579723802270839e-05,9.342365918028248e-05,0.0301511056,0.030246435864469675,0.9697535641355303,1,180530237,684790,pp,1.0,1.0,1.0,1.0,True
mu:0.006-0.01,1,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,9.5330264469676e-05,0.0301511056,0.030246435864469675,0.9697535641355303,1,180530237,684790,pp,1.0,1.0,1.0,1.0,True
