rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,E_end_over_h,C_end,endpoint_residual_abs_max,residual_kappa,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,ddR_sq_over_h,distance_to_mean_template,ratio_E_end_to_h4_ddR_sq
endpoint_residual_abs_max,6,hexc_00104,105,604432601,604410439,22162,604432601,post_P0_negative_tail,True,False,False,False,8.960920759209884,2.9934797074992647,292.8305669368456,0.6571062751633134,5.896478156578562,3.0644426026311677,2.085054145308401e-05,,,
endpoint_residual_abs_max,7,hexc_00024,25,109813367,109790208,23159,109813367,finite_negative,False,False,False,True,8.634846295588307,2.938510897646682,238.2995725304463,0.5328881419791995,6.35677971199958,2.278066583588405,6.209563255379283e-05,,,
endpoint_residual_abs_max,8,hexc_00043,44,109588091,109577354,10737,109588091,finite_negative,False,False,False,True,15.678679785843316,3.959631268924332,235.67792012085735,0.5744109034619774,10.42657710012896,5.252102685714286,8.542050280370838e-05,,,
endpoint_residual_abs_max,9,hexc_00040,41,604672261,604520611,151650,604672261,threshold_relevant_negative,True,True,False,False,2.1482112713820967,1.4656777515477597,234.02143940953465,0.4100114107713506,1.3889573592259394,0.7592539121560398,6.803174577721121e-06,,,
endpoint_residual_abs_max,10,hexc_00039,40,30417481,30409154,8327,30417481,finite_negative,False,False,False,True,15.40448913963717,3.92485530174517,231.2263682727644,0.6456087763904885,9.196960398276564,6.20752874136119,0.0001863417947354,,,
endpoint_residual_abs_max,11,hexc_00020,21,30847123,30831334,15789,30847123,finite_negative,False,False,False,True,6.2899074929661465,2.5079687982441383,225.3338417937175,0.7150344719309789,6.002050217372547,0.2878572755936372,8.917534931222242e-05,,,
endpoint_residual_abs_max,12,hexc_00089,90,179641471,179630689,10782,179641471,finite_negative,False,False,False,True,15.780939239229737,3.972523031931941,218.7079087637612,0.5302105932417897,12.985167500879667,2.7957717383507013,6.206770650640575e-05,,,
endpoint_residual_abs_max,13,hexc_00086,87,109467389,109460158,7231,109467389,finite_negative,False,False,False,True,16.939920695091143,4.115813491290773,216.5692739450351,0.6187881288337602,8.817566304048034,8.12235439104332,7.629671252521604e-05,,,
endpoint_residual_abs_max,14,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,24.385436628711638,4.9381612598933655,209.64678474559517,0.6844817054532214,14.042718767900068,10.342717860812392,0.0001517244341785,,,
endpoint_residual_abs_max,15,hexc_00074,75,113195507,113182659,12848,113195507,finite_negative,False,False,False,True,15.290703682027832,3.9103329374911073,206.4591407930748,0.4658033585359626,14.83639698133902,0.4543067006886302,9.384499837790036e-05,,,
endpoint_residual_abs_max,16,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,34.159585568743275,5.844620224509312,195.88185471513864,0.48420004506123027,25.67240826983171,8.48717729891248,2.3668597395800266e-05,,,
endpoint_residual_abs_max,17,hexc_00009,10,178298621,178254856,43765,178298621,finite_negative,False,False,False,True,3.625913157323299,1.9041830682272385,189.86549926782936,0.47662178640804564,2.4761403408998333,1.1497728164236407,2.0921081111323995e-05,,,
endpoint_residual_abs_max,18,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,15.157642687894906,3.893281737544165,188.65092151155025,0.5425974551015369,12.656976739491244,2.500665948403456,0.0001527009753997,,,
endpoint_residual_abs_max,19,hexc_00056,57,179620853,179616870,3983,179620853,finite_negative,False,False,False,True,39.63680033772592,6.295776388796375,185.7346871182781,0.4674536668025877,19.190617873874707,20.44618246385102,6.583213712460457e-05,,,
endpoint_residual_abs_max,20,hexc_00094,95,178011341,178005997,5344,178011341,finite_negative,False,False,False,True,13.25031230808158,3.640097843201688,182.22731859912344,0.6848054416283162,11.921474015534162,1.3288382925473774,2.943906070270442e-05,,,
endpoint_residual_abs_max,21,hexc_00127,128,187449539,187440181,9358,187449539,finite_negative,False,False,False,True,11.35176751130126,3.36923841710575,179.56893819121797,0.5509446246675317,7.120960432721674,4.230807078579772,4.033259760632392e-05,,,
endpoint_residual_abs_max,22,hexc_00048,49,33902159,33888759,13400,33902159,finite_negative,False,False,False,True,4.863687769084277,2.205377012912821,173.36115126700133,0.6790731195850936,4.257730544596339,0.6059572244879774,6.635068265301394e-05,,,
endpoint_residual_abs_max,23,hexc_00090,91,179602723,179595316,7407,179602723,finite_negative,False,False,False,True,10.517250814500022,3.24303111525314,171.4226941933648,0.6141805070516664,8.075185985915436,2.4420648285850928,3.228752056577224e-05,,,
endpoint_residual_abs_max,24,hexc_00002,3,30974597,30910184,64413,30974597,finite_negative,False,False,False,True,2.1198781275965835,1.4559801260994545,169.26185381026153,0.45805421388823997,1.80891650713337,0.3109616204631139,1.782758293581249e-05,,,
endpoint_residual_abs_max,25,hexc_00218,219,604167899,604161649,6250,604167899,post_P0_negative_tail,True,False,False,False,20.10987695079955,4.484403745293186,163.43243421316038,0.4609921541535296,16.793913649093337,3.315963301706279,1.788655488160501e-05,,,
residual_kappa,1,hexc_00027,28,109670797,109660803,9994,109670797,finite_negative,False,False,False,True,17.111990579354508,4.136664184987042,335.81014783297,0.8120333708824402,13.599282408268376,3.5127081710860897,8.612504006920932e-05,,,
residual_kappa,2,hexc_00110,111,30780011,30777698,2313,30780011,finite_negative,False,False,False,True,7.546620753850183,2.747111347188203,103.84418611571164,0.785991967369389,5.8164205022411,1.7302002516089552,4.300200645539729e-05,,,
residual_kappa,3,hexc_00296,297,604724143,604718720,5423,604724143,post_P0_negative_tail,True,False,False,False,7.687489716536389,2.772632272144359,150.73391696427095,0.7382422708040335,6.330065309604199,1.3574244069323436,5.965509208089195e-06,,,
residual_kappa,4,hexc_00020,21,30847123,30831334,15789,30847123,finite_negative,False,False,False,True,6.2899074929661465,2.5079687982441383,225.3338417937175,0.7150344719309789,6.002050217372547,0.2878572755936372,8.917534931222242e-05,,,
residual_kappa,5,hexc_00032,33,1197619,1197615,4,1197697,finite_positive,False,False,False,True,23.86288338665589,4.884965034332988,6.944030893516242,0.7107554347586448,14.218838979779662,9.644044406879,3.543982662961964e-05,,,
residual_kappa,6,hexc_00231,232,7103281,7103277,4,7103387,finite_positive,False,False,False,True,30.408008655143053,5.514345714148058,7.834141926083248,0.710341927418817,18.13312319031589,12.274885464830556,1.2155728687056514e-05,,,
residual_kappa,7,hexc_00185,186,22052341,22052337,4,22052431,finite_positive,False,False,False,True,34.98558085790533,5.9148610176322265,8.400572960837962,0.7101242899702814,20.87152641104775,14.114054446862175,4.4147960644023e-06,,,
residual_kappa,8,hexc_00123,124,30340831,30340827,4,30340987,finite_positive,False,False,False,True,36.33278410129205,6.027668214267608,8.56011076656796,0.710068177467533,21.67755564080268,14.655228460493657,3.2909855331628457e-06,,,
residual_kappa,9,hexc_00297,298,30423259,30423255,4,30423359,finite_positive,False,False,False,True,36.34434829479782,6.0286273972437385,8.561467292326142,0.7100677092965147,21.684474662264726,14.659873632535025,3.5431005298821045e-06,,,
residual_kappa,10,hexc_00399,400,31019929,31019925,4,31019993,finite_positive,False,False,False,True,36.42718889982567,6.035494089121922,8.571178519813657,0.7100643620264601,21.734039465140423,14.693149434695377,3.4566973425803245e-06,,,
residual_kappa,11,hexc_00254,255,33472333,33472329,4,33472553,finite_positive,False,False,False,True,36.75263343117713,6.062395024342865,8.609223195047434,0.7100513213406638,21.928759443400352,14.823873987798718,3.2612635156772443e-06,,,
residual_kappa,12,hexc_00360,361,33862651,33862647,4,33862799,finite_positive,False,False,False,True,36.80234726640456,6.066493819860411,8.61501992002195,0.7100493444679863,21.958504439699787,14.843842826716884,3.32347286093648e-06,,,
residual_kappa,13,hexc_00341,342,40863883,40863879,4,40864051,finite_positive,False,False,False,True,37.612913500416326,6.132936776163303,8.70898689759133,0.710017664900793,22.44349377819909,15.169419722227538,2.754484323581681e-06,,,
residual_kappa,14,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,41.980707369547154,6.479252068684097,9.198762621303104,0.7098629999103682,25.0571315025788,16.923575866981786,1.153044944529206e-06,,,
residual_kappa,15,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,42.01752080974671,6.482092317280486,9.20277943201654,0.7098617993670828,25.079161840784288,16.938358968968284,1.1772522978111863e-06,,,
residual_kappa,16,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,44.27285143166415,6.653784744915043,9.44559464377562,0.7097911193320563,26.428870695008715,17.843980736668392,7.690564429438081e-07,,,
residual_kappa,17,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,44.28886413326652,6.654987913833241,9.447296218789234,0.709790636820829,26.43845386248085,17.850410270786504,7.612323883255991e-07,,,
residual_kappa,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,44.28904182928211,6.655001264408754,9.447315099767366,0.7097906314677979,26.43856020875291,17.850481620545494,7.448955074200035e-07,,,
residual_kappa,19,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,44.295157736736925,6.655460745638647,9.4479649185605,0.7097904472467811,26.44222041461544,17.85293732212409,7.705762945638789e-07,,,
residual_kappa,20,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,44.30134893036435,6.655925850726129,9.448622690862976,0.7097902607968639,26.445925677883285,17.855423252506874,7.589229592880685e-07,,,
residual_kappa,21,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,44.30282104878313,6.656036436858135,9.448779086688774,0.7097902164691953,26.446806701358955,17.856014347443043,7.154629182248775e-07,,,
residual_kappa,22,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,44.51014034988176,6.671592040126686,9.4707785115379,0.7097839956771442,26.57088212620257,17.939258223697298,7.352200833734836e-07,,,
residual_kappa,23,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,50.20658843787949,7.085660762263424,10.056372108580035,0.7096283921845317,29.98033535342825,20.226253084497003,2.594248423585902e-07,,,
residual_kappa,24,hexc_00001,2,24181,24178,3,24317,finite_positive,False,False,False,True,7.070485412778683,2.659038437627159,3.256685045547357,0.7071157607599191,6.363436871044681,0.7070485417339826,0.0002992154873217,,,
residual_kappa,25,hexc_00025,26,230563,230560,3,230647,finite_positive,False,False,False,True,10.711023833807426,3.272770055137914,4.00831267749993,0.7071075463177489,9.639921450421664,1.0711023833857438,5.554263419178818e-05,,,
E_best_over_h,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,73.62931311610959,8.580752479596972,18.50388997128084,0.5980892364862637,43.78193585251833,29.84737726359048,9.861270095805125e-06,,,
E_best_over_h,2,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,54.6007965610797,7.38923518106439,12.35249588295892,0.6318386791525418,36.85830399288621,17.74249256818839,5.261093137005674e-06,,,
E_best_over_h,3,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,54.00586715584355,7.348868426896997,12.28521502684498,0.6318489532934979,36.45644435128144,17.549422804560606,5.094887652269624e-06,,,
