metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,product_actual,rayleigh_over_h,weight_l2_sq,event_count,sample_count
top_eigenvector_alignment,3,hexc_00185,186,22052431,4,False,0.2897841512551762,35.73898635214269,35.73898635214264,0.0625000003352271,571.823778567229,2,5
top_eigenvector_alignment,4,hexc_00123,124,30340987,4,False,0.2897841505194423,37.10051919515608,37.10051919515607,0.0625000002391374,593.6083048512339,2,5
top_eigenvector_alignment,5,hexc_00297,298,30423359,4,False,0.2897841505141939,37.1122052310735,37.11220523107346,0.0625000002384519,593.7952814317096,2,5
top_eigenvector_alignment,6,hexc_00399,400,31019993,4,False,0.2897841504770592,37.19591809331658,37.195918093316564,0.062500000233602,595.1346872686706,2,5
top_eigenvector_alignment,7,hexc_00254,255,33472553,4,False,0.289784150338733,37.5247797768865,37.52477977688646,0.062500000215536,600.3964743596705,2,5
top_eigenvector_alignment,8,hexc_00360,361,33862799,4,False,0.28978415031862,37.57501427082907,37.57501427082905,0.0625000002129092,601.2002262852478,2,5
top_eigenvector_alignment,9,hexc_00341,342,40864051,4,False,0.2897841500248326,38.39402056811908,38.394020568119046,0.0625000001745394,614.3043273743798,2,5
top_eigenvector_alignment,10,hexc_00428,429,108831299,4,False,0.2897841491636602,42.805805829086985,42.805805829086964,0.0625000000620669,684.8928925852447,2,5
top_eigenvector_alignment,11,hexc_00619,620,109709357,4,False,0.2897841491596531,42.84298005706769,42.84298005706769,0.0625000000615436,685.487680238085,2,5
top_eigenvector_alignment,12,hexc_00459,460,178299217,4,False,0.2897841489709666,45.12012021068158,45.12012021068152,0.0625000000369003,721.9219229446782,2,5
top_eigenvector_alignment,13,hexc_00423,424,178907011,4,False,0.2897841489699563,45.13628574684368,45.13628574684366,0.0625000000367684,722.1805715246438,2,5
top_eigenvector_alignment,14,hexc_00448,449,178913689,4,False,0.2897841489699452,45.1364651387445,45.13646513874443,0.0625000000367669,722.1834417950718,2,5
top_eigenvector_alignment,15,hexc_00525,526,179146433,4,False,0.2897841489695602,45.14263941256952,45.142639412569515,0.0625000000367167,722.2822301767951,2,5
top_eigenvector_alignment,16,hexc_00444,445,179382319,4,False,0.2897841489691714,45.14888968695817,45.1488896869581,0.0625000000366658,722.3822345675421,2,5
top_eigenvector_alignment,17,hexc_00322,323,179438351,4,False,0.2897841489690788,45.150375852758906,45.150375852758884,0.0625000000366538,722.4060132204793,2,5
top_eigenvector_alignment,18,hexc_00673,674,187509659,4,False,0.289784148956378,45.35967113037008,45.359671130370025,0.062500000034995,725.7547376795558,2,5
top_eigenvector_alignment,19,hexc_00662,663,604872131,4,True,0.2897841487666825,51.1087169203916,51.108716920391565,0.06250000001022,817.7394705925482,2,5
top_eigenvector_alignment,20,hexc_00059,60,3291137,8,False,0.289566221076704,47.5033278218918,47.50332782189178,0.0703125109678581,675.6027791925528,3,9
spectral_tightness,1,hexc_00000,1,180530237,684790,False,114838.53541857496,4.242257262838288,4.242257262838288,3.2735856737309205e-07,12959053.727783969,35864,41
spectral_tightness,2,hexc_00040,41,604672261,151650,True,55577.29324731847,2.1504475741786093,2.1504475741786093,7.088585359010924e-07,3033676.629773508,7420,41
spectral_tightness,3,hexc_00002,3,30974597,64413,False,25529.91629544947,2.123480173174438,2.123480173174438,1.9422371715622123e-06,1093316.616665536,3676,41
spectral_tightness,4,hexc_00063,64,604810421,53021,True,20983.438652579865,2.1420864345912927,2.1420864345912927,2.0377749152049087e-06,1051188.9309305267,2571,41
spectral_tightness,5,hexc_00006,7,30774449,104130,False,16077.367101819216,5.2493680971415095,5.2493680971415095,2.950329231534745e-06,1779248.2415295793,5986,41
spectral_tightness,6,hexc_00009,10,178298621,43765,False,9886.532005546826,3.625948703216957,3.6259487032169564,4.543373039781753e-06,798074.177811984,2211,40
spectral_tightness,7,hexc_00023,24,180619079,61662,False,3395.683617838473,14.8875268699018,14.8875268699018,1.2944315269216204e-05,1150120.8492122318,3182,41
spectral_tightness,8,hexc_00008,9,12883477,11482,False,3150.135223931327,3.4598590865423064,3.4598590865423064,1.9210479624522343e-05,180102.6915603797,672,39
spectral_tightness,9,hexc_00048,49,33902159,13400,False,2598.0932576280584,4.868706166264111,4.86870616626411,2.1421708405269822e-05,227279.07943450435,756,41
spectral_tightness,10,hexc_00024,25,109813367,23159,False,2407.5160346027374,8.632103006925288,8.632103006925286,2.0778047940193143e-05,415443.40602984704,1212,41
spectral_tightness,11,hexc_00020,21,30847123,15789,False,2307.234632315036,6.281871907446504,6.281871907446504,2.3709390930342185e-05,264952.9009793016,891,40
spectral_tightness,12,hexc_00104,105,604432601,22162,True,2195.321042341799,8.953720835599164,8.953720835599166,2.06217770804309e-05,434187.6454525263,1062,41
spectral_tightness,13,hexc_00183,184,604356173,20686,True,1860.4289505779748,10.34327835039494,10.343278350394943,2.5173556665508988e-05,410878.7045005271,1005,40
spectral_tightness,14,hexc_00061,62,113166227,11734,False,1588.1888696804992,6.659239168363888,6.659239168363888,3.216669824117494e-05,207022.77611569525,602,40
spectral_tightness,15,hexc_00074,75,113195507,12848,False,774.1900784023444,15.294287511442286,15.294287511442286,6.586142262327108e-05,232219.20970225587,676,41
spectral_tightness,16,hexc_00127,128,187449539,9358,False,770.861123110828,11.353153142896916,11.353153142896915,6.639280241488409e-05,170999.7579549638,472,39
spectral_tightness,17,hexc_00053,54,7112297,2259,False,757.9967021634751,3.264895938981648,3.2648959389816476,9.644325243875656e-05,33853.02606893026,136,39
spectral_tightness,18,hexc_00296,297,604724143,5423,True,698.7251710948607,7.676155432851152,7.676155432851152,7.391554499757357e-05,103850.3529007753,254,41
spectral_tightness,19,hexc_00078,79,109546081,10586,False,680.2631226360235,14.29696289203924,14.296962892039241,7.530717556786893e-05,189848.613817078,554,40
spectral_tightness,20,hexc_00090,91,179602723,7407,False,652.6821295987559,10.500128217395917,10.500128217395918,7.941841966392738e-05,132212.75696279283,366,38
