block_id,p_star,y,h,theta_local_error,theta_local_norm,theta_local_norm_pos,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,repay_minus_prime_norm,cp_residual_norm,cp_obstruction_norm,canonical_response_norm,k4_sym_all_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin
333,445001,445000,1,12.005831808336865,0.0709767302044906,0.0709767302044906,0.0776707266078231,-0.5031784827253998,-0.5221903052872983,-0.019011822561898574,0.07497698613394928,-0.07497698613394928,-0.07767072660782315,0.07767072660782315,0.16515916039243955,0.0021408932865444206,0.0021408932865444206,False,p<100M,0.50-0.55,0.50-1.00
144,445069,445068,1,12.005984605308186,0.0709759658081862,0.0709759658081862,0.0786725939660381,-0.51523394540938,-0.5342445445868952,-0.019010599177515207,0.07497612774654469,-0.07497612774654469,-0.0786725939660381,0.0786725939660381,0.16515527976793903,0.0021408429835341547,0.0021408429835341547,False,p<100M,0.50-0.55,>=1.00
204,445141,445140,1,12.006146364893356,0.0709751565924715,0.0709751565924715,0.078849161619478,-0.5073750928028168,-0.5263843969186539,-0.019009304115837053,0.07497521903010237,-0.07497521903010237,-0.07884916161947805,0.07884916161947805,0.16515117166663643,0.0021407897318315044,0.0021407897318315044,False,p<100M,0.50-0.55,>=1.00
401,617429,617428,1,12.333319361116503,0.0693750668047255,0.0693750668047255,0.0738358982563811,-0.5435320061617843,-0.5600890485113041,-0.01655704234951981,0.07318123066617822,-0.07318123066617822,-0.0738358982563812,0.0738358982563812,0.15714565236796954,0.0020370173314324387,0.0020370173314324387,False,p<100M,0.50-0.55,0.10-0.25
84,617579,617578,1,12.33356227452393,0.0693739053920691,0.0693739053920691,0.0752538383487422,-0.5802814131298344,-0.5968367537421125,-0.01655534061227808,0.07317993057193176,-0.07317993057193176,-0.0752538383487422,0.0752538383487422,0.1571399266005605,0.0020369431105598137,0.0020369431105598137,False,p<100M,0.50-0.55,0.50-1.00
917,617647,617646,1,12.333672375833435,0.0693733789906287,0.0693733789906287,0.0774150599023891,-0.486338289479878,-0.5028928588297983,-0.016554569349920206,0.07317934131509553,-0.07317934131509553,-0.07741505990238919,0.07741505990238919,0.15713733148051032,0.0020369094710385176,0.0020369094710385176,False,p<100M,0.50-0.55,>=1.00
46,618029,618028,1,12.3342906609052,0.0693704230771723,0.0693704230771723,0.0748436752518515,-0.6951584233926933,-0.7117086622859699,-0.016550238893276618,0.07317603245970992,-0.07317603245970992,-0.07484367525185157,0.07484367525185157,0.15712275951469937,0.0020367205803726762,0.0020367205803726762,False,p<100M,0.55-0.60,0.25-0.50
94,618119,618118,1,12.334436274537484,0.0693697269600696,0.0693697269600696,0.0765541684740735,-0.5372756660339395,-0.5538248852115439,-0.016549219177604522,0.07317525322764608,-0.07317525322764608,-0.07655416847407359,0.07655416847407359,0.15711932793494088,0.0020366760981529205,0.0020366760981529205,False,p<100M,0.50-0.55,>=1.00
1028,618377,618376,1,12.334853582808185,0.069367732062761,0.069367732062761,0.0742407126876558,-0.497239228439814,-0.5137855255916998,-0.016546297151885783,0.07317302014958368,-0.07317302014958368,-0.07424071268765581,0.07424071268765581,0.15710949413081562,0.002036548626414853,0.002036548626414853,False,p<100M,0.50-0.55,0.25-0.50
581,618463,618462,1,12.3349926468749,0.0693670673072352,0.0693670673072352,0.0758472344787391,-0.4983249526782549,-0.5148702762033146,-0.016545323525059705,0.07317227602752345,-0.07317227602752345,-0.07584723447873913,0.07584723447873913,0.1571062173129231,0.002036506150312343,0.002036506150312343,False,p<100M,0.50-0.55,0.50-1.00
65,3439001,3438886,3,27.10131744255433,0.0690743589894426,0.0690743589894426,0.0792717980142518,-0.5421338867855626,-0.5580170585872734,-0.015883171801710675,0.07507232127945757,-0.07507232127945757,-0.07927179801425181,0.07927179801425181,0.0699961963531924,-0.0027288447219663923,0.001845983194289588,False,p<100M,0.50-0.55,>=1.00
408,910277,910276,1,12.721504227778484,0.0675670595173661,0.0675670595173661,0.0749287563478817,-0.49760049003519996,-0.5116434347414045,-0.014042944706204513,0.07116091489892835,-0.07116091489892835,-0.07492875634788175,0.07492875634788175,0.1483800406417988,0.0019233921516215034,0.0019233921516215034,False,p<100M,0.50-0.55,>=1.00
647,1184527,1184526,1,12.984854096749215,0.0663928320911218,0.0663928320911218,0.0713029062187651,-0.5095677990923373,-0.5221201777676842,-0.01255237867534689,0.06985260955062923,-0.06985260955062923,-0.07130290621876516,0.07130290621876516,0.14284434557022366,0.0018516351120063106,0.0018516351120063106,False,p<100M,0.50-0.55,0.50-1.00
157,1184609,1184608,1,12.984923320297408,0.0663925287642978,0.0663925287642978,0.072561666975567,-0.5259681641179909,-0.5385201719421125,-0.012552007824121627,0.06985227197299464,-0.06985227197299464,-0.07256166697556707,0.07256166697556707,0.14284293145192775,0.0018516167813466071,0.0018516167813466071,False,p<100M,0.50-0.55,>=1.00
819,1185749,1185748,1,12.98588520039138,0.0663883142401065,0.0663883142401065,0.0716117424653728,-0.507342510207868,-0.5198893660533848,-0.012546855845516732,0.06984758157707448,-0.06984758157707448,-0.07161174246537282,0.07161174246537282,0.1428232840652104,0.0018513620999942597,0.0018513620999942597,False,p<100M,0.50-0.55,0.50-1.00
239,1185979,1185978,1,12.986079151806315,0.0663874644969639,0.0663874644969639,0.0720020312883792,-0.5190175515357226,-0.5315633687961302,-0.012545817260407592,0.06984663589208322,-0.06984663589208322,-0.07200203128837925,0.07200203128837925,0.1428193228998745,0.0018513107529647983,0.0018513107529647983,False,p<100M,0.50-0.55,0.50-1.00
972,1186033,1186032,1,12.986124682773283,0.0663872650190701,0.0663872650190701,0.0726904701419275,-0.4956300087490975,-0.5081755822090733,-0.012545573459975867,0.0698464138919876,-0.0698464138919876,-0.07269047014192756,0.07269047014192756,0.14281839302238006,0.0018512986993282912,0.0018512986993282912,False,p<100M,0.50-0.55,>=1.00
74,1186291,1186290,1,12.986342191006576,0.0663863120997883,0.0663863120997883,0.0716803042452162,-0.5998619326211354,-0.6124063414734684,-0.012544408852332963,0.06984535338381723,-0.06984535338381723,-0.07168030424521626,0.07168030424521626,0.14281395098394334,0.001851241118929813,0.001851241118929813,False,p<100M,0.50-0.55,0.50-1.00
89,1188149,1188148,1,12.987907191915609,0.066379456518596,0.066379456518596,0.0739495641263946,-0.5238938669119316,-0.5364298993491927,-0.012536032437261136,0.06983772383410335,-0.06983772383410335,-0.07394956412639468,0.07394956412639468,0.14278199603071634,0.0018508268994298289,0.0018508268994298289,False,p<100M,0.50-0.55,>=1.00
584,1188223,1188222,1,12.987969471727038,0.0663791837272039,0.0663791837272039,0.0716596292835551,-0.5093207227593013,-0.5218564219662566,-0.012535699206955301,0.06983742024771178,-0.06983742024771178,-0.07165962928355515,0.07165962928355515,0.14278072459299834,0.0018508104182823816,0.0018508104182823816,False,p<100M,0.50-0.55,0.50-1.00
591,1188553,1188552,1,12.988247158814184,0.0663779674589157,0.0663779674589157,0.0720415041049189,-0.49996421528632257,-0.5124984288234439,-0.012534213537121322,0.06983606667871887,-0.06983606667871887,-0.07204150410491895,0.07204150410491895,0.14277505583843264,0.001850736936444838,0.001850736936444838,False,p<100M,0.50-0.55,0.50-1.00
93,1188839,1188838,1,12.988487758598636,0.0663769136686477,0.0663769136686477,0.0717695715648134,-0.5862646848695667,-0.5987976112979757,-0.012532926428408935,0.06983489393195133,-0.06983489393195133,-0.07176957156481345,0.07176957156481345,0.1427701444637606,0.0018506732722251963,0.0018506732722251963,False,p<100M,0.50-0.55,0.50-1.00
286,1188899,1188898,1,12.988538226732649,0.0663766926301531,0.0663766926301531,0.0732650773543473,-0.504218997299015,-0.5167516537601883,-0.012532656461173259,0.06983464794195784,-0.06983464794195784,-0.07326507735434731,0.07326507735434731,0.14276911428753086,0.0018506599184556025,0.0018506599184556025,False,p<100M,0.50-0.55,>=1.00
656,1189057,1189056,1,12.988671113968772,0.0663761106224701,0.0663761106224701,0.0719034765237246,-0.49940593681986384,-0.5119378824594863,-0.012531945639622488,0.06983400023597723,-0.06983400023597723,-0.07190347652372465,0.07190347652372465,0.1427664017921504,0.00185062475744403,0.00185062475744403,False,p<100M,0.50-0.55,0.50-1.00
237,1189109,1189108,1,12.988714845146502,0.0663759190947688,0.0663759190947688,0.0718770358244725,-0.5196956951869449,-0.5322274069145132,-0.012531711727568371,0.0698337870883699,-0.0698337870883699,-0.07187703582447251,0.07187703582447251,0.14276550916788855,0.0018506131867065362,0.0018506131867065362,False,p<100M,0.50-0.55,0.50-1.00
