block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
54,7112297,7110038,2259,-1488.4660516560812,-3170.0701790061385,-1681.6041273500573,negative,0.1421341086327225,0.0030623697626775,0.1451964783954001,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1421341086327225,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0237683664649956
219,604167899,604161649,6250,-12704.41676292852,-17284.231134675843,-4579.814371747323,negative,0.1417010086026295,0.0050566548961573,0.1467576634987868,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1417010086026295,False,False,False,True,1025<=h<=8192,p>=500M,0.10-0.25,0.50-0.55,0.0079365079365079
18,3241093,3239129,1964,-1080.182066429391,-2475.688277714416,-1395.5062112850246,negative,0.1401120285534746,0.0081749848918229,0.1482870134452975,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1401120285534746,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0238568588469184
130,109678603,109674416,4187,-5519.895666364461,-8603.10761282572,-3083.211946461258,negative,0.139025752502687,0.0035003288755931,0.1425260813782802,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.139025752502687,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0157498824635637
36,39707851,39704004,3847,-3590.415609090645,-6194.606063479505,-2604.19045438886,negative,0.1371454844597804,0.0110407093348006,0.1481861937945811,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1371454844597804,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0079938112429087
19,1515197,1513853,1344,-753.3241327486062,-1758.088336176791,-1004.7642034281848,negative,0.1353288100910507,0.0103425912084517,0.1456714012995024,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1353288100910507,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0705394190871369
5,356077,355293,784,-445.57865085028266,-1064.0627175890131,-618.4840667387305,negative,0.1351797213221275,0.0128661873649445,0.148045908687072,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1351797213221275,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.65-0.70,0.1884057971014492
297,604724143,604718720,5423,-12562.492055257992,-16584.214961986207,-4021.722906728215,negative,0.1335727555775139,0.0050062983240905,0.1385790539016044,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1335727555775139,False,False,False,True,1025<=h<=8192,p>=500M,0.10-0.25,0.50-0.55,0.0078668130259787
120,108561281,108557409,3872,-5504.2852607458935,-8317.085565217782,-2812.800304471888,negative,0.1320368412344233,0.0051891364890148,0.1372259777234381,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1320368412344233,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0157600406710727
67,39699197,39695992,3205,-3438.66329281793,-5719.635797191333,-2280.972504373403,negative,0.1316093417511963,0.0085253544488815,0.1401346962000778,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1316093417511963,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0156633906633906
42,7117417,7115469,1948,-1505.373515836785,-2935.478994847477,-1430.1054790106923,negative,0.1301567329770984,0.007641518998895,0.1377982519759935,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1301567329770984,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.039447731755424
69,108581987,108578163,3824,-5707.998511750286,-8345.630208395081,-2637.631696644796,negative,0.1245862627972834,0.0043804824344325,0.128966745231716,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1245862627972834,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0314083080040526
223,604848841,604844050,4791,-12737.302430069984,-16161.361279717104,-3424.0588496471173,negative,0.1209887029426208,0.0069214615088821,0.127910164451503,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1209887029426208,False,False,False,True,1025<=h<=8192,p>=500M,0.10-0.25,0.50-0.55,0.0158175842235004
51,12842173,12840082,2091,-1989.409656565634,-3458.407842659707,-1468.9981860940732,negative,0.1199057486653474,0.0050051051752984,0.1249108538406459,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1199057486653474,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0238095238095238
111,30780011,30777698,2313,-2938.402426159111,-4635.73955686786,-1697.337130708749,negative,0.1187096625628934,0.0072627341203376,0.1259723966832311,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1187096625628934,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0157446808510638
29,3456977,3455716,1261,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,negative,0.1174356488415478,0.0077614986724626,0.1251971475140106,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1174356488415478,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.086231884057971
139,109556411,109553597,2814,-5577.114489186137,-7683.50311673887,-2106.388627552733,negative,0.1158702945195927,0.0080790635414207,0.1239493580610134,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1158702945195927,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0945945945945946
63,30816007,30813688,2319,-3050.1645931153994,-4677.495358670547,-1627.3307655551475,negative,0.1136507642000766,0.0075446709207132,0.1211954351207899,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1136507642000766,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.031328320802005
228,604708931,604704593,4338,-12703.163494880971,-15714.755956381585,-3011.5924615006134,negative,0.111835079555793,0.0051487807720973,0.1169838603278903,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.111835079555793,False,False,False,True,1025<=h<=8192,p>=500M,0.10-0.25,0.50-0.55,0.0
