block_id,p_star,y,hi,h,prime_log_sum,theta_local_error,theta_local_sum_from_sieve,prime_log_sum_check_delta,theta_local_norm,theta_start_error,theta_end_error,theta_end_norm,theta_pstar_error,theta_pstar_norm,theta_start_sign,theta_end_sign,theta_local_sign,theta_crosses_sign,Q_max,near_forbidden_proxy,post_Q,cp_ratio,d_worst,is_tail,scale_bin,depth_bin,mu_bin
43,12781267,12779528,12781267,1739,1587.2519635993533,-151.7480364006467,1587.2519635949284,4.424919097800739e-09,-0.013590059484822,-1894.8298760391772,-2046.5779124442488,-0.0021379098965538714,-2046.5779124442488,-0.0021379098965538714,negative,negative,negative,False,0.1300675391522673,False,0.0,0.1300675391522673,0.5641560617988199,False,p<100M,0.55-0.60,0.10-0.25
44,109588091,109577354,109588091,10737,10107.655404424124,-629.3445955758762,10107.655404493213,-6.908885552547872e-08,-0.017722668774810324,-5152.747184991837,-5782.091780498624,-0.0016117043962495517,-5782.091780498624,-0.0016117043962495517,negative,negative,negative,False,0.2415685632788372,False,0.0,0.2415685632788372,0.5640377691345301,False,100M<=p<500M,0.55-0.60,0.10-0.25
45,12836777,12833438,12836777,3339,3175.3327670842978,-163.66723291570224,3175.3327670823783,1.919488568091765e-09,-0.01057235151407977,-1880.5745276082307,-2044.2417605258524,-0.0021297190788301607,-2044.2417605258524,-0.0021297190788301607,negative,negative,negative,False,0.1752468754780604,False,0.0,0.1752468754780604,0.5638688944543334,False,p<100M,0.55-0.60,0.10-0.25
46,618029,618028,618029,1,13.3342906609052,12.3342906609052,13.334290660917759,-1.255884285455977e-11,0.0693704230771723,-494.27680317882914,-481.9425125179114,-0.0034478707340002217,-481.9425125179114,-0.0034478707340002217,negative,negative,positive,False,0.0748436752518515,False,0.0,0.0748436752518515,0.5631494213750168,False,p<100M,0.55-0.60,0.25-0.50
47,12807413,12805898,12807413,1515,1309.2378670814828,-205.76213291851718,1309.2378670852631,-3.780314727919176e-09,-0.019737799728640502,-1852.6831239238381,-2058.445256838575,-0.0021475743873896466,-2058.445256838575,-0.0021475743873896466,negative,negative,negative,False,0.1184377830877646,False,0.0,0.1184377830877646,0.5622876677543968,False,p<100M,0.55-0.60,0.25-0.50
48,3440807,3439819,3440630,811,857.9096844098194,46.90968440981942,857.9096844103187,-4.993125912733376e-10,0.007271246588628184,-1045.2126221251674,-998.3029377148487,-0.0023757630357359983,-1100.046968669165,-0.0026178084247497273,negative,negative,positive,False,0.1225172337511368,False,0.0,0.1225172337511368,0.5606349450322781,False,p<100M,0.55-0.60,0.10-0.25
49,33902159,33888759,33902159,13400,13108.126641330568,-291.8733586694325,13108.126641348004,-1.743683242239058e-08,-0.008386765527824882,-2970.7746697068214,-3262.648028358817,-0.0018638415614247617,-3262.648028358817,-0.0018638415614247617,negative,negative,negative,False,0.3075518627750951,False,0.0,0.3075518627750951,0.559337593663511,False,p<100M,0.55-0.60,0.018-0.05
50,3457967,3457512,3457967,455,361.3470302370314,-93.65296976296861,361.3470302373171,-2.856950231944211e-10,-0.019368036773539574,-1005.2072501885705,-1098.8602199512534,-0.0026067643639724894,-1098.8602199512534,-0.0026067643639724894,negative,negative,negative,False,0.0793601948576568,False,0.010039565681899362,0.0793601948576568,0.5585861223496483,False,p<100M,0.55-0.60,0.25-0.50
51,12842173,12840082,12842173,2091,1898.7066712055992,-192.29332879440085,1898.706671204418,1.1812062439275905e-09,-0.015695782180474318,-1895.6037150453776,-2087.8970438409597,-0.0021746310428115167,-2087.8970438409597,-0.0021746310428115167,negative,negative,negative,False,0.1392439305539144,False,0.0,0.1392439305539145,0.5580235690234773,False,p<100M,0.55-0.60,0.10-0.25
52,1512479,1512478,1512479,1,14.229260584493224,13.229260584493224,14.22926058457233,-7.910649912901135e-11,0.06533876260529117,-766.068534019636,-752.8392734350637,-0.0030233813139198197,-752.8392734350637,-0.0030233813139198197,negative,negative,positive,False,0.0713499660129912,False,0.0,0.0713499660129912,0.5578895862071762,False,p<100M,0.55-0.60,0.50-1.00
53,356243,356170,356173,3,25.56633807844032,22.56633807844032,25.566338078468107,-2.7785773681898718e-11,0.07972781383092299,-356.4952549189911,-333.928916840523,-0.003424098718087084,-365.57900826248806,-0.0037481544063784748,negative,negative,positive,False,0.0917954514179663,False,0.0,0.0917954514179663,0.5577559153257986,False,p<100M,0.55-0.60,0.50-1.00
