row_regime,finite_zone_flag,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,h_bin,p_star_bin,rows,C_bridge_max,C_bridge_mean,C_bridge_q95,Q_energy_L2_max,C_exc_max,Q_exc_max,high_energy_count,threshold_relevant_count,forbidden_count,surviving_proxy_count,failures
finite_positive,True,False,True,False,False,2<=h<=10,1M<=p<10M,1,6.864752116121557,6.864752116121557,6.864752116121557,0.0304825946938867,4.631790087275691,0.0205672364492246,1,0,0,0,0
finite_positive,True,False,True,False,False,2<=h<=10,p<1M,1,2.6590384376271583,2.6590384376271583,2.6590384376271583,0.0260719675992124,1.8802479877125706,0.0184358992034248,1,0,0,0,0
forbidden_negative,True,False,False,True,True,h>100k,100M<=p<500M,1,2.059215174853389,2.059215174853389,2.059215174853389,0.0056973529810874,0.8060387914505441,0.0022301154184481,0,1,1,0,0
post_P0_negative_tail,False,True,False,False,False,101<=h<=1k,p>=500M,4,8.008560508629008,6.100936111210181,7.962276485274223,0.0195894059694182,2.752763825817252,0.0067334208268465,0,0,0,0,0
post_P0_negative_tail,False,True,False,False,False,10k<h<=100k,p>=500M,3,3.2170202489080757,2.5581547302829506,3.1946661947671937,0.0078687452329321,2.165926354794284,0.0052977977633042,0,0,0,0,0
post_P0_negative_tail,False,True,False,False,False,1k<h<=10k,p>=500M,14,6.763592223850025,4.399672094960009,6.1887786639447,0.0165421719649012,2.8299653760732,0.0069214615088821,0,0,0,0,0
post_P0_positive_tail,False,True,False,False,False,2<=h<=10,p>=500M,3,7.085660762263412,5.972079526878258,6.918626942224029,0.0173298733143556,5.028186054290014,0.0122977701368278,0,0,0,0,0
post_P0_positive_tail,False,True,False,False,False,h=1,p>=500M,117,0.0,0.0,0.0,0.0,3.637978807091713e-12,8.898615503505933e-15,0,0,0,0,0
threshold_relevant_negative,False,True,False,True,False,h>100k,p>=500M,1,1.4656777515477337,1.4656777515477337,1.4656777515477337,0.0035848230548423,0.6009446026482452,0.0014698183580815,0,1,0,0,0
threshold_relevant_negative,True,False,False,True,False,h>100k,10M<=p<100M,1,2.2898667182106016,2.2898667182106016,2.2898667182106016,0.0077023825323383,1.1260251838820972,0.0037875901851982,0,1,0,0,0
