column,primitive_candidate,leaky_excluded,non_null_count,min,max,mean,median,std,corr_with_R_R2Q_rec,corr_with_Q_R2Q,corr_with_E_theta,corr_with_negative_indicator,corr_with_near_forbidden_indicator
theta_local_sum_from_sieve,True,False,1468,4.844187086458589,681700.0118673146,1070.1380391866953,18.50311366468668,18675.828335950973,0.9999838101132976,0.8542618557883559,-0.7457597430530203,0.1676821254725582,0.7527937808728752
prime_log_sum,True,False,1468,4.844187086458591,681700.0118667303,1070.1380391842695,18.50311366663084,18675.828335918755,0.9999838101132907,0.8542618557878439,-0.7457597430522173,0.1676821254724835,0.7527937808716361
endpoint_repayment_Q,True,False,1468,0.0001197997566879,1.8091175489119344,0.024767507603618108,0.0053073064643674,0.07635864853800278,0.7594017870835039,0.9477437572987213,-0.850332115905193,0.4875560325079354,0.6589060405820267
bridge_excursion_raw,True,False,166,12.237202579598716,667.0135370697717,92.9802313827673,66.10772859346287,85.40051489057595,0.6506129996297227,0.8170676690416383,-0.8235996377560668,0.26596466532950414,0.5233994193365773
bridge_excursion_absmax,True,False,166,12.237202579598716,667.0135370697717,92.9802313827673,66.10772859346287,85.40051489057595,0.6506129996297227,0.8170676690416383,-0.8235996377560668,0.26596466532950414,0.5233994193365773
scale_ratio_local_to_global,True,False,1468,4.065966842396415e-05,0.0887356509416113,0.0014730269910871003,0.00017181766416795002,0.005510273530627207,0.38002090808638284,0.6459441322774281,-0.49379827736385656,0.43421253354054173,0.35921037530299543
Q_tail_max_inside,True,False,1468,4.489777949867602e-06,0.9071321825031058,0.03950552188628846,0.0111876507710708,0.08588387090674421,0.3618318536462303,0.6209763437823603,-0.5525039362683942,0.4762477661538092,0.2981093811915623
theta_negative_candidate,True,False,1468,0.0,1.0,0.1008174386920981,0.0,0.30118943832704537,0.1717987598571358,0.42390604584329866,-0.5775175542256413,1.0,0.13514435906164335
endpoint_line_r2_min,True,False,166,0.7291274662139872,0.99999390363209,0.9727843964131524,0.9904022609674462,0.04660233044333009,0.09505569463360722,0.2277428961907943,-0.29979252183239113,0.5644985388473851,0.07940356369630064
right_endpoint,True,False,1468,127.0,604884331.0,122202906.8079019,39699287.0,169805380.40954426,0.034334771900571236,-0.026091973891345103,-0.08837682429325983,0.06103955234370003,0.03993185134209491
x__prime_mesh_r2q_channel_compatibility_rows,True,False,1468,127.0,604884331.0,122202906.8079019,39699287.0,169805380.40954426,0.034334771900571236,-0.026091973891345103,-0.08837682429325983,0.06103955234370003,0.03993185134209491
x__prime_mesh_r2q_o2_local_repayment_assembly_rows,True,False,1468,127.0,604884331.0,122202906.8079019,39699287.0,169805380.40954426,0.034334771900571236,-0.026091973891345103,-0.08837682429325983,0.06103955234370003,0.03993185134209491
x__prime_mesh_r2q_hexc_bridge_rigidity_rows,True,False,1468,127.0,604884331.0,122202906.8079019,39699287.0,169805380.40954426,0.034334771900571236,-0.026091973891345103,-0.08837682429325983,0.06103955234370003,0.03993185134209491
