candidate_id,offset,u,B_prime,B_prime_abs,B_prime_sq
hexc_00453,10,0.01303780964797914,10.992772782108995,10.992772782108995,120.84105343907633
hexc_00453,12,0.01564537157757497,29.366784262670798,29.366784262670798,862.4080179302492
hexc_00453,14,0.018252933507170794,27.5214745897326,27.5214745897326,757.4315635932971
hexc_00453,16,0.020860495436766623,25.6761649167944,25.6761649167944,659.2654448344235
hexc_00453,17,0.02216427640156454,24.7535100803253,24.7535100803253,612.7362612967662
hexc_00453,21,0.027379400260756193,21.062890734448896,21.062890734448896,443.64536609133313
hexc_00453,25,0.03259452411994785,17.372271388572493,17.372271388572493,301.79581319821443
hexc_00453,30,0.03911342894393742,12.758997206226994,12.758997206226994,162.79200970850823
hexc_00453,32,0.041720990873533245,10.913687533288794,10.913687533288794,119.10857557426324
hexc_00453,37,0.048239895697522815,26.5197345474433,26.5197345474433,703.2963204668577
hexc_00453,45,0.05867014341590613,19.138495855690493,19.138495855690493,366.2820236182822
hexc_00453,54,0.07040417209908735,71.4925659798686,71.4925659798686,5111.186990385865
hexc_00453,64,0.08344198174706649,62.26601761517759,62.26601761517759,3877.056949653606
hexc_00453,65,0.0847457627118644,61.34336277870849,61.34336277870849,3763.008157000238
hexc_00453,79,0.10299869621903521,48.426195068141084,48.426195068141084,2345.0963687776516
hexc_00453,95,0.12385919165580182,53.883038967235464,53.883038967235464,2903.3818883446156
hexc_00453,115,0.14993481095176012,55.64926353365345,55.64926353365345,3096.840531838012
hexc_00453,128,0.16688396349413298,43.65475065955516,43.65475065955516,1905.7372551479318
hexc_00453,139,0.18122555410691005,33.50554745839506,33.50554745839506,1122.6217104867635
hexc_00453,168,0.21903520208604954,26.967878582691128,26.967878582691128,727.2664752507709
hexc_00453,203,0.2646675358539765,75.55224510517266,75.55224510517266,5708.141740432086
hexc_00453,246,0.32073011734028684,76.31673017560132,76.31673017560132,5824.2433046955375
hexc_00453,297,0.38722294654498046,29.261333515677222,29.261333515677222,856.2256391156951
hexc_00453,359,0.4680573663624511,32.71469867089297,32.71469867089297,1070.2515091273265
hexc_00453,434,0.5658409387222947,44.392873168110384,44.392873168110384,1970.727188119935
hexc_00453,525,0.6844850065189049,41.30857073872227,41.30857073872227,1706.3980164760214
hexc_00453,634,0.8265971316818774,41.83580405159023,41.83580405159023,1750.2345006430535
hexc_00453,767,1.0,-1.1368683772161603e-13,1.1368683772161603e-13,1.2924697071141057e-26
hexc_00462,0,0.0,0.0,0.0,0.0
hexc_00462,1,0.0019880715705765406,-0.9647441403994035,0.9647441403994035,0.9307312564349839
hexc_00462,2,0.003976143141153081,-1.929488280798807,1.929488280798807,3.7229250257399356
hexc_00462,3,0.005964214711729622,-2.8942324211982107,2.8942324211982107,8.376581307914856
hexc_00462,4,0.007952286282306162,-3.858976561597614,3.858976561597614,14.891700102959742
