extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_energy_L2,Q_exc,C_bridge,C_exc,C_rms,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,finite_certified_flag,surviving_proxy_flag,h_over_x,rho_proxy
top_C_exc,hexc_00341,342,40863883,40863879,4,40864051,positive,finite_positive,0.0574566735917498,0.0199670866976149,0.014176984271913,6.132936776163277,4.354493448795887,2.7427327066418874,False,False,False,False,True,False,9.788594980070789e-08,9.788594980070789e-08
top_C_exc,hexc_00360,361,33862651,33862647,4,33862799,positive,finite_positive,0.0585493445209605,0.0201812656596905,0.0143296944521975,6.066493819860721,4.307509960011188,2.713018513258181,False,False,False,False,True,False,1.1812424254675161e-07,1.1812424254675161e-07
top_C_exc,hexc_00254,255,33472333,33472329,4,33472553,positive,finite_positive,0.0583129230101737,0.0201946235958818,0.0143392191682336,6.0623950243430045,4.304611597523929,2.711185476177493,False,False,False,False,True,False,1.1950167919278288e-07,1.1950167919278288e-07
top_C_exc,hexc_00399,400,31019929,31019925,4,31019993,positive,finite_positive,0.058517488803213,0.0202827788463261,0.0144020784216403,6.035494089121896,4.2855892599068035,2.699155012214952,False,False,False,False,True,False,1.289493602644932e-07,1.289493602644932e-07
top_C_exc,hexc_00297,298,30423259,30423255,4,30423359,positive,finite_positive,0.0588683256744303,0.0203053990582444,0.0144182081956392,6.028627397243738,4.280733646163068,2.696084134250914,False,False,False,False,True,False,1.3147835345319184e-07,1.3147835345319184e-07
top_C_exc,hexc_00123,124,30340831,30340827,4,30340987,positive,finite_positive,0.0597199396392292,0.0203085588396176,0.0144204613622394,6.027668214267579,4.280055383283951,2.6956551745834028,False,False,False,False,True,False,1.3183554530856458e-07,1.3183554530856458e-07
top_C_exc,hexc_00185,186,22052341,22052337,4,22052431,positive,finite_positive,0.0607248084445193,0.0206876955885622,0.014690835140949,5.91486101763221,4.200286480418953,2.645206262577835,False,False,False,False,True,False,1.813866382711931e-07,1.813866382711931e-07
top_C_exc,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0221562198206484,0.0157384918917144,5.514345714148036,3.917070963041614,2.4660903736539255,False,False,False,False,True,False,5.631200567737641e-07,5.631200567737641e-07
top_C_exc,hexc_00679,680,604864891,604864888,3,604865039,positive,post_P0_positive_tail,0.0585344103602869,0.0132446310847335,0.009365368456664,5.415322561869581,3.8292113067651177,2.7076612809347704,True,False,False,False,False,False,4.9597853084847005e-09,4.9597853084847005e-09
top_C_exc,hexc_00607,608,604715329,604715326,3,604715411,positive,post_P0_positive_tail,0.0575299398750813,0.0132447905782401,0.0093654812356028,5.4152552565017835,3.8291637146825943,2.7076276282508718,True,False,False,False,False,False,4.96101199379386e-09,4.96101199379386e-09
top_C_exc,hexc_00452,453,180641719,180641716,3,180641999,positive,finite_positive,0.0607003725406591,0.0140719659358721,0.0099503825467233,5.086413380313345,3.5966373963335734,2.543206690156654,False,False,False,False,True,False,1.6607459321177078e-08,1.6607459321177078e-08
top_C_exc,hexc_00485,486,179621503,179621500,3,179621809,positive,finite_positive,0.0607185564329466,0.0140760864642325,0.0099532962003244,5.0848719053465,3.595547408949593,2.542435952673232,False,False,False,False,True,False,1.6701786533876182e-08,1.6701786533876182e-08
top_C_exc,hexc_00410,411,179435749,179435746,3,179436077,positive,finite_positive,0.0608113493141144,0.0140768393378771,0.0099538285623943,5.0845903021214465,3.59534828540297,2.542295151060705,False,False,False,False,True,False,1.671907641993904e-08,1.671907641993904e-08
top_C_exc,hexc_00558,559,179412619,179412616,3,179412683,positive,finite_positive,0.0619950192191761,0.0140769353479516,0.0099538964517706,5.084555216613332,3.59532347620278,2.542277608306666,False,False,False,False,True,False,1.672123185493435e-08,1.672123185493435e-08
top_C_exc,hexc_00369,370,179411671,179411668,3,179411909,positive,finite_positive,0.0609062405598658,0.014076937757259,0.0099538981554082,5.084553778511809,3.59532245931144,2.5422768892559047,False,False,False,False,True,False,1.6721320208873144e-08,1.6721320208873144e-08
top_C_exc,hexc_00519,520,179378389,179378386,3,179378513,positive,finite_positive,0.0607122453167207,0.0140770737364661,0.0099539943072285,5.084503285400527,3.5952867552902963,2.5422516427002453,False,False,False,False,True,False,1.6724422695088425e-08,1.6724422695088425e-08
top_C_exc,hexc_00349,350,178894801,178894798,3,178894987,positive,finite_positive,0.0624748732312566,0.014079038451098,0.0099553835702951,5.083768560798666,3.5947672265509545,2.541884280399333,False,False,False,False,True,False,1.6769632114686222e-08,1.6769632114686222e-08
top_C_exc,hexc_00320,321,109471009,109470995,14,109471171,positive,finite_positive,0.0605347509168848,0.0175999931381343,0.0102675552005105,6.0308749175919,3.518316208293316,1.6118191202940944,False,False,False,False,True,False,1.2788774057979132e-07,1.2788774057979132e-07
top_C_exc,hexc_00634,635,109814323,109814320,3,109814437,positive,finite_positive,0.0633755060442757,0.0144435456056154,0.0102131290574457,4.950949887770981,3.5008502442151506,2.4754749438854904,False,False,False,False,True,False,2.7318840730821612e-08,2.7318840730821612e-08
top_C_exc,hexc_00457,458,109709671,109709668,3,109709861,positive,finite_positive,0.063077134089216,0.0144442751485641,0.0102136449222288,4.950690392955393,3.500666753676619,2.47534519647768,False,False,False,False,True,False,2.734490015925761e-08,2.734490015925761e-08
top_C_exc,hexc_00536,537,109705909,109705906,3,109705961,positive,finite_positive,0.062945964652692,0.0144443033900005,0.0102136648919393,4.95068106010201,3.5006601543524476,2.475340530050988,False,False,False,False,True,False,2.7345837861842064e-08,2.7345837861842064e-08
top_C_exc,hexc_00486,487,109567753,109567750,3,109567891,positive,finite_positive,0.062415968235633,0.0144452679151694,0.0102143469142481,4.950338097746141,3.5004176433514864,2.4751690488730707,False,False,False,False,True,False,2.7380318733012624e-08,2.7380318733012624e-08
top_C_exc,hexc_00326,327,109497079,109497076,3,109497203,positive,finite_positive,0.0638594994842023,0.0144457626662795,0.0102146967561249,4.950162487383537,3.500293468076935,2.4750812436917515,False,False,False,False,True,False,2.739799113727956e-08,2.739799113727956e-08
