candidate_id,block_id,x,y,h,p_star,log_p_star,prime_event_count,W,K,rho,N_s,S_T,K_over_logpstar,K_over_logpstar_ST,PNT_prediction,PNT_residual_ratio,k_over_h,pnt_density_ratio,KS_stat,u_mean,u_std,anomalous,exceeds_cap,is_pnt_model_consistent
hexc_00378,379,604681513,604678930,2583,604681513,20.220212452591547,118,48245.11474884936,9.35228279486206,0.0001938493222277,39,2.2993272220206302,0.4625214901569154,0.2011551403938302,46.49288492728427,0.2011551403938302,0.045683313975996905,0.923726314133102,0.6375115399505644,0.1299423250642763,0.23259451619551785,False,False,True
hexc_00207,208,604822567,604819805,2762,604822567,20.220445695294853,114,46610.76136188054,14.554120329385643,0.0003122480711351,38,2.2713762760459133,0.7197724792373038,0.31688826145983506,45.92824064336744,0.31688826145983506,0.041274438812454746,0.8345875486110114,0.632931895270399,0.13210297648538435,0.23426207587473744,False,False,True
hexc_00319,320,604702619,604700469,2150,604702619,20.220247356307322,94,38432.68307255628,11.316307892146453,0.0002944449095782,39,2.3447167117360737,0.5596522976568111,0.23868653081012658,47.41075189177094,0.23868653081012658,0.04372093023255814,0.8840480239501806,0.6319618366129994,0.13246273106738224,0.23408420412105257,False,False,True
hexc_00300,301,604360789,604358714,2075,604360789,20.21968191034833,91,37204.02728986468,10.640194585418044,0.0002859957741273,40,2.3885266366671507,0.526229573372885,0.22031555574660183,48.29524882780393,0.22031555574660183,0.04385542168674699,0.886742676550216,0.6372289156626506,0.13051807228915663,0.23188346033816287,False,False,True
hexc_00381,382,604365031,604363228,1803,604365031,20.219688929309836,82,33524.53208761119,29.497353096221524,0.0008798736703956,39,2.4408804085383053,1.4588430711939921,0.5976708510957341,49.35384257429124,0.5976708510957341,0.04547975596228508,0.9195865181383287,0.6260079354921285,0.1363397187024475,0.23487128957064368,False,False,True
hexc_00303,304,604870961,604869251,1710,604870961,20.220525705642775,75,30665.21988657529,45.48807574882472,0.0014833768000711,36,2.4485961492425017,2.249599066365062,0.9187301332075517,49.51190137849592,0.9187301332075517,0.043859649122807015,0.8868651625281918,0.6029239766081871,0.14837556855100714,0.24154440483478792,False,False,True
hexc_00431,432,604813747,604812190,1557,604813747,20.22043111239932,72,29438.336064702344,34.36287921812631,0.0011672833390651,37,2.500498092398924,1.6994137774369573,0.6796301035393219,50.561149424038355,0.6796301035393219,0.046242774566473986,0.9350488375675986,0.6070579249770001,0.14662639518130846,0.239887610962192,False,False,True
hexc_00315,316,604434563,604433380,1183,604434563,20.21980397236647,48,19624.34070629235,11.891139796725978,0.0006059383076708,37,2.545922118716189,0.5880937230141837,0.23099438851284929,51.478046169353256,0.23099438851284929,0.04057480980557904,0.8204147004848611,0.5970162893239817,0.15019076557538094,0.24253823121317097,False,False,True
hexc_00453,454,604143557,604142790,767,604143557,20.21932240481067,35,14308.73395317695,64.24988591171059,0.0044902565189875,37,2.8817774937148237,3.1776478274278857,1.1026693887221886,58.26758824434727,1.1026693887221886,0.04563233376792699,0.9226548685376447,0.5755312026498467,0.16445258818140174,0.24397142499344318,True,False,True
hexc_00442,443,604711937,604711166,771,604711937,20.220262765415725,34,13901.205968857425,59.23603287892927,0.0042612153946668,37,2.877846581914774,2.9295382343025347,1.0179619208030777,58.19081408487022,1.0179619208030777,0.04409857328145266,0.891684739330914,0.5751743961860694,0.1643004872576857,0.24397991678727335,False,False,True
hexc_00663,664,604206971,604206345,626,604206971,20.21942736442063,27,11038.280977102491,8.20825117357986,0.0007436167996273,36,2.997147056722025,0.40595863699006696,0.13544835448750497,60.60059721387805,0.13544835448750497,0.04313099041533546,0.8720839278583977,0.5477458288959887,0.17500887468938586,0.24723811105975468,False,False,True
hexc_00462,463,604208581,604207847,503,604208581,20.219430029066906,24,9811.807685813064,33.768732131001784,0.003441642275544,34,2.994842080716496,1.670112959784562,0.5576631137041452,60.55399989915233,0.5576631137041452,0.04771371769383698,0.9647441763371883,0.5257279850309905,0.1843059291310958,0.24950683960346776,False,False,True
