block_id,p_star,pos_y,pos_h,pos_theta_local_norm,neg_y,neg_h,neg_theta_local_norm,lag,neg_abs_over_pos
384,30977831,30977830,1,0.0546139937653505,,,,,
385,7048859,7048858,1,0.0593962187793685,,,,,
386,4995779,4995778,1,0.0606301939561755,,,,,
387,12802553,12802552,1,0.0573715648349869,,,,,
388,30333337,30333336,1,0.0546765369575494,,,,,
389,12783647,12783646,1,0.0573764089045026,,,,,
390,179409773,179409772,1,0.0498486531447188,,,,,
391,12807943,12807942,1,0.0573701852758419,,,,,
392,3439379,3439378,1,0.0620271522594587,,,,,
393,30801247,30801246,1,0.0546309854117089,,,,,
394,3277457,3277456,1,0.0622122922801366,,,,,
395,33870359,33870358,1,0.0543500188864154,,,,,
396,1196399,1196398,1,0.0663491617331757,,,,,
397,7049759,7049758,1,0.0593957704321283,,,,,
398,39691853,39691852,1,0.0538872225495607,,,,,
399,3266671,3266670,1,0.0622249880453117,,,,,
400,31019993,31019925,4,0.0512493625927221,,,,,
401,617429,617428,1,0.0693750668047255,,,,,
402,1518623,1518622,1,0.0653215589454404,,,,,
403,30418939,30418938,1,0.0546681455472792,,,,,
405,33844781,33844780,1,0.0543522421853809,,,,,
406,1189151,1189150,1,0.0663757644062332,,,,,
407,3439063,3439062,1,0.0620275039719135,,,,,
408,910277,910276,1,0.0675670595173661,,,,,
409,40841363,40841362,1,0.0538047503455773,,,,,
410,1517917,1517916,1,0.0653235317984444,,,,,
411,179436077,179435746,3,0.0559614300376416,,,,,
412,1511563,1511562,1,0.0653413342314997,,,,,
413,108593347,108593346,1,0.0511240821390961,,,,,
415,17640599,17640598,1,0.0563397236148247,,,,,
416,30371023,30371022,1,0.0546728394365394,,,,,
417,4991237,4991236,1,0.0606335217054048,,,,,
418,30400031,30400030,1,0.0546699968103086,,,,,
419,109592159,109592158,1,0.0511002413741825,,,,,
420,1512517,1512516,1,0.0653386559600982,,,,,
421,179641801,179641800,1,0.0498454516634544,,,,,
