rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,K_R,eta_aff,K_D,eta_times_KD,Q_exc,Q_energy_L2,C_end
eta_aff,7,hexc_00013,14,1195591,1195386,205,1195669,finite_positive,False,False,False,True,34.0636585686781,0.0004154153049167087,81999.04569117381,34.0636585686781,0.0127144572989962,0.0298022102047381,5.836408019379565
eta_aff,8,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,42.97725121573246,0.0003997805963526505,107502.0939180895,42.97725121573246,0.0091609752093495,0.0289409320608848,6.555703716286487
eta_aff,9,hexc_00055,56,1511449,1511046,403,1511527,finite_positive,False,False,False,True,19.724346274964436,0.00037510683112807467,52583.27665120513,19.724346274964436,0.007718928919738,0.021936891056258,4.441210001223139
eta_aff,10,hexc_00041,42,7117417,7115469,1948,7117417,finite_negative,False,False,False,True,22.42628599254608,0.0003621431164998395,61926.58363715169,22.42628599254608,0.007641518998895,0.0190226809017068,4.735639977082937
eta_aff,11,hexc_00017,18,3241093,3239129,1964,3241093,finite_negative,False,False,False,True,11.070062029486163,0.0003223417146451283,34342.62934809226,11.070062029486165,0.0081749848918229,0.014804352452555,3.3271702735937883
eta_aff,12,hexc_00087,88,3290641,3290318,323,3290641,finite_negative,False,False,False,True,37.064381685718736,0.00032146709121427065,115297.59250228772,37.064381685718736,0.0078480023338476,0.0270342406488881,6.088052372123514
eta_aff,13,hexc_00047,48,3440630,3439819,811,3440807,finite_positive,False,False,False,True,20.24626336143573,0.00031206758182784027,64877.81666666382,20.24626336143573,0.0089098695882727,0.0198622859451843,4.499584798782631
eta_aff,14,hexc_00007,8,3452747,3451296,1451,3452747,finite_negative,False,False,False,True,15.020940233851428,0.0003049414510545176,49258.44020846473,15.02094023385143,0.0076429115920426,0.0171003681823752,3.8756857759435848
eta_aff,15,hexc_00001,2,24181,24178,3,24317,finite_positive,False,False,False,True,7.070485412778683,0.00029921548732170635,23630.07836281127,7.070485412778683,0.0184358992034248,0.0260719675992124,2.659038437627159
eta_aff,16,hexc_00031,32,3293113,3292080,1033,3293113,finite_negative,False,False,False,True,10.433606039597807,0.0002167543171115325,48135.63198480204,10.433606039597809,0.0061349229944132,0.0143419944171364,3.2301092922063503
eta_aff,17,hexc_00029,30,4994789,4991760,3029,4994789,finite_negative,False,False,False,True,6.7725090752872426,0.0001940008489264702,34909.687832624615,6.7725090752872426,0.0057126820734734,0.0109392128733572,2.602404479570238
eta_aff,18,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,55.32747455760799,0.0001905539623356168,290350.6905837068,55.32747455760799,0.0108684538700757,0.0277787667189073,7.438244050688844
eta_aff,19,hexc_00066,67,39699197,39695992,3205,39699197,finite_negative,False,False,False,True,29.188175754491084,0.0001871865445184669,155930.95021641112,29.188175754491088,0.0085253544488815,0.0176475393958707,5.402608236258769
eta_aff,20,hexc_00039,40,30417481,30409154,8327,30417481,finite_negative,False,False,False,True,15.40448913963717,0.00018634179473541563,82667.92300412159,15.40448913963717,0.0085348501864403,0.0132198484570757,3.92485530174517
eta_aff,21,hexc_00030,31,7108243,7105465,2778,7108243,finite_negative,False,False,False,True,9.370049690420158,0.0001830505303507334,51188.323095632135,9.370049690420158,0.0068229245505902,0.0122980144137617,3.061053689568374
eta_aff,22,hexc_00044,45,12836777,12833438,3339,12836777,finite_negative,False,False,False,True,10.544763546459029,0.00016592655673394301,63550.788698443015,10.544763546459029,0.0060864238556851,0.0121209451709498,3.2472701683812866
eta_aff,23,hexc_00054,55,12895717,12894136,1581,12895717,finite_negative,False,False,False,True,17.41866946035995,0.00015891694966435195,109608.63203799137,17.41866946035995,0.0082557947953519,0.0155697804405851,4.173567953245754
eta_aff,24,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,15.157642687894906,0.00015270097539979443,99263.56166494606,15.157642687894906,0.0069005695359736,0.0127176592353945,3.893281737544165
eta_aff,25,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,24.385436628711634,0.00015172443417858675,160721.88214594912,24.385436628711634,0.0110407093348006,0.0161300283803644,4.9381612598933655
K_D,1,hexc_00531,532,604687003,604687002,1,604687003,post_P0_positive_tail,True,False,False,False,0.0,0.0,316352183.9207044,0.0,4.448958455640229e-15,0.0,0.0
K_D,2,hexc_00807,808,604691687,604691686,1,604691687,post_P0_positive_tail,True,False,False,False,0.0,0.0,315913676.86439073,0.0,4.448955046956111e-15,0.0,0.0
K_D,3,hexc_00694,695,604435457,604435456,1,604435457,post_P0_positive_tail,True,False,False,False,0.0,0.0,314331437.0291725,0.0,0.0,0.0,0.0
K_D,4,hexc_00869,870,604866473,604866472,1,604866473,post_P0_positive_tail,True,False,False,False,0.0,0.0,311680628.05194104,0.0,0.0,0.0,0.0
K_D,5,hexc_00720,721,604672807,604672806,1,604672807,post_P0_positive_tail,True,False,False,False,0.0,0.0,311460587.7954804,0.0,0.0,0.0,0.0
K_D,6,hexc_00856,857,604712203,604712202,1,604712203,post_P0_positive_tail,True,False,False,False,0.0,0.0,310886592.2959173,0.0,4.448940117218696e-15,0.0,0.0
K_D,7,hexc_00902,903,604435093,604435092,1,604435093,post_P0_positive_tail,True,False,False,False,0.0,0.0,310448858.82338715,0.0,4.449141822612188e-15,0.0,0.0
K_D,8,hexc_00665,666,604874693,604874692,1,604874693,post_P0_positive_tail,True,False,False,False,0.0,0.0,309964818.79915774,0.0,8.897643783709675e-15,0.0,0.0
K_D,9,hexc_00894,895,604814921,604814920,1,604814921,post_P0_positive_tail,True,False,False,False,0.0,0.0,309911943.2311864,0.0,0.0,0.0,0.0
K_D,10,hexc_00597,598,604874233,604874232,1,604874233,post_P0_positive_tail,True,False,False,False,0.0,0.0,309795658.6073078,0.0,0.0,0.0,0.0
K_D,11,hexc_00975,976,604830077,604830076,1,604830077,post_P0_positive_tail,True,False,False,False,0.0,0.0,309342485.83415323,0.0,0.0,0.0,0.0
K_D,12,hexc_00657,658,604205663,604205662,1,604205663,post_P0_positive_tail,True,False,False,False,0.0,0.0,309155056.7733711,0.0,0.0,0.0,0.0
K_D,13,hexc_00628,629,604176893,604176892,1,604176893,post_P0_positive_tail,True,False,False,False,0.0,0.0,309063594.2392382,0.0,4.449329859214345e-15,0.0,0.0
