q,count,count_frac,sum_W,sum_W_frac,sum_W2,sum_W2_frac,mean_W,mean_W_over_shell2,mean_W2,side_left_frac
8963,1,6.058182787491064e-06,3.135859822838431e-07,3.638393860481786e-12,9.833616828492277e-14,1.524884135990966e-18,3.135859822838431e-07,1.9916507758867703e-07,9.833616828492277e-14,0.0
12721,2,1.2116365574982128e-05,3.1135147261768436e-07,3.612467873001963e-12,4.846986975060032e-14,7.516149626868377e-19,1.5567573630884218e-07,9.88729466630322e-08,2.423493487530016e-14,0.5
8999,1,6.058182787491064e-06,3.1108203414237694e-07,3.6093417023511052e-12,9.677203196615899e-14,1.5006293099121275e-18,3.1108203414237694e-07,1.9757476726217228e-07,9.677203196615899e-14,0.0
9001,1,6.058182787491064e-06,3.109438061795675e-07,3.607737906902182e-12,9.668605060143645e-14,1.4992960098523125e-18,3.109438061795675e-07,1.9748697576480568e-07,9.668605060143645e-14,1.0
9007,1,6.058182787491064e-06,3.105296746301548e-07,3.6029329290908625e-12,9.642867882590981e-14,1.4953049845317484e-18,3.105296746301548e-07,1.9722395207487547e-07,9.642867882590981e-14,0.0
12763,2,1.2116365574982128e-05,3.0930567686557274e-07,3.588731446232908e-12,4.783500087063504e-14,7.41770146680906e-19,1.5465283843278637e-07,9.822328262713934e-08,2.391750043531752e-14,0.5
9067,1,6.058182787491064e-06,3.064334722543738e-07,3.555406577731692e-12,9.390147291787208e-14,1.4561159835287445e-18,3.064334722543738e-07,1.946223674694357e-07,9.390147291787208e-14,0.0
9133,1,6.058182787491064e-06,3.020205669255781e-07,3.5042056677348775e-12,9.121642284604757e-14,1.4144793168751958e-18,3.020205669255781e-07,1.918196381324925e-07,9.121642284604757e-14,1.0
9151,1,6.058182787491064e-06,3.008335876796784e-07,3.4904336937156704e-12,9.050084747622677e-14,1.4033829974987482e-18,3.008335876796784e-07,1.910657625546238e-07,9.050084747622677e-14,0.0
12979,2,1.2116365574982128e-05,2.990962476317262e-07,3.4702761365506404e-12,4.472928267368944e-14,6.936102428329244e-19,1.495481238158631e-07,9.498117060624126e-08,2.236464133684472e-14,0.5
9181,1,6.058182787491064e-06,2.9887078134221614e-07,3.467660154938438e-12,8.932374394010676e-14,1.3851298304295623e-18,2.9887078134221614e-07,1.8981914281210488e-07,8.932374394010676e-14,1.0
13009,2,1.2116365574982128e-05,2.9771834905996267e-07,3.4542890134421426e-12,4.431810768349489e-14,6.872342142505697e-19,1.4885917452998133e-07,9.454360437009137e-08,2.2159053841747444e-14,0.5
9209,1,6.058182787491064e-06,2.970561087764864e-07,3.4466053441530518e-12,8.824233176142768e-14,1.3683605348133531e-18,2.970561087764864e-07,1.8866660595532513e-07,8.824233176142768e-14,0.0
9241,1,6.058182787491064e-06,2.9500236199363764e-07,3.422776665232903e-12,8.702639358182524e-14,1.349505164782571e-18,2.9500236199363764e-07,1.8736222801606084e-07,8.702639358182524e-14,0.0
13127,2,1.2116365574982128e-05,2.923899620567492e-07,3.392466190822429e-12,4.27459449557736e-14,6.628549238581247e-19,1.461949810283746e-07,9.28515188323569e-08,2.13729724778868e-14,0.5
9311,1,6.058182787491064e-06,2.905833862710049e-07,3.3715053232496e-12,8.443870437672404e-14,1.309378258410738e-18,2.905833862710049e-07,1.845556432438372e-07,8.443870437672404e-14,0.0
9337,1,6.058182787491064e-06,2.889673106780328e-07,3.3527547417576567e-12,8.350210664049473e-14,1.2948545785207204e-18,2.889673106780328e-07,1.8352923951711665e-07,8.350210664049473e-14,0.0
9343,1,6.058182787491064e-06,2.88596284851945e-07,3.3484498998196135e-12,8.328781563034497e-14,1.2915316001338054e-18,2.88596284851945e-07,1.8329359318209237e-07,8.328781563034497e-14,1.0
13241,2,1.2116365574982128e-05,2.873769017503077e-07,3.334301958772438e-12,4.1292741829803006e-14,6.403203220751426e-19,1.4368845087515386e-07,9.125956861567691e-08,2.0646370914901503e-14,0.5
9371,1,6.058182787491064e-06,2.868742437352362e-07,3.3284698491142242e-12,8.22968317186637e-14,1.2761645620205587e-18,2.868742437352362e-07,1.8219988851416572e-07,8.22968317186637e-14,1.0
13259,2,1.2116365574982128e-05,2.865971637569169e-07,3.3252550176200447e-12,4.10689671367545e-14,6.368502816473194e-19,1.4329858187845846e-07,9.101195458519397e-08,2.053448356837725e-14,0.5
13267,2,1.2116365574982128e-05,2.8625163182991256e-07,3.321245969662425e-12,4.0969998362643903e-14,6.353155877881642e-19,1.4312581591495628e-07,9.090222727444175e-08,2.0484999181321952e-14,1.0
13297,2,1.2116365574982128e-05,2.8496143681386637e-07,3.30627643055542e-12,4.0601510235511575e-14,6.296014979556517e-19,1.4248071840693318e-07,9.049251222818249e-08,2.0300755117755788e-14,0.0
9433,1,6.058182787491064e-06,2.8311557699377225e-07,3.2848597684079982e-12,8.015442993651659e-14,1.2429426605829389e-18,2.8311557699377225e-07,1.7981267991593172e-07,8.015442993651659e-14,1.0
9439,1,6.058182787491064e-06,2.827557605797991e-07,3.2806849841208757e-12,7.995082014106067e-14,1.239785314181933e-18,2.827557605797991e-07,1.7958415291518786e-07,7.995082014106067e-14,0.0
13399,2,1.2116365574982128e-05,2.8063940774943355e-07,3.2561299160386376e-12,3.937923859097641e-14,6.1064791583901945e-19,1.4031970387471677e-07,8.912000627672207e-08,1.9689619295488206e-14,0.5
13411,2,1.2116365574982128e-05,2.801374069714778e-07,3.2503054320002598e-12,3.923848339235168e-14,6.084652461948329e-19,1.400687034857389e-07,8.896059063071171e-08,1.961924169617584e-14,0.5
