extreme_type,candidate_id,block_id,x,y,h,p_star,Q_energy_L2,Q_exc,C_bridge,row_regime,post_P0_by_pstar,threshold_relevant,forbidden,finite_certified_flag,high_energy,B_L2_exported,B_abs_max,increment_centered_sqsum,sqrt_increment_centered_sqsum_over_sqrt_h,increment_centered_rms,R_inc,C_bridge_over_centered_increment_rms,increment_centered_abs_max
top_C_bridge,hexc_00254,255,33472333,33472329,4,33472553,0.0201946235958818,0.0143392191682336,6.0623950243430045,finite_positive,False,False,False,True,False,12.124790048686053,8.609223195047889,291.5569103067339,8.537518818525877,8.537518818525877,0.7100886279966976,0.710088627996695,8.609223195047775
top_C_bridge,hexc_00399,400,31019929,31019925,4,31019993,0.0202827788463261,0.0144020784216403,6.035494089121896,finite_positive,False,False,False,True,False,12.070988178243844,8.571178519813657,288.9642888667794,8.499474820051816,8.499474820051816,0.7101020024064414,0.7101020024064383,8.57117851981343
top_C_bridge,hexc_00320,321,109471009,109470995,14,109471171,0.0175999931381343,0.0102675552005105,6.0308749175919,finite_positive,False,False,False,True,False,22.56546768411746,13.164333829767202,932.2214502593082,8.160100884614934,8.468136886449054,0.7390686711928441,0.7121843917335196,12.70559230906691
top_C_bridge,hexc_00297,298,30423259,30423255,4,30423359,0.0203053990582444,0.0144182081956392,6.028627397243738,finite_positive,False,False,False,True,False,12.057254794487477,8.561467292326142,288.30435522930816,8.489763766285082,8.489763766285082,0.7101054355817161,0.710105435581716,8.561467292326142
top_C_bridge,hexc_00123,124,30340831,30340827,4,30340987,0.0203085588396176,0.0144204613622394,6.027668214267579,finite_positive,False,False,False,True,False,12.055336428535215,8.56011076656796,288.21223157411475,8.488407264824696,8.488407264824696,0.7101059157759547,0.7101059157759514,8.560110766567732
top_C_bridge,hexc_00251,252,39640132,39639838,294,39640253,0.0193544199730838,0.0073904639568024,5.924145429614268,finite_positive,False,False,False,True,False,101.57793425217237,38.78742235319578,6315.833390148477,4.634913860807303,13.834337375189312,1.2781565326830977,0.4282203960298605,52.44507407267454
top_C_bridge,hexc_00185,186,22052341,22052337,4,22052431,0.0206876955885622,0.014690835140949,5.91486101763221,finite_positive,False,False,False,True,False,11.829722035264455,8.400572960837962,277.4804599516577,8.328872371930935,8.328872371930935,0.7101634835426045,0.7101634835426024,8.400572960837849
top_C_bridge,hexc_00431,432,604813747,604812190,1557,604813747,0.0143794447369027,0.0057665882988697,5.879263670149526,post_P0_negative_tail,True,False,False,False,False,231.98892044446754,93.03450992577382,91918.17901461835,7.683452304514368,50.5300183099716,0.7651851585901326,0.11635190064812051,182.22875779460077
top_C_bridge,hexc_00222,223,604848841,604844050,4791,604848841,0.0142946321039825,0.0069214615088821,5.844620224509285,post_P0_negative_tail,True,False,False,False,False,404.5473698590188,195.88185471513864,1104585.4786317188,15.184013433867419,168.29350724344798,0.38491932649855937,0.03472873267805065,509.3902660387977
top_C_bridge,hexc_00013,14,1195591,1195386,205,1195669,0.0298022102047381,0.0127144572989962,5.8364080193795465,finite_positive,False,False,False,True,True,83.56464567374776,35.651017552909366,4786.4121407224175,4.832013235284338,12.425795412616733,1.2078625896057016,0.4697009588177715,43.659560190213725
top_C_bridge,hexc_00462,463,604208350,604207847,503,604208581,0.01420392955179,0.0060333598827342,5.806926480333364,post_P0_negative_tail,True,False,False,False,False,130.2357814098816,55.319856099673416,15611.94018444959,5.571144805356051,21.75061140516451,1.0423219433734061,0.2669776206361976,71.66802329573699
