candidate_id,block_id,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,E_theta,E_theta_sign,Q_R2Q,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,Q_formula_sum,formula_residual,abs_formula_residual,positive_harmless_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,primitive_available_flag,instrumentation_gap_flag
hexc_00028,29,3456977,3455716,1261,3456977,3456977,False,True,-56.54292508843059,negative,0.1341559286414388,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,negative,0.11743564884154789,62.47652506736517,3456171,37,0.007761498672462699,0.1251971475140106,0.008958781127428206,0.008958781127428206,False,False,False,False,True,False
hexc_00029,30,4994789,4991760,3029,4994789,4994789,False,True,-113.94054074237602,negative,0.1879865387221068,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,negative,0.17510748585096741,74.79600740040587,4992724,37,0.005712682073473406,0.18082016792444083,0.007166370797665966,0.007166370797665966,False,False,False,False,True,False
hexc_00030,31,7108243,7105465,2778,7108243,7108243,False,True,-80.20709910296955,negative,0.1766899326140388,-1580.4968693296976,-3707.454245328314,-2126.957375998616,negative,0.16212751151346744,89.51022293063807,7107680,38,0.00682292455059029,0.16895043606405774,0.007739496549981073,0.007739496549981073,False,False,False,False,True,False
hexc_00031,32,3293113,3292080,1033,3293113,3293113,False,True,-117.56184933337444,negative,0.1154116378424172,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,negative,0.09713660499328679,44.40858594402789,3292775,37,0.006134922994413269,0.10327152798770006,0.01214010985471714,0.01214010985471714,False,False,False,False,True,False
hexc_00032,33,1197619,1197615,4,1197619,1197697,False,True,23.99169028406876,positive,0.0726584885625681,-723.0462496968461,-750.2475287109113,-27.20127901406522,negative,0.06943156889258409,6.944030893516242,1197616,5,0.017724716515208832,0.08715628540779292,-0.014497796845224828,0.014497796845224828,True,False,False,False,True,False
hexc_00033,34,127,126,1,127,127,False,True,3.844187086458591,positive,0.2157084836048593,-7.288219387840677,-11.809056409299268,-4.520837021458592,negative,0.19265355863346534,0.0,126,2,0.0,0.19265355863346534,0.02305492497139397,0.02305492497139397,True,False,False,False,True,False
hexc_00034,35,354953,354952,1,354953,354953,False,True,11.779740665326448,positive,0.080127585396028,-338.8765720674441,-351.3329626677706,-12.456390600326472,negative,0.07626901476748829,0.0,354952,2,0.0,0.07626901476748829,0.003858570628539712,0.003858570628539712,True,False,False,False,True,False
hexc_00035,36,39707851,39704004,3847,39707851,39707851,False,True,-452.5803398765943,negative,0.1623741874086595,-3590.415609090645,-6194.606063479505,-2604.19045438886,negative,0.13714548445978042,209.64678474559514,39706404,39,0.011040709334800693,0.14818619379458112,0.014187993614078381,0.014187993614078381,False,False,False,False,True,False
hexc_00036,37,1657,1656,1,1657,1657,False,True,6.412764017426562,positive,0.1389495863976313,-24.515635713926613,-31.60504966635317,-7.089413952426561,negative,0.12901790519204107,3.552713678800501e-15,1657,2,6.465466393439502e-17,0.12901790519204112,0.009931681205590182,0.009931681205590182,True,False,False,False,True,False
hexc_00037,38,155921,155920,1,155921,156007,False,True,10.957104747706284,positive,0.0868104441327406,-219.20299235558093,-230.83674703828723,-11.633754682706297,negative,0.08136315476443405,0.0,155920,2,0.0,0.08136315476443405,0.005447289368306546,0.005447289368306546,True,False,False,False,True,False
