feature,value,rows,neg_rows,neg_frac,mean_z,min_z,neg_max,median_h,median_qpp_over_denom,median_cp_ratio
y_mod_30,24,2,2,1.0,-0.0031723998378090567,-0.0035088219475990115,0.0035088219475990115,2817.0,0.0,0.13770869654982046
mu,0.006-0.01,1,1,1.0,-0.0015990424153537095,-0.0015990424153537095,0.0015990424153537095,684790.0,9.5330264469676e-05,1.819256709639388
depth,>=0.70,4,1,0.25,0.05883226883253307,-0.0015990424153537095,0.0015990424153537095,32208.0,4.7665132234838e-05,0.3984539606254322
y_mod_30,15,14,1,0.07142857142857142,0.051250203366720475,-0.001497601637075678,0.001497601637075678,225.0,0.0,0.05869290723882165
decade,1e2-1e3,5,0,0.0,0.7052703985055361,0.5036852651434395,0.0,1.0,0.0,0.1707575979731007
decade,1e3-1e4,5,0,0.0,0.3000923458572084,0.24746001893999353,0.0,1.0,0.0,0.1252023670442801
decade,1e4-1e5,17,0,0.0,0.14972704544536083,0.03966844251883067,0.0,1.0,0.0,0.0943896668138165
decade,1e5-1e6,35,0,0.0,0.08076688128305126,0.005074113749470822,0.0,1.0,0.0,0.079871308359875
mu,0.01-0.018,1,0,0.0,0.08969171900200533,0.08969171900200533,0.0,104130.0,0.0,0.862526348366495
y_mod_30,27,9,0,0.0,0.07090216269784921,0.013549388089768471,0.0,4.0,0.0,0.0597199396392292
h_mod_30,12,4,0,0.0,0.00530079268235497,0.00010166801169336919,0.0,6222.0,0.0,0.164605374077914
h_mod_30,6,1,0,0.0,0.0033964647077223005,0.0033964647077223005,0.0,846.0,0.0,0.0817237377621316
recovery_position,>=0.95,1191,0,0.0,0.03616483922625361,0.017624144446579136,0.0,1.0,0.0,0.057322995670915
shell_pattern,10000,1241,0,0.0,0.04054338574116914,0.017624144446579136,0.0,1.0,0.0,0.0574831963320775
shell_pattern,11110,19,0,0.0,0.08656301435872195,0.060207226028768525,0.0,4.0,0.0,0.055060010476967
shell_active_count,1,1241,0,0.0,0.04054338574116914,0.017624144446579136,0.0,1.0,0.0,0.0574831963320775
shell_active_count,4,19,0,0.0,0.08656301435872195,0.060207226028768525,0.0,4.0,0.0,0.055060010476967
