scope,rows,neg_rows,neg_frac,mean_z,median_z,std_z,min_z,max_z,neg_max,neg_median,q01_z,q05_z,q10_z,q90_z,q95_z,median_p_star,median_h,median_mu_over_sqrt_p,median_cp_ratio
y_mod_30:7,6,5,0.8333333333333334,-0.008554322504146948,-0.009890572684511642,0.00904697782642429,-0.017950843415599656,0.005636302866266539,0.017950843415599656,0.015682011036113726,-0.017934861579378254,-0.017870934234492635,-0.017791025053385617,0.0020186302254564144,0.0038274665458614765,143286816.0,3028.0,0.18059446795721765,0.1212488771666545
y_mod_30:14,6,3,0.5,0.007359362926102329,0.001165956582037967,0.02440994916783059,-0.017860118525054897,0.058606911829291064,0.017860118525054897,0.0075167682455929506,-0.0173429510110818,-0.01527428095518941,-0.012688443385323923,0.03360057558159295,0.046103743705442006,35305208.0,5405.0,0.15287571386203175,0.2101326035627904
recovery_position:0.25-0.50,9,7,0.7777777777777778,-0.0014147834104701483,-0.007445181336138469,0.022172157324579802,-0.017631206691171575,0.05711371157497466,0.017631206691171575,0.014505183987968769,-0.01760661439234102,-0.017508245197018806,-0.017385283702866038,0.016333796128311952,0.03672375385164328,31026421.0,128.0,0.5470523263902219,0.0656901337841472
h:65<=h<=256,3,2,0.6666666666666666,-0.004298474770673098,-0.0014030348874939848,0.00991770097104622,-0.017631206691171575,0.006138817266646264,0.017631206691171575,0.00951712078933278,-0.017306643255098023,-0.016008389510803817,-0.014385572330436056,0.004630446835818215,0.005384632051232238,39635819.0,205.0,0.5470523263902219,0.0588053295328899
y_mod_30:11,5,3,0.6,-0.0027121696269607675,-0.004900020134107151,0.009502474222831589,-0.01751015553677154,0.010827228564615625,0.01751015553677154,0.005374365736263073,-0.017024723944751203,-0.015082997576669846,-0.012655839616568153,0.007854923021858296,0.00934107579323696,109494199.0,846.0,0.2960057158298597,0.0817237377621316
depth:0.60-0.65,3,2,0.6666666666666666,-0.006794689122923453,-0.00917826988505208,0.009734097724377071,-0.017344614750364543,0.006138817266646264,0.017344614750364543,0.013261442317708311,-0.017181287853058294,-0.016527980263833297,-0.01571134577730205,0.0030753998363065955,0.004607108551476428,3279709.0,797.0,0.4174089909971991,0.1060058846880691
y_mod_30:2,2,2,1.0,-0.009054015258153197,-0.009054015258153197,0.008290599492211346,-0.017344614750364543,-0.0007634157659418516,0.017344614750364543,0.009054015258153197,-0.017178802760520317,-0.016515554801143407,-0.015686494851922275,-0.0024215356643841205,-0.0015924757151629869,18386278.0,866.0,0.3983944382196007,0.0961722814353981
y_mod_30:29,4,2,0.5,0.021319759677078467,0.006455561331049096,0.041492220451052914,-0.017323802955789655,0.08969171900200533,0.017323802955789655,0.011312884415427422,-0.016963147843367922,-0.015520527393680985,-0.013717251831572314,0.06824812986255276,0.07896992443227902,21775695.0,1592.0,0.21255274915020445,0.12814994863208734
h:5<=h<=16,6,4,0.6666666666666666,0.014206095729761831,-0.010975182662053619,0.040346799365415,-0.016842403132266606,0.0830951993001843,0.016842403132266606,0.015342376014091452,-0.016809261377663982,-0.016676694359253487,-0.01651098558624037,0.07010445543757948,0.07659982736888189,30584070.0,10.5,0.5823631612358724,0.0655756453463309
recovery_position:0.50-0.75,2,1,0.5,0.03312639808395885,0.03312639808395885,0.049968801216225454,-0.016842403132266606,0.0830951993001843,0.016842403132266606,0.016842403132266606,-0.015843027107942095,-0.01184552301064406,-0.006848642889021515,0.07310143905693922,0.07809831917856175,21794894.0,11.5,0.5648548932406317,0.06455139026372095
y_mod_30:21,2,1,0.5,0.03360807993564481,0.03360807993564481,0.049487119364539485,-0.015879039428894674,0.0830951993001843,0.015879039428894674,0.015879039428894674,-0.014889297041603885,-0.010930327492440724,-0.005981615555986775,0.0731977754272764,0.07814648736373035,12819369.0,457.0,0.3955197760835028,0.0793407815908895
y_mod_30:5,9,6,0.6666666666666666,0.0006861061417574007,-0.00687754083685666,0.021224804604749112,-0.01500814080264492,0.05711371157497466,0.01500814080264492,0.01016234004401622,-0.01490259356961697,-0.01448040463750517,-0.013952668472365419,0.01762708834359949,0.03737039995928705,39637237.0,738.0,0.3330266852058992,0.0736278072537615
y_mod_30:6,7,4,0.5714285714285714,0.002961621772365901,-0.00603652731099433,0.017479529122528523,-0.014505183987968769,0.0359430301375596,0.014505183987968769,0.010407838627537011,-0.01436987587230634,-0.013828643409656624,-0.013152102831344482,0.02638134818885938,0.031162189163209477,12801751.0,961.0,0.368186812273321,0.0899443884131837
y_mod_30:23,2,1,0.5,0.016435986871623356,0.016435986871623356,0.027558082051112414,-0.011122095179489058,0.043994068922735774,0.011122095179489058,0.011122095179489058,-0.010570933538466809,-0.008366286974377815,-0.0056104787692665735,0.03848245251251329,0.04123826071762453,303112064.0,2841.0,0.16832138607144015,0.13954942499920986
y_mod_30:22,4,1,0.25,0.01988954463857934,0.017684877736583334,0.022298015697659636,-0.00837399585414129,0.05256241893529198,0.00837399585414129,0.00837399585414129,-0.007817469985979441,-0.005591366513332049,-0.002808737172522808,0.0443515599712783,0.04845698945328513,15417250.0,1398.0,0.2561294381463542,0.11600747020652205
depth:0.65-0.70,5,1,0.2,0.03341934637598296,0.02851567579435417,0.03179674472290038,-0.0075167682455929506,0.08969171900200533,0.0075167682455929506,0.0075167682455929506,-0.0064158217735135305,-0.0020120358851958495,0.0034926964752012516,0.06837471611030548,0.07903321755615539,3452747.0,2483.0,0.1680401152375338,0.1786966438467436
y_mod_30:13,1,1,1.0,-0.00459140626290162,-0.00459140626290162,0.0,-0.00459140626290162,-0.00459140626290162,0.00459140626290162,0.00459140626290162,-0.00459140626290162,-0.00459140626290162,-0.00459140626290162,-0.00459140626290162,-0.00459140626290162,113166227.0,11734.0,0.0883202306418206,0.2503069484559692
y_mod_30:24,2,2,1.0,-0.0031723998378090567,-0.0031723998378090567,0.00033642210978995475,-0.0035088219475990115,-0.002835977728019102,0.0035088219475990115,0.0031723998378090567,-0.0035020935054032123,-0.003475179736620016,-0.0034415375256410204,-0.002903262149977093,-0.0028696199389980975,40291071.0,2817.0,0.20853570255599818,0.13770869654982046
depth:>=0.70,2,1,0.5,0.028503934706968676,0.028503934706968676,0.030102977122322384,-0.0015990424153537095,0.058606911829291064,0.0015990424153537095,0.0015990424153537095,-0.0009969828729072617,0.0014112552968785293,0.004421553009110768,0.05258631640482659,0.055596614117058824,105752417.0,374601.5,0.01620854227129445,1.2501833254713766
