block_id,p_star,y,h,z,neg_Q,is_tail,scale_bin,decade,depth_bin,mu_bin,h_bin,d_worst,mu_over_sqrt_p,cp_ratio,Q_pp,Qpp_over_denom,pstar_mod_30,y_mod_30,recovery_position,recovery_pos_bin,canonical_scaled_E_post,denom_sqrt_h_logB
118,179650181,179648340,1841,-0.018723683895514986,0.018723683895514986,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5296956933022615,0.4114629737177304,0.0958698914280892,0.0,0.0,11,0,0.015508021390374332,<=0.05,-290.2174378660643,15500.018024528928
181,180635669,180633960,1709,-0.01867278741617868,0.01867278741617868,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5206382279255354,0.3360819510214528,0.0931836500249432,0.0,0.0,29,0,0.023428571428571427,<=0.05,-279.020081487196,14942.604725711406
105,604432601,604410439,22162,-0.0185650504340669,0.0185650504340669,True,p>=500M,1e8-1e9,0.50-0.55,0.05-0.10,8193<=h<=65536,0.5334724890412538,0.0692256786570605,0.2914811871626422,0.0,0.0,11,19,0.0078789506670248,<=0.05,-1129.9373148132,60863.681401035305
183,109726069,109724532,1537,-0.018535174756034445,0.018535174756034445,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5206202622554175,0.2806423184946106,0.0924099628241718,0.0,0.0,19,12,0.016005121638924456,<=0.05,-249.06377370785867,13437.357725843489
78,3441797,3441229,568,-0.01826160714045132,0.01826160714045132,False,p<100M,1e6-1e7,0.50-0.55,0.10-0.25,257<=h<=1024,0.5395140348759366,0.2364809512915388,0.0865309897820664,0.0,0.0,17,19,0.030716723549488054,<=0.05,-98.59910576164287,5399.256757814914
184,604356173,604335487,20686,-0.017950843415599656,0.017950843415599656,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,8193<=h<=65536,0.5205875205310606,0.0468781621859058,0.2819169646022565,0.0,0.0,23,7,0.007865707434052759,<=0.05,-1055.5320602935026,58801.251610062136
219,604167899,604161649,6250,-0.01794450994623471,0.01794450994623471,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5172732423296151,0.1340000012880298,0.1550942530280692,0.0,0.0,29,19,0.007936507936507936,<=0.05,-579.9713449901546,32320.266573334306
98,33843191,33842396,795,-0.01786698348384646,0.01786698348384646,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.5345501807262867,0.4769763734223912,0.0761893412087709,0.0,0.0,11,26,0.02334152334152334,<=0.05,-151.42414938407126,8475.081958908948
301,604360789,604358714,2075,-0.017860118525054897,0.017860118525054897,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5110799580241403,0.2567016929339186,0.0905498237696835,0.0,0.0,19,14,0.03127917833800187,<=0.05,-332.61514908516074,18623.34500292116
432,604813747,604812190,1557,-0.017778306486607668,0.017778306486607668,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5071543563506292,0.2157421214577808,0.0809591793277333,0.0,0.0,7,10,0.047123623011015914,<=0.05,-286.8240189118285,16133.371259399311
241,40846543,40846297,128,-0.017631206691171575,0.017631206691171575,False,p<100M,1e7-1e8,0.50-0.55,0.50-1.00,65<=h<=256,0.5148229707481402,0.5100416853509171,0.0576405602980837,0.0,0.0,13,7,0.3526315789473684,0.25-0.50,-61.26600565262925,3474.8617451865503
304,604870961,604869251,1710,-0.01751015553677154,0.01751015553677154,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5110119311425245,0.2960057158298597,0.084228112951883,0.0,0.0,11,11,0.055248618784530384,0.05-0.25,-296.0553706547587,16907.637972320623
316,604434563,604433380,1183,-0.017499423222618864,0.017499423222618864,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.5105318094227971,0.4402289565620084,0.0706267903397897,0.0,0.0,23,10,0.05511182108626198,0.05-0.25,-246.0764136513368,14061.97281595378
57,179620853,179616870,3983,-0.01734757717544536,0.01734757717544536,False,100M<=p<500M,1e8-1e9,0.55-0.60,0.25-0.50,1025<=h<=8192,0.5561088242646545,0.3345482204258432,0.1434186712486546,0.0,0.0,23,0,0.04712918660287081,<=0.05,-395.495757607358,22798.32818194132
12,3279709,3278912,797,-0.017344614750364543,0.017344614750364543,False,p<100M,1e6-1e7,0.60-0.65,0.25-0.50,257<=h<=1024,0.6235492881763838,0.4174089909971991,0.1060058846880691,0.0,0.0,19,2,0.0860091743119266,0.05-0.25,-110.22126572475428,6354.78315956471
175,12776941,12776609,332,-0.017323802955789655,0.017323802955789655,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.521066220051637,0.3102327233864931,0.0675855848506355,0.0,0.0,1,29,0.2905982905982906,0.25-0.50,-84.51742159025667,4878.687537946786
160,33870121,33869043,1078,-0.016846602726609126,0.016846602726609126,False,p<100M,1e7-1e8,0.50-0.55,0.10-0.25,1025<=h<=8192,0.5232136310345508,0.23955614321944,0.0914618710863124,0.0,0.0,1,3,0.07863247863247863,0.05-0.25,-166.27306648425542,9869.827714381128
243,30781319,30781182,7,-0.016842403132266606,0.016842403132266606,False,p<100M,1e7-1e8,0.50-0.55,0.50-1.00,5<=h<=16,0.5145396995342892,0.5629218044653177,0.0666639054628127,0.0,0.0,29,12,0.6674757281553398,0.50-0.75,-13.247973291973452,786.5845026944545
176,30359687,30358683,1004,-0.016277257610501236,0.016277257610501236,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.520884515259784,0.2878469425896354,0.0892723594368366,0.0,0.0,17,3,0.04743833017077799,<=0.05,-153.0909049346286,9405.202559174486
356,33821677,33821502,7,-0.016179568040214136,0.016179568040214136,False,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,5<=h<=16,0.5091036125226484,0.4117864568039323,0.0654611569085146,0.0,0.0,7,12,0.38380281690140844,0.25-0.50,-12.8660260475813,795.2020731086848
