candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,bridge_excursion_raw,bridge_excursion_argmax,scale_denominator,threshold_relevant_flag,forbidden_flag,row_regime,bridge_sample_count,bridge_sample_min_t,bridge_sample_max_t,bridge_energy_raw,bridge_energy_mean,bridge_energy_rms,bridge_energy_max,bridge_samples_source,Q_exc_above_0p025_flag,missing_Q_exc_flag,bridge_samples_available_flag,bridge_energy_available_flag,Q_energy_sum,Q_energy_rms,Q_exc_over_Q_energy_rms,Q_exc_over_Q_energy_sum,V2_row_available_flag,V2_row,sqrt_V2_row,Q_exc_over_sqrt_V2_row,V2_global,sqrt_V2_global,Q_exc_over_sqrt_V2_global,variance_proxy_mode
hexc_00031,32,3293113,3292080,1033,3293113,negative,False,True,-117.56184933337444,0.1154116378424172,0.0971366049932867,0.0061349229944132,,44.40858594402789,3292775,7238.654174546005,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.2971057867048891,partial_row_level_energy_available
hexc_00032,33,1197619,1197615,4,1197697,positive,False,True,23.99169028406876,0.0726584885625681,0.069431568892584,0.0177247165152088,,6.944030893516242,1197616,391.7710552695081,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.8583833650671518,partial_row_level_energy_available
hexc_00033,34,127,126,1,127,positive,False,True,3.844187086458591,0.2157084836048593,0.1926535586334653,0.0,,0.0,126,23.466148528612173,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
hexc_00034,35,354953,354952,1,354953,positive,False,True,11.779740665326448,0.080127585396028,0.0762690147674882,0.0,,0.0,354952,163.3217714729985,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
hexc_00035,36,39707851,39704004,3847,39707851,negative,False,True,-452.5803398765943,0.1623741874086595,0.1371454844597804,0.0110407093348006,,209.64678474559517,39706404,18988.52495688672,False,False,finite_negative,39.0,39704004.0,39707851.0,93810.77471065368,2405.404479760351,49.044923078340645,209.64678474559517,prime_mesh_r2q_hexc_path_shape_worst_paths.csv,False,False,True,True,0.016130028380364415,0.0025828716653714134,4.274586880495652,0.6844817054532154,False,,,,0.0004263792000474,0.0206489515483821,0.5346861950318087,partial_row_level_energy_available
hexc_00036,37,1657,1656,1,1657,positive,False,True,6.412764017426562,0.1389495863976313,0.129017905192041,6.465466393439502e-17,,3.552713678800501e-15,1657,54.94907037805399,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,3.131135437211139e-15,partial_row_level_energy_available
hexc_00037,38,155921,155920,1,156007,positive,False,True,10.957104747706284,0.0868104441327406,0.081363154764434,0.0,,0.0,155920,142.98554076951442,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
hexc_00038,39,39690667,39682692,7975,39690667,negative,False,True,-364.0109776889212,0.2349256240499423,0.2184817075940539,0.0069005695359736,,188.65092151155025,39685548,27338.45670681034,False,False,finite_negative,39.0,39682692.0,39690667.0,120882.20043596147,3099.543600922089,55.67354489272341,188.65092151155025,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.012717659235394568,0.0020364552940859483,3.3885200210451383,0.542597455101533,False,,,,0.0004263792000474,0.0206489515483821,0.3341849836687848,partial_row_level_energy_available
hexc_00039,40,30417481,30409154,8327,30417481,negative,False,True,-228.7179970545885,0.24963148266117,0.2357893781039462,0.0085348501864403,,231.2263682727644,30414125,27092.02425604648,False,False,finite_negative,39.0,30409154.0,30417481.0,128273.18106575872,3289.055924763044,57.350291409573884,231.2263682727644,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.01321984845707571,0.002116869927014563,4.0318255163070225,0.6456087763904858,False,,,,0.0004263792000474,0.0206489515483821,0.4133309222234593,partial_row_level_energy_available
hexc_00040,41,604672261,604520611,151650,604672261,negative,True,False,-1617.0683062109456,0.7568596623500748,0.7467076670478365,0.0014698183580815,,234.02143940953465,604525630,159217.93201370913,True,False,threshold_relevant_negative,41.0,604520611.0,604672261.0,325776.2393050943,7945.761934270592,89.13900343996781,234.02143940953465,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.0035848230548423603,0.0005598553021797361,2.6253540019339296,0.4100114107713286,False,,,,0.0004263792000474,0.0206489515483821,0.07118125850785215,partial_row_level_energy_available
hexc_00041,42,7117417,7115469,1948,7117417,negative,False,True,-117.76229972501552,0.1460888226947264,0.1301567329770984,0.007641518998895,,83.96168172265811,7116001,10987.564348763462,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.3700681354687828,partial_row_level_energy_available
hexc_00042,43,12781267,12779528,1739,12781267,negative,False,True,-151.7480364006467,0.1300675391522673,0.1101458902583867,0.0053725661686165,,59.99064002851856,12780269,11166.105385346242,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.26018590609930775,partial_row_level_energy_available
hexc_00043,44,109588091,109577354,10737,109588091,negative,False,True,-629.3445955758762,0.2415685632788372,0.2225301612998425,0.0066368119233886,,235.6779201208592,109583672,35510.71249892,False,False,finite_negative,40.0,109577354.0,109588091.0,168341.98486060055,4208.549621515014,64.87333521189592,235.6779201208592,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.011554118982401851,0.0018268666170488394,3.632893535549876,0.5744109034619748,False,,,,0.0004263792000474,0.0206489515483821,0.3214115693883069,partial_row_level_energy_available
hexc_00044,45,12836777,12833438,3339,12836777,negative,False,True,-163.66723291570224,0.1752468754780604,0.1608095545919656,0.0060864238556851,,94.22200439377092,12834759,15480.68399898904,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.29475704088045995,partial_row_level_energy_available
hexc_00045,46,618029,618028,1,618029,positive,False,True,12.3342906609052,0.0748436752518515,0.0731760324597099,0.0,,0.0,618028,177.80330742950363,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
hexc_00046,47,12807413,12805898,1515,12807413,negative,False,True,-205.7621329185172,0.1184377830877646,0.0957330676536776,0.006714545286013,,69.99762783200504,12806707,10424.775595424971,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.3251760880101006,partial_row_level_energy_available
hexc_00047,48,3440630,3439819,811,3440807,positive,False,True,46.90968440981942,0.1225172337511368,0.1072136412049886,0.0089098695882727,,57.48108875473781,3440485,6451.395072088945,False,False,finite_positive,37.0,3439819.0,3440630.0,16419.719586124418,443.7762050303897,21.065996416746817,57.48108875473781,prime_mesh_r2q_hexc_path_shape_worst_paths.csv,False,False,True,True,0.01986228594518439,0.0032653396949577453,2.728619506886556,0.44858228367379327,False,,,,0.0004263792000474,0.0206489515483821,0.43149259018774794,partial_row_level_energy_available
