x,p_star,y,h,side,source_coordinate,block_id,Q_theta,Q_R2Q,E_theta_local,theta_local_norm,covered_flag,finite_certificate_flag,tail_flag,B2_active_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,scale_ratio_local_to_global,scale_ratio_global_to_local,sign_match,scale_compatibility_ok,localization_ok,crossing_status,post_P0,failure_reason
1197619,1197697,1197615.0,4.0,positive,theta_local,33,0.0612390577643984,0.0726584885625681,23.99169028406876,0.0612390577643984,True,True,False,True,False,True,0.0726584885625681,False,0.0018275728547393424,547.1738089164303,True,True,True,positive_harmless,False,
127,127,126.0,1.0,positive,theta_local,34,0.1638184076850698,0.2157084836048593,3.844187086458591,0.1638184076850698,True,True,False,True,False,True,0.2157084836048593,False,0.08873565094161139,11.269427669584644,True,True,True,positive_harmless,False,
354953,354953,354952.0,1.0,positive,theta_local,35,0.0721259667898836,0.080127585396028,11.779740665326448,0.0721259667898836,True,True,False,True,False,True,0.080127585396028,False,0.0016784738305106986,595.7793215612639,True,True,True,positive_harmless,False,
39707851,39707851,39704004.0,3847.0,negative,theta_local,36,0.0238344126731367,0.1623741874086595,-452.5803398765943,-0.0238344126731367,True,True,False,True,True,False,,True,0.009842896113245398,101.59611444586102,True,True,True,negative_transferred_repaid,False,
1657,1657,1656.0,1.0,positive,theta_local,37,0.1167037763024239,0.1389495863976313,6.412764017426562,0.1167037763024239,True,True,False,True,False,True,0.1389495863976313,False,0.024566243134638045,40.70626487409524,True,True,True,positive_harmless,False,
155921,156007,155920.0,1.0,positive,theta_local,38,0.0766308585381272,0.0868104441327406,10.957104747706284,0.0766308585381272,True,True,False,True,False,True,0.0868104441327406,False,0.0025327233183619464,394.83191580782534,True,True,True,positive_harmless,False,
39690667,39690667,39682692.0,7975.0,negative,theta_local,39,0.0133149790272631,0.2349256240499423,-364.0109776889212,-0.0133149790272631,True,True,False,True,True,False,,True,0.014174937322052258,70.54704915303422,True,True,True,negative_transferred_repaid,False,
30417481,30417481,30409154.0,8327.0,negative,theta_local,40,0.0084422631137849,0.24963148266117,-228.7179970545885,-0.0084422631137849,True,True,False,True,True,False,,True,0.0165456052888004,60.439009788109274,True,True,True,negative_transferred_repaid,False,
604672261,604672261,604520611.0,151650.0,negative,theta_local,41,0.0101563202445796,0.7568596623500748,-1617.0683062109456,-0.0101563202445796,True,False,True,True,True,False,,True,0.01583657217083879,63.14497791645744,True,True,True,negative_transferred_repaid,True,
7117417,7117417,7115469.0,1948.0,negative,theta_local,42,0.0107177802092479,0.1460888226947264,-117.76229972501552,-0.0107177802092479,True,True,False,True,True,False,,True,0.01654372379068271,60.4458834451281,True,True,True,negative_transferred_repaid,False,
12781267,12781267,12779528.0,1739.0,negative,theta_local,43,0.013590059484822,0.1300675391522673,-151.7480364006467,-0.013590059484822,True,True,False,True,True,False,,True,0.011664411632775068,85.73085651317082,True,True,True,negative_transferred_repaid,False,
109588091,109588091,109577354.0,10737.0,negative,theta_local,44,0.0177226687748103,0.2415685632788372,-629.3445955758762,-0.0177226687748103,True,True,False,True,True,False,,True,0.009898281386935673,101.02763913338109,True,True,True,negative_transferred_repaid,False,
12836777,12836777,12833438.0,3339.0,negative,theta_local,45,0.0105723515140797,0.1752468754780604,-163.66723291570224,-0.0105723515140797,True,True,False,True,True,False,,True,0.016127988725514932,62.0040115986671,True,True,True,negative_transferred_repaid,False,
618029,618029,618028.0,1.0,positive,theta_local,46,0.0693704230771723,0.0748436752518515,12.3342906609052,0.0693704230771723,True,True,False,True,False,True,0.0748436752518515,False,0.0012720247833953975,786.1482048570739,True,True,True,positive_harmless,False,
12807413,12807413,12805898.0,1515.0,negative,theta_local,47,0.0197377997286405,0.1184377830877646,-205.7621329185172,-0.0197377997286405,True,True,False,True,True,False,,True,0.01087616053360753,91.94421109452936,True,True,True,negative_transferred_repaid,False,
3440630,3440807,3439819.0,811.0,positive,theta_local,48,0.0072712465886281,0.1225172337511368,46.90968440981942,0.0072712465886281,True,True,False,True,False,True,0.1225172337511368,False,0.015353041008055443,65.1336760890119,True,True,True,positive_harmless,False,
33902159,33902159,33888759.0,13400.0,negative,theta_local,49,0.0083867655278248,0.3075518627750951,-291.8733586694325,-0.0083867655278248,True,True,False,True,True,False,,True,0.019881022691356477,50.29922331081904,True,True,True,negative_transferred_repaid,False,
3457967,3457967,3457512.0,455.0,negative,theta_local,50,0.0193680367735395,0.0793601948576568,-93.6529697629686,-0.0193680367735395,True,True,False,True,True,False,,True,0.011470841427286074,87.17756289623763,True,True,True,negative_transferred_repaid,False,
12842173,12842173,12840082.0,2091.0,negative,theta_local,51,0.0156957821804743,0.1392439305539144,-192.29332879440085,-0.0156957821804743,True,True,False,True,True,False,,True,0.012760208135750566,78.36862764003646,True,True,True,negative_transferred_repaid,False,
