candidate_id,block_id,p_star,start_prime,worst_prime,end_prime,y,h,Q_tail_start,Q_tail_max_inside,Q_tail_end,Q_local,Q_O2,Q_exc,Q_o2p4_total,accumulation_proxy,unrepaid_tail,candidate_crossing_flag,tail_candidate_flag,tail_candidate_crossing_flag,post_P0_flag,finite_certificate_flag,covered_flag,near_forbidden_flag,forbidden_flag,C_minus_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_Q,endpoint_repayment_failure_flag,valid_scale_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,failure_type,status
b3_00045,45,12836777,12831359,12833357,12836777,12833438.0,3339.0,0.0,0.2554755778173336,0.0,0.1752468754780604,0.0499059549846063,0.0060864238556851,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1608095545919656,False,True,False,False,False,,pass
b3_00046,46,618029,617707,617819,618029,618028.0,1.0,0.0048775569986085,0.2525976855000671,0.0,0.0748436752518515,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0641649095369473,False,True,False,False,False,,pass
b3_00047,47,12807413,12805421,12805861,12807413,12805898.0,1515.0,0.0085204689973865,0.249150671017587,0.0,0.1184377830877646,0.0499059549846063,0.006714545286013,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.0957330676536776,False,True,False,False,False,,pass
b3_00048,48,3440807,3439567,3439697,3440807,3439819.0,811.0,0.0023569269368173,0.2425397801291122,0.0,0.1225172337511368,0.0499059549846063,0.0089098695882727,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.1072136412049886,False,True,False,False,False,,pass
b3_00049,49,33902159,33882019,33888653,33902159,33888759.0,13400.0,0.0003978556177681,0.2373503746540439,0.0,0.3075518627750951,0.0499059549846063,0.0049814047227133,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2975764937115444,False,True,False,False,False,,pass
b3_00050,50,3457967,3457117,3457481,3457967,3457512.0,455.0,0.0117898974611114,0.2343444893985933,0.0,0.0793601948576568,0.0499059549846063,0.006278619086263,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.055366069112823,False,True,False,False,False,,pass
b3_00051,51,12842173,12837641,12840031,12842173,12840082.0,2091.0,0.0029408336413592,0.2320942760939091,0.0,0.1392439305539144,0.0499059549846063,0.0050051051752984,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1199057486653474,False,True,False,False,False,,pass
b3_00052,52,1512479,1512223,1512331,1512479,1512478.0,1.0,0.0269880947061702,0.2315583448287048,0.0,0.0713499660129912,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0625919811152364,False,True,False,False,False,,pass
b3_00053,53,356243,356123,356143,356243,356170.0,3.0,0.0214468576197104,0.2310236613031944,0.0,0.0917954514179663,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.060350928171621,False,True,False,False,False,,pass
b3_00054,54,7112297,7108643,7109983,7112297,7110038.0,2259.0,0.0117039920507577,0.22552130591618,0.0,0.1547550134720171,0.0499059549846063,0.0030623697626775,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1421341086327225,False,True,False,False,False,,pass
b3_00055,55,12895717,12892843,12894071,12895717,12894136.0,1581.0,0.0060636464204661,0.2251444044515724,0.0,0.1217247995908262,0.0499059549846063,0.0082557947953519,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1031699645978112,False,True,False,False,False,,pass
b3_00056,56,1511527,1510679,1510967,1511527,1511046.0,403.0,0.0036907537343715,0.2245920920865729,0.0,0.0952884508457212,0.0499059549846063,0.007718928919738,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0811829553542681,False,True,False,False,False,,pass
b3_00057,57,179620853,179605427,179616673,179620853,179616870.0,3983.0,0.0013910294287198,0.2244352970586178,0.0,0.1434186712486546,0.0499059549846063,0.0081468555780067,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1108425832777827,False,True,False,False,False,,pass
b3_00058,58,1188511,1188233,1188293,1188511,1188358.0,3.0,0.0270505017518587,0.2182008070146972,0.0,0.0833294497303515,0.0499059549846063,0.0205672364492246,0.0022962565448292,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0593421596929985,False,True,False,False,False,,pass
b3_00059,59,293,283,283,293,292.0,1.0,0.1704252812904658,0.1704252812904658,0.0,0.1707575979731007,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0794692254167219,False,True,False,False,False,,pass
b3_00060,60,3291137,3290647,3290887,3291137,3290975.0,8.0,0.0054608741765371,0.205094357785935,0.0,0.0730965487832678,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.068097615704397,False,True,False,False,False,,pass
b3_00061,61,1190143,1189757,1189933,1190143,1190068.0,3.0,0.0284951465774505,0.2048939846621285,0.0,0.0832943901091022,0.0499059549846063,0.0205672364492246,0.0022770928481098,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0518617723007156,False,True,False,False,False,,pass
b3_00062,62,113166227,113148779,113154493,113166227,113154493.0,11734.0,0.0005798329693305,0.2020077989348792,0.0,0.2503069484559692,0.0499059549846063,0.0041822745120619,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2349919129337335,False,True,False,False,False,,pass
b3_00063,63,30816007,30811999,30813613,30816007,30813688.0,2319.0,0.0050480019860432,0.196451007545757,0.0,0.1321516982536188,0.0499059549846063,0.0075446709207132,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1136507642000766,False,True,False,False,False,,pass
b3_00064,64,604810421,604724509,604756979,604810421,604757400.0,53021.0,0.0005867581555967,0.1951914771539726,0.0,0.4494568065190746,0.0499059549846063,0.0016779826148503,0.0,0.0,0.0,False,True,False,True,False,True,False,False,True,True,True,True,True,False,0.436528398028676,False,True,False,False,False,,pass
b3_00065,65,3439001,3438647,3438833,3439001,3438886.0,3.0,0.0075429520428507,0.1921605705424212,0.0,0.0792717980142518,0.0499059549846063,0.0205672364492246,0.0092756016610594,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0502975014492126,False,True,False,False,False,,pass
