gap_id,prime,eval_label,R_value
gap_006,604143821,prime_left_limit,-0.0006857936829906298
gap_006,604143821,prime_after_jump,-0.0006847475124975104
gap_006,604143913,prime_left_limit,-0.0006895076330140135
gap_006,604143913,prime_after_jump,-0.0006884614626163088
gap_006,604143919,prime_left_limit,-0.0006887719052347523
gap_006,604143919,prime_after_jump,-0.0006877257348371023
gap_006,604143941,prime_left_limit,-0.0006888640244292821
gap_006,604143941,prime_after_jump,-0.0006878178540544487
gap_006,604143983,prime_left_limit,-0.0006899909522724765
gap_006,604143983,prime_after_jump,-0.0006889447819350339
gap_006,604144001,prime_left_limit,-0.0006898761097060323
gap_006,604144001,prime_after_jump,-0.0006888299393934259
gap_006,604144031,prime_left_limit,-0.0006903821523023422
gap_006,604144031,prime_after_jump,-0.0006893359820085131
gap_006,604144039,prime_left_limit,-0.0006897499054435951
gap_006,604144039,prime_after_jump,-0.000688703735164231
gap_006,604144049,prime_left_limit,-0.0006892211394592217
gap_006,604144049,prime_after_jump,-0.0006881749691840608
gap_006,604144067,prime_left_limit,-0.0006891062969078608
gap_006,604144067,prime_after_jump,-0.000688060126657536
gap_006,604144081,prime_left_limit,-0.0006887844926564769
gap_006,604144081,prime_after_jump,-0.0006877383224145036
gap_006,604144133,prime_left_limit,-0.0006904288245741778
gap_006,604144133,prime_after_jump,-0.0006893826543799665
gap_006,604144169,prime_left_limit,-0.0006912453095961215
gap_006,604144169,prime_after_jump,-0.0006901991394392465
gap_006,604144171,prime_left_limit,-0.0006903026202827643
gap_006,604144171,prime_after_jump,-0.0006892564501279635
gap_006,604144223,prime_left_limit,-0.0006919469519693312
gap_006,604144223,prime_after_jump,-0.0006909007818622924
gap_006,604144231,prime_left_limit,-0.0006913147052061792
gap_006,604144231,prime_after_jump,-0.0006902685351074373
gap_006,604144237,prime_left_limit,-0.0006905789776172669
gap_006,604144237,prime_after_jump,-0.0006895328075247477
gap_006,604144253,prime_left_limit,-0.0006903606542161646
gap_006,604144253,prime_after_jump,-0.0006893144841340712
gap_006,604144259,prime_left_limit,-0.0006896249266428049
gap_006,604144259,prime_after_jump,-0.0006885787565731021
gap_006,604144279,prime_left_limit,-0.0006896135649296178
gap_006,604144279,prime_after_jump,-0.0006885673948744894
gap_006,604144291,prime_left_limit,-0.0006891882798811479
gap_006,604144291,prime_after_jump,-0.0006881421098384648
gap_006,604144309,prime_left_limit,-0.0006890734373394225
gap_006,604144309,prime_after_jump,-0.0006880272673154075
gap_006,604144313,prime_left_limit,-0.000688234228981922
gap_006,604144313,prime_after_jump,-0.0006871880589620554
gap_006,604144319,prime_left_limit,-0.0006874985014649719
gap_006,604144319,prime_after_jump,-0.0006864523314513281
gap_006,604144339,prime_left_limit,-0.0006874871397884535
gap_006,604144339,prime_after_jump,-0.0006864409697893839
gap_006,604144369,prime_left_limit,-0.0006879931822492469
gap_006,604144369,prime_after_jump,-0.0006869470122812908
gap_006,604144433,prime_left_limit,-0.0006902583986201326
gap_006,604144433,prime_after_jump,-0.0006892122287123838
gap_006,604144447,prime_left_limit,-0.0006899365944325137
gap_006,604144447,prime_after_jump,-0.0006888904245392844
gap_006,604144451,prime_left_limit,-0.0006890973861740628
gap_006,604144451,prime_after_jump,-0.0006880512162849822
gap_006,604144459,prime_left_limit,-0.0006884651395579114
gap_006,604144459,prime_after_jump,-0.0006874189696771277
gap_006,604144573,prime_left_limit,-0.0006933173757212288
