block_id,p_star,y,h,canonical_z,neg_Q,is_tail,scale_bin,decade,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30,h_mod_30,Q_pp,Qpp_over_denom,cp_ratio,prime_count,local_prime_count,d_worst,mu_over_sqrt_p,recovery_position,recovery_pos_bin,shell_pattern,shell_active_count,canonical_scaled_E_post,denom_sqrt_h_logB
178,109496207,109495510,697,-0.021038775957499166,0.021038775957499166,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,17,10,7,0.0,0.0,0.0652388028843534,28,28,0.5208023032075147,0.5938651999406811,0.07066666666666667,0.05-0.25,11111,5,-190.33357737704387,9046.79900396964
463,604208581,604207847,503,-0.02022870464107225,0.02022870464107225,True,p>=500M,1e8-1e9,0.50-0.55,0.50-1.00,257<=h<=1024,1,17,23,0.0,0.0,0.055570383439438,24,24,0.5064781916090058,0.5007093759924465,0.0316622691292876,<=0.05,11111,5,-185.47692356779783,9168.996574857616
215,604883911,604879711,4200,-0.02015507619056956,0.02015507619056956,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,1,1,0,0.0,0.0,0.1286153186276067,187,187,0.5174284120212457,0.2251952976621232,0.023709902370990237,<=0.05,11111,5,-534.0659550245737,26497.83855813256
297,604724143,604718720,5423,-0.020104447248294032,0.020104447248294032,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,13,20,23,0.0,0.0,0.1444593757832343,254,254,0.5111967758595328,0.1183179348741576,0.007866813025978778,<=0.05,11111,5,-605.3219137090591,30108.856325827302
680,604865039,604864888,3,-0.019754849314279888,0.019754849314279888,True,p>=500M,1e8-1e9,0.50-0.55,>=1.00,h<=4,29,28,3,0.0,0.0,0.0585344103602869,2,2,0.5033495773545552,1.0970228348395437,0.44074074074074077,0.25-0.50,10100,2,-13.990035387645456,708.1823386793789
258,179145961,179143998,1963,-0.018796074136079064,0.018796074136079064,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,1,18,13,0.0,0.0,0.0992292790633997,95,95,0.5137470080736206,0.1842296176947366,0.015546639919759278,<=0.05,11111,5,-300.74897400885175,16000.6271432801
608,604715411,604715326,3,-0.01874942984978795,0.01874942984978795,True,p>=500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,11,16,3,0.0,0.0,0.0575299398750813,2,2,0.5041549213928108,0.6199835263324512,0.7774869109947644,0.75-0.95,10100,2,-13.277690159980471,708.1650090885637
118,179650181,179648340,1841,-0.018723683895514986,0.018723683895514986,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,11,0,11,0.0,0.0,0.0958698914280892,77,77,0.5296956933022615,0.4114629737177304,0.015508021390374332,<=0.05,11111,5,-290.2174378660643,15500.018024528928
181,180635669,180633960,1709,-0.01867278741617868,0.01867278741617868,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,29,0,29,0.0,0.0,0.0931836500249432,76,76,0.5206382279255354,0.3360819510214528,0.023428571428571427,<=0.05,11111,5,-279.020081487196,14942.604725711406
105,604432601,604410439,22162,-0.0185650504340669,0.0185650504340669,True,p>=500M,1e8-1e9,0.50-0.55,0.05-0.10,h>8192,11,19,22,0.0,0.0,0.2914811871626422,1062,1062,0.5334724890412538,0.0692256786570605,0.0078789506670248,<=0.05,11111,5,-1129.9373148132,60863.681401035305
