scope,rows,Q_exc_max,Q_exc_mean,Q_exc_median,Q_exc_q95,Q_exc_q99,Q_DeltaD_max,Q_DeltaD_mean,Q_DeltaD_median,Q_DeltaD_q95,Q_DeltaD_q99,Q_DeltaD_log1_max,Q_delayed_proxy_max,Q_delayed_proxy_mean,Q_delayed_proxy_q95,Q_delayed_proxy_q99,sampled_points_min,sampled_points_median,sampled_points_max,pass_Q_exc_le_0p05_frac,pass_Q_exc_le_0p10_frac,pass_Q_exc_le_0p25_frac,pass_Q_exc_le_1_frac,pass_Q_delayed_le_0p05_frac,pass_Q_delayed_le_0p10_frac,pass_Q_delayed_le_0p25_frac,pass_Q_delayed_le_1_frac,worst_block_id,worst_p_star,worst_h
tail:p_star>=500M,22,0.006921461508882129,0.0047873360747636125,0.0051218934722196685,0.00672093617944219,0.0068819729656546475,0.7467076670478365,0.14593970402716558,0.0850773697380893,0.4286034598078344,0.6815700205538126,15.098576242511108,0.7481774854059181,0.1507270401019292,0.4304381059396462,0.6830835534058156,34,39.0,41,1.0,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.8181818181818182,1.0,41,604672261,151650
scale:p>=500M,22,0.006921461508882129,0.0047873360747636125,0.0051218934722196685,0.00672093617944219,0.0068819729656546475,0.7467076670478365,0.14593970402716558,0.0850773697380893,0.4286034598078344,0.6815700205538126,15.098576242511108,0.7481774854059181,0.1507270401019292,0.4304381059396462,0.6830835534058156,34,39.0,41,1.0,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.8181818181818182,1.0,41,604672261,151650
mu:0.018-0.05,6,0.005297797763304263,0.003463934164343777,0.0036115090286334916,0.005252095370618066,0.005288657284767023,0.7467076670478365,0.49190432835919434,0.48472113500370884,0.72612042233252,0.7425902181047732,15.098576242511108,0.7481774854059181,0.4953682625235382,0.7277831894347196,0.7440986262116784,40,41.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41,604672261,151650
h:8193<=h<=65536,18,0.009801010117957643,0.005049088397733285,0.005048196457636417,0.00872477417616793,0.009585762929599699,0.6643586881865706,0.3160598944817753,0.27568524240682174,0.5526305944099158,0.6420130694312395,11.459309072358824,0.6666003015211243,0.3211089828795086,0.5573145763737745,0.6447431564916541,39,40.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.3888888888888889,1.0,3,30974597,64413
mu:0.05-0.10,14,0.008534850186440335,0.0053698339208032575,0.005205983361178201,0.007818284080006548,0.008391536965153577,0.43725192631542403,0.2596547045115923,0.23539064551883987,0.37337760851107404,0.424477062754554,8.30733638295576,0.4397662573696258,0.26502453843239554,0.3772269817020608,0.4272584022361128,37,40.0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.5714285714285714,1.0,10,178298621,43765
depth:0.60-0.65,3,0.01271445729899623,0.008878349964969433,0.01140626154171027,0.012583637723267635,0.012688293383850512,0.43725192631542403,0.19181428259472613,0.07336887604837976,0.40086362128871955,0.42997426531008315,8.30733638295576,0.4397662573696258,0.20069263255969558,0.4042671453916722,0.4326664349740351,32,37.0,40,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,10,178298621,43765
depth:0.50-0.55,126,0.017288010859361377,0.00604707091501745,0.005482226201174334,0.010358777648620154,0.015597268104277525,0.436528398028676,0.08690972117577568,0.07024683653562652,0.1986073902398259,0.2768574380093341,8.82679000037536,0.43820638064352635,0.09295679209079315,0.20430218125786975,0.2817903271657193,8,37.0,41,1.0,1.0,1.0,1.0,0.06349206349206349,0.7619047619047619,0.9682539682539683,1.0,64,604810421,53021
mu:0.10-0.25,61,0.012866187364944506,0.006220380163660669,0.00574082804089952,0.009801010117957643,0.011770900546858216,0.22253016129984254,0.11130114747496164,0.1101458902583867,0.17082975855642119,0.21581106225972907,4.119531590288212,0.2291669732232312,0.1175215276386223,0.1778027215685368,0.22434639309985913,35,38.0,41,1.0,1.0,1.0,1.0,0.0,0.36065573770491804,1.0,1.0,44,109588091,10737
h:1025<=h<=8192,75,0.011040709334800693,0.005995783094410636,0.005732442374278748,0.00835058874773787,0.010524101921302495,0.21848170759405397,0.10581992335470491,0.09858592980528896,0.17202544844564488,0.1982034792750376,3.8226928632271173,0.22538227713002762,0.11181570644911552,0.17856067360054395,0.20549763354041659,35,38.0,41,1.0,1.0,1.0,1.0,0.0,0.4533333333333333,1.0,1.0,39,39690667,7975
h:257<=h<=1024,61,0.012866187364944506,0.0062804266843423905,0.00574082804089952,0.011081566728119278,0.012370692537958111,0.13517972132212755,0.060181486593093546,0.057299090914668345,0.08230751647664125,0.11840007325184414,1.7279891677066,0.14804590868707207,0.06646191327743595,0.08890188427400617,0.12889246995078557,33,36.0,38,1.0,1.0,1.0,1.0,0.13114754098360656,0.9672131147540983,1.0,1.0,5,356077,784
mu:0.25-0.50,67,0.015533782293435537,0.0061134751890719406,0.005646063608330093,0.0108738522490805,0.013228125330946434,0.11084258327778279,0.0653974433330025,0.06586293274336268,0.08209510642605596,0.10697040162663846,2.106713909771271,0.11898943885578958,0.07151091852207445,0.08946567113197383,0.1147846541739089,8,36.0,40,1.0,1.0,1.0,1.0,0.05970149253731343,0.9552238805970149,1.0,1.0,57,179620853,3983
mu:0.50-1.00,16,0.020567236449224698,0.009867386936430207,0.008822552542883725,0.018107817256827207,0.0200753526107452,0.06809761570439705,0.050871680175066804,0.04739532727311483,0.06564093799138021,0.06760628016179368,1.10239076533547,0.08866485215362176,0.060739067111497014,0.08183114359871398,0.0872981104426402,8,33.5,38,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,60,3291137,8
h:5<=h<=16,6,0.020567236449224698,0.015116235890883503,0.015576106167330196,0.019747430051758868,0.020403275169731533,0.06809761570439705,0.061849025117610174,0.06278747351242875,0.06705691445476109,0.06788947545446987,1.1025618786179625,0.08866485215362176,0.07696526100849367,0.08638694930198583,0.08820927158329457,8,10.5,15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,60,3291137,8
h:65<=h<=256,3,0.01271445729899623,0.009014971274349116,0.00853912222235375,0.012296923791331982,0.012630950597463381,0.06482204542037459,0.05236418773177551,0.047946529235187794,0.06313449380185591,0.06448453509667086,0.9071337323567435,0.07753650271937082,0.061379159006124624,0.07515663880112225,0.0770605299357211,30,32.0,35,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,14,1195669,205
