scope,residual,rows,mean_z,median_z,std_z,rms_z,min_z,max_z,neg_frac,neg_mean,neg_max,q01_z,q05_z,q10_z,q90_z,q95_z,q99_z,pass_Q_le_1_frac,pass_Q_le_0p1_frac,pass_Q_le_0p05_frac,worst_block_id,worst_p_star,worst_y,worst_h,worst_is_tail,worst_neg_Q,worst_z
scale_bin:100M<=p<500M,canonical_scaled,530,0.021840073618911115,0.02483357008543547,0.01423985187500698,0.026072249559667787,-0.03085627775811593,0.07826625918866961,0.1018867924528302,0.0014319320314084341,0.03085627775811593,-0.022293756139222267,-0.016330996851462727,-0.0013907233303987986,0.027471689253134767,0.027742377134215162,0.07183482191359566,1.0,1.0,1.0,87,109467389,109460158,7231,False,0.03085627775811593,-0.03085627775811593
scale_bin:100M<=p<500M,canonical_raw,530,0.021871835076026143,0.02486156162777229,0.014236637036448707,0.026097107190270544,-0.03079327439755567,0.07831410938142476,0.1018867924528302,0.001427145271181895,0.03079327439755567,-0.02225364855936536,-0.016314212735404936,-0.0009799362585291977,0.027501265708275945,0.027771959429503692,0.0718802455136042,1.0,1.0,1.0,87,109467389,109460158,7231,False,0.03079327439755567,-0.03079327439755567
scale_bin:p<100M,fitted,796,0.012637683262871015,0.00445391908096799,0.041765704715749676,0.043635823914025554,-0.06850346210343525,0.5736457947872946,0.07788944723618091,0.0027614365641863707,0.06850346210343525,-0.058378936726194236,-0.023189303202267485,0.002043647305858581,0.02862717456269127,0.05798011176858721,0.16396069804723862,1.0,1.0,0.9660804020100503,2,24317,24178,3,False,0.06850346210343525,-0.06850346210343525
scale_bin:p<100M,canonical_scaled,796,0.04777309773130135,0.03568612157379535,0.0643362090594949,0.08013374234984601,-0.03946320129494251,0.9748126741428922,0.07412060301507538,0.0008839397854991766,0.03946320129494251,-0.017358944347404894,-0.008173193763130557,0.01146723220053121,0.07099076686518142,0.09341741501240182,0.2568595141452163,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
scale_bin:p<100M,canonical_raw,796,0.047816407777158815,0.035720043953096275,0.06436299729525952,0.08018107179092283,-0.03945333721536144,0.9752445214850918,0.07412060301507538,0.0008820579678288579,0.03945333721536144,-0.017327665924927235,-0.008146402348017619,0.011526992369935683,0.07104252049277521,0.09347262303197393,0.2569952138260059,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
scale_bin:p>=500M,fitted,142,-0.006375812474435737,-0.004618117050537012,0.010544880948309006,0.012322560566829469,-0.046737266645962575,0.07672217013016465,0.971830985915493,0.007039739446375644,0.046737266645962575,-0.044926265470824456,-0.02063535763784317,-0.016238284898296658,-0.003993025450313142,-0.0038502369769174427,0.008792897664659453,1.0,1.0,1.0,680,604865039,604864888,3,True,0.046737266645962575,-0.046737266645962575
scale_bin:p>=500M,canonical_scaled,142,0.012727070261491856,0.01839084256459647,0.01443678169473766,0.01924575234025583,-0.03437235322817768,0.060207226028768525,0.1619718309859155,0.002959519556502354,0.03437235322817768,-0.03170957670088925,-0.020086967351593325,-0.017751491391624054,0.018993572328268576,0.019110516456094517,0.019301769971528288,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03437235322817768,-0.03437235322817768
scale_bin:p>=500M,canonical_raw,142,0.01275597806068703,0.018415627932719704,0.014426576816810924,0.019257234872537523,-0.03411027957901503,0.06024733749362576,0.1619718309859155,0.002951456625444154,0.03411027957901503,-0.031688346593816544,-0.02004341115749344,-0.017728444980484693,0.01901835738196309,0.01913530171448733,0.019326555917882342,1.0,1.0,1.0,41,604672261,604520611,151650,True,0.03411027957901503,-0.03411027957901503
mu_bin:0.10-0.25,fitted,74,0.0010994387161314034,4.7285624423679035e-05,0.024333415360670848,0.024358240260853422,-0.03802327212646223,0.06929856955850373,0.4864864864864865,0.00895894250479159,0.03802327212646223,-0.037120663458465354,-0.035667652593461274,-0.030398105835600243,0.03815156796517284,0.04634719711711358,0.05690373718117091,1.0,1.0,1.0,382,604365031,604363228,1803,True,0.03802327212646223,-0.03802327212646223
mu_bin:0.10-0.25,canonical_scaled,74,0.0076472510076375155,0.0023509826662416592,0.02720806518930359,0.028262329332862973,-0.028712832289133048,0.1130830804299642,0.4864864864864865,0.006797080410151325,0.028712832289133048,-0.027580407692778194,-0.02253772106649067,-0.021770200547176658,0.03825834613140099,0.05544034371721743,0.0913485522175497,1.0,1.0,1.0,382,604365031,604363228,1803,True,0.028712832289133048,-0.028712832289133048
