candidate_id,block_id,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,offsets_sorted,offsets_full_length,sample_offsets_min,sample_offsets_max,left_endpoint_sampled_flag,right_endpoint_sampled_flag,offset_gap_pattern,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,simple_geometric_h_match_flag,simple_geometric_h_symmetric_difference_count,simple_geometric_h_missing_offsets,simple_geometric_h_extra_offsets,grid_origin_rule,grid_depends_on_Lambda_by_code_flag,grid_depends_on_candidate_h_flag,grid_depends_on_parent_sr11_y_path_flag,grid_endpoint_complete_flag,lambda_event_count,samples_on_event_count,event_to_sample_alignment_score,nearest_sample_distance_to_event_mean,nearest_sample_distance_to_event_max,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,Q_R2Q,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,row_status
hexc_00020,21,30831334,15789,30847123,False,40,0.0025334093356134016,"0,1,2,3,4,5,7,8,9,10,12,16,21,28,32,36,48,63,64,83,109,128,144,190,251,330,435,574,757,997,1315,1733,2284,3010,3968,5230,6894,9088,11978,15789",142,0,15789,True,True,"1,1,1,1,1,2,1,1,1,2,4,5,7,4,4,12,15,1,19,26,19,16,46,61,79,105,139,183,240,318,418,551,726,958,1262,1664,2194,2890,3811",3811,404.84615384615387,19.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,891,3,0.0322711143217455,531.8900112233446,1904.0,6.28187190744635,18142.37311260896,2888.052061536548,0.338124053326903,negative,False,False,True,primitive_full_verified
hexc_00021,22,60208,1,60209,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0940510554686493,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00022,23,354550,3,354619,False,4,1.3333333333333333,"0,1,2,3",7,0,3,True,True,"1,1,1",1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,2,2,1.0,0.0,0.0,12.095768977095608,12.095768977095608,1.0,0.0920232096308952,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00023,24,180557417,61662,180619079,False,41,0.000664915182770588,"0,1,2,3,4,5,7,8,9,10,12,16,17,23,32,44,60,64,82,113,128,155,212,291,398,546,748,1025,1405,1926,2639,3617,4956,6792,9308,12756,17482,23958,32832,44995,61662",155,0,61662,True,True,"1,1,1,1,1,2,1,1,1,2,4,1,6,9,12,16,4,18,31,15,27,57,79,107,148,202,277,380,521,713,978,1339,1836,2516,3448,4726,6476,8874,12163,16667",16667,1541.55,29.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,3182,4,0.0079518628331455,2415.9893148962915,8332.0,14.887526869901857,47326.17452119338,3178.9144654289626,0.5459231094474968,negative,False,False,True,primitive_full_verified
hexc_00024,25,109790208,23159,109813367,False,41,0.001770370050520316,"0,1,2,3,4,5,6,7,8,10,13,16,18,24,31,32,42,56,64,74,99,128,132,176,234,312,416,554,738,984,1311,1747,2328,3103,4135,5510,7343,9786,13041,17379,23159",147,0,23159,True,True,"1,1,1,1,1,1,1,1,2,3,3,2,6,7,1,10,14,8,10,25,29,4,44,58,78,104,138,184,246,327,436,581,775,1032,1375,1833,2443,3255,4338,5780",5780,578.975,19.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1212,3,0.0233489366665638,799.473597359736,2866.0,8.632103006924334,27452.176913513507,3180.2420443190326,0.3557665519303423,negative,False,False,True,primitive_full_verified
hexc_00025,26,230560,3,230647,False,4,1.3333333333333333,"0,1,2,3",7,0,3,True,True,"1,1,1",1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,2,2,1.0,0.0,0.0,11.294807229091154,11.294807229091154,1.0,0.0944180902326222,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00026,27,1192323,458,1192781,False,35,0.07641921397379912,"0,1,2,3,4,5,6,7,8,10,12,14,16,20,23,28,32,33,39,47,56,64,67,80,95,113,128,134,160,191,227,271,323,384,458",105,0,458,True,True,"1,1,1,1,1,1,1,1,2,2,2,2,4,3,5,4,1,6,8,9,8,3,13,15,18,15,6,26,31,36,44,52,61,74",74,13.470588235294118,4.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,30,5,0.6674507497794766,7.8,28.0,50.66738569136996,861.3782100994046,17.000644464790707,0.0967472985369818,negative,False,False,True,primitive_full_verified
hexc_00027,28,109660803,9994,109670797,False,40,0.0040024014408645186,"0,1,2,3,4,5,6,8,10,11,14,16,18,24,31,32,40,52,64,67,88,114,128,148,193,251,327,425,553,719,936,1218,1584,2061,2681,3488,4538,5904,7682,9994",139,0,9994,True,True,"1,1,1,1,1,1,2,2,1,3,2,2,6,7,1,8,12,12,3,21,26,14,20,45,58,76,98,128,166,217,282,366,477,620,807,1050,1366,1778,2312",2312,256.2564102564103,14.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,502,3,0.0582112224743248,322.6075697211155,1148.0,17.104383267421262,20822.05034498363,1217.3517173602752,0.2345732370876761,negative,False,False,True,primitive_full_verified
hexc_00028,29,3455716,1261,3456977,False,37,0.029341792228390166,"0,1,2,3,4,5,6,8,9,10,12,14,16,17,21,26,32,39,48,59,64,73,89,109,128,134,164,201,247,302,371,455,558,684,839,1028,1261",117,0,1261,True,True,"1,1,1,1,1,1,2,1,1,2,2,2,1,4,5,6,7,9,11,5,9,16,20,19,6,30,37,46,55,69,84,103,126,155,189,233",233,35.02777777777778,6.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,80,2,0.3566492547363049,28.725,114.0,21.239147477501664,1236.5688868146503,58.22121100315022,0.1341559286414388,negative,False,False,True,primitive_full_verified
hexc_00029,30,4991760,3029,4994789,False,37,0.012215252558600198,"0,1,2,3,4,5,6,8,10,12,16,20,25,31,32,39,49,62,64,78,98,123,128,154,194,244,307,386,485,610,766,964,1212,1524,1916,2409,3029",123,0,3029,True,True,"1,1,1,1,1,1,2,2,2,4,4,5,6,1,7,10,13,2,14,20,25,5,26,40,50,63,79,99,125,156,198,248,312,392,493,620",620,84.13888888888889,11.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,189,1,0.1560000459465565,86.85185185185185,308.0,6.757606773120383,2075.3411580947795,307.1118559827761,0.1879865387221068,negative,False,False,True,primitive_full_verified
