group_field,group_value,rows,C_bridge_max,C_bridge_sq_max,B_abs_max,B_sq_over_h_max,dB_L2_max,ddB_L2_max,curvature_ratio_max,effective_support_min,effective_support_frac_min,kappa_L2_max,zero_crossing_count_max,threshold_relevant_rows,forbidden_rows,surviving_proxy_rows,failures
sample_count_bin,11<=m<=25,3.0,8.580752479596955,73.62931311610929,18.50388997128084,73.62931311610959,28.757011322049866,46.664075794202326,0.8207350341918539,2.795554907115363,0.20987604353427172,0.5980892364862637,4.0,0.0,0.0,0.0,0.0
sample_count_bin,26<=m<=50,160.0,8.008560508629008,64.13704142037213,667.0135370697717,64.13704142037233,1474.2515025952246,2715.107599721836,2.0923493384552385,1.5165343292347004,0.037913358230867514,0.8120333708824401,14.0,3.0,1.0,0.0,0.0
sample_count_bin,3<=m<=5,61.0,7.085660762263412,50.20658843787932,10.056372108580035,50.206588437879496,19.969291636973068,34.54609331319811,0.41111072628361545,1.9795187585668574,0.3959037517133715,0.7107554347586448,1.0,0.0,0.0,0.0,0.0
sample_count_bin,6<=m<=10,3.0,7.389235181064235,54.6007965610774,13.100680718981152,54.60079656107779,22.43003988287357,34.10060372273848,0.5885121251796207,2.1966050685535845,0.24406722983928716,0.674720661274595,2.0,0.0,0.0,0.0,0.0
sample_count_bin,m<=2,1241.0,4.547473508864642e-13,2.06795153138257e-25,4.547473508864641e-13,2.0679515313825692e-25,4.547473508864641e-13,0.0,4.5474735088646406e+17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kappa_bin_shape,0.25<k<=0.5,107.0,8.008560508629008,64.13704142037213,667.0135370697717,64.13704142037233,1474.2515025952246,2715.107599721836,2.0923493384552385,4.019020864950144,0.10086496581760224,0.4988154189746642,11.0,3.0,1.0,0.0,0.0
kappa_bin_shape,0.5<k<=0.75,118.0,8.580752479596955,73.62931311610929,311.51713925927834,73.62931311610959,583.7179531620146,818.8316415567805,1.5154013026028026,1.8348568288969094,0.04475260558285145,0.7382422708040317,14.0,0.0,0.0,0.0,0.0
kappa_bin_shape,0.75<k<=1,2.0,4.136664184987013,17.111990579354266,335.81014783297,17.11199057935451,464.1544990091314,709.0068651172052,0.5832698106304188,1.5165343292347004,0.037913358230867514,0.8120333708824401,11.0,0.0,0.0,0.0,0.0
kappa_bin_shape,nan,1241.0,4.547473508864642e-13,2.06795153138257e-25,4.547473508864641e-13,2.0679515313825692e-25,4.547473508864641e-13,0.0,4.5474735088646406e+17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
peak_position_bin,0.1-0.25,49.0,7.700000352930436,59.29000543512884,363.3590972929378,59.290005435129224,665.981382093748,1034.6839898829146,2.0923493384552385,1.9795187585668574,0.05289115657479552,0.7107554347586448,9.0,1.0,0.0,0.0,0.0
peak_position_bin,0.25-0.4,29.0,8.008560508629008,64.13704142037213,459.0970686143192,64.13704142037233,623.7746511368516,986.0596668527957,2.0747631057556077,3.010837388455022,0.07923256285407952,0.5763102579041739,9.0,0.0,0.0,0.0,0.0
