candidate_id,x,source,theta_candidate_flag,B3_candidate_flag,post_P0_flag,finite_certificate_flag,selected_block_id,covered_flag,control_relation_flag,status
cand_00112,30784249,theta,True,False,False,True,theta_local:113:30783029:1220,True,True,covered
cand_00113,359419,theta,True,False,False,True,theta_local:114:359416:3,True,True,covered
cand_00114,3453551,theta,True,False,False,True,theta_local:115:3453550:1,True,True,covered
cand_00115,12830269,theta,True,False,False,True,theta_local:116:12829371:898,True,True,covered
cand_00116,17992177,theta,True,False,False,True,theta_local:117:17991472:705,True,True,covered
cand_00117,179650181,theta,True,False,False,True,theta_local:118:179648340:1841,True,True,covered
cand_00118,1513271,theta,True,False,False,True,theta_local:119:1513270:1,True,True,covered
cand_00119,108561281,theta,True,False,False,True,theta_local:120:108557409:3872,True,True,covered
cand_00120,108842081,theta,True,False,False,True,theta_local:121:108840439:1642,True,True,covered
cand_00121,30418643,theta,True,False,False,True,theta_local:122:30418642:1,True,True,covered
cand_00122,3277217,theta,True,False,False,True,theta_local:123:3277216:1,True,True,covered
cand_00123,30340831,theta,True,False,False,True,theta_local:124:30340827:4,True,True,covered
cand_00124,33827861,theta,True,False,False,True,theta_local:125:33826320:1541,True,True,covered
cand_00125,40847383,theta,True,False,False,True,theta_local:126:40847382:1,True,True,covered
cand_00126,3236861,theta,True,False,False,True,theta_local:127:3236860:1,True,True,covered
cand_00127,187449539,theta,True,False,False,True,theta_local:128:187440181:9358,True,True,covered
cand_00128,40874291,theta,True,False,False,True,theta_local:129:40872504:1787,True,True,covered
cand_00129,109678603,theta,True,False,False,True,theta_local:130:109674416:4187,True,True,covered
cand_00130,12786583,theta,True,False,False,True,theta_local:131:12786580:3,True,True,covered
cand_00131,1189387,theta,True,False,False,True,theta_local:132:1189386:1,True,True,covered
cand_00132,30343471,theta,True,False,False,True,theta_local:133:30342328:1143,True,True,covered
cand_00133,1189751,theta,True,False,False,True,theta_local:134:1189750:1,True,True,covered
cand_00134,12831227,theta,True,False,False,True,theta_local:135:12830878:349,True,True,covered
cand_00135,359539,theta,True,False,False,True,theta_local:136:359538:1,True,True,covered
cand_00136,2819,theta,True,False,False,True,theta_local:137:2818:1,True,True,covered
cand_00137,7048213,theta,True,False,False,True,theta_local:138:7048210:3,True,True,covered
cand_00138,109556411,theta,True,False,False,True,theta_local:139:109553597:2814,True,True,covered
cand_00139,1512661,theta,True,False,False,True,theta_local:140:1512660:1,True,True,covered
cand_00140,12799573,theta,True,False,False,True,theta_local:141:12799572:1,True,True,covered
cand_00141,2275961,theta,True,False,False,True,theta_local:142:2275960:1,True,True,covered
cand_00142,42533,theta,True,False,False,True,theta_local:143:42532:1,True,True,covered
cand_00143,445069,theta,True,False,False,True,theta_local:144:445068:1,True,True,covered
cand_00144,1517807,theta,True,False,False,True,theta_local:145:1517806:1,True,True,covered
cand_00145,1518061,theta,True,False,False,True,theta_local:146:1518060:1,True,True,covered
cand_00146,3458821,theta,True,False,False,True,theta_local:147:3458820:1,True,True,covered
cand_00147,359701,theta,True,False,False,True,theta_local:148:359700:1,True,True,covered
cand_00148,1511821,theta,True,False,False,True,theta_local:149:1511818:3,True,True,covered
cand_00149,108590687,theta,True,False,False,True,theta_local:150:108589025:1662,True,True,covered
cand_00150,39670783,theta,True,False,False,True,theta_local:151:39670780:3,True,True,covered
cand_00151,3291539,theta,True,False,False,True,theta_local:152:3291538:1,True,True,covered
cand_00152,108849263,theta,True,False,False,True,theta_local:153:108847420:1843,True,True,covered
cand_00153,12801751,theta,True,False,False,True,theta_local:154:12800706:1045,True,True,covered
cand_00154,109764139,theta,True,False,False,True,theta_local:155:109762638:1501,True,True,covered
cand_00155,33871261,theta,True,False,False,True,theta_local:156:33870647:614,True,True,covered
cand_00156,1184609,theta,True,False,False,True,theta_local:157:1184608:1,True,True,covered
cand_00157,60127,theta,True,False,False,True,theta_local:158:60126:1,True,True,covered
cand_00158,178905659,theta,True,False,False,True,theta_local:159:178902349:3310,True,True,covered
cand_00159,33870121,theta,True,False,False,True,theta_local:160:33869043:1078,True,True,covered
cand_00160,108572459,theta,True,False,False,True,theta_local:161:108571084:1375,True,True,covered
cand_00161,1198751,theta,True,False,False,True,theta_local:162:1198750:1,True,True,covered
cand_00162,109511267,theta,True,False,False,True,theta_local:163:109509400:1867,True,True,covered
cand_00163,39637237,theta,True,False,False,True,theta_local:164:39636755:482,True,True,covered
cand_00164,40844717,theta,True,False,False,True,theta_local:165:40842945:1772,True,True,covered
cand_00165,30799294,theta,True,False,False,True,theta_local:166:30798784:510,True,True,covered
cand_00166,109682107,theta,True,False,False,True,theta_local:167:109679748:2359,True,True,covered
cand_00167,1196593,theta,True,False,False,True,theta_local:168:1196592:1,True,True,covered
cand_00168,359837,theta,True,False,False,True,theta_local:169:359836:1,True,True,covered
cand_00169,17641579,theta,True,False,False,True,theta_local:170:17641576:3,True,True,covered
cand_00170,33862193,theta,True,False,False,True,theta_local:171:33861455:738,True,True,covered
cand_00171,1198363,theta,True,False,False,True,theta_local:172:1198360:3,True,True,covered
cand_00172,30850279,theta,True,False,False,True,theta_local:173:30850276:3,True,True,covered
cand_00173,30825511,theta,True,False,False,True,theta_local:174:30824836:675,True,True,covered
cand_00174,12776941,theta,True,False,False,True,theta_local:175:12776609:332,True,True,covered
cand_00175,30359687,theta,True,False,False,True,theta_local:176:30358683:1004,True,True,covered
cand_00176,110319577,theta,True,False,False,True,theta_local:177:110315160:4417,True,True,covered
cand_00177,109496207,theta,True,False,False,True,theta_local:178:109495510:697,True,True,covered
cand_00178,30851221,theta,True,False,False,True,theta_local:179:30850871:350,True,True,covered
cand_00179,7112887,theta,True,False,False,True,theta_local:180:7112886:1,True,True,covered
cand_00180,180635669,theta,True,False,False,True,theta_local:181:180633960:1709,True,True,covered
cand_00181,30787789,theta,True,False,False,True,theta_local:182:30787786:3,True,True,covered
cand_00182,109726069,theta,True,False,False,True,theta_local:183:109724532:1537,True,True,covered
cand_00183,604356173,theta,True,False,True,False,theta_local:184:604335487:20686,True,True,covered
cand_00184,187500319,theta,True,False,False,True,theta_local:185:187498570:1749,True,True,covered
cand_00185,22052341,theta,True,False,False,True,theta_local:186:22052337:4,True,True,covered
cand_00186,338531,theta,True,False,False,True,theta_local:187:338530:1,True,True,covered
cand_00187,31027859,theta,True,False,False,True,theta_local:188:31027175:684,True,True,covered
cand_00188,39649783,theta,True,False,False,True,theta_local:189:39649782:1,True,True,covered
cand_00189,31026221,theta,True,False,False,True,theta_local:190:31025775:446,True,True,covered
cand_00190,109772783,theta,True,False,False,True,theta_local:191:109770459:2324,True,True,covered
cand_00191,3459179,theta,True,False,False,True,theta_local:192:3459178:1,True,True,covered
cand_00192,1199993,theta,True,False,False,True,theta_local:193:1199992:1,True,True,covered
cand_00193,33878263,theta,True,False,False,True,theta_local:194:33877658:605,True,True,covered
cand_00194,33865589,theta,True,False,False,True,theta_local:195:33865210:379,True,True,covered
cand_00195,39648137,theta,True,False,False,True,theta_local:196:39647291:846,True,True,covered
cand_00196,30786463,theta,True,False,False,True,theta_local:197:30786460:3,True,True,covered
cand_00197,40839499,theta,True,False,False,True,theta_local:198:40839496:3,True,True,covered
cand_00198,39635782,theta,True,False,False,True,theta_local:199:39635564:218,True,True,covered
cand_00199,17590933,theta,True,False,False,True,theta_local:200:17590930:3,True,True,covered
cand_00200,7051567,theta,True,False,False,True,theta_local:201:7051566:1,True,True,covered
cand_00201,673,theta,True,False,False,True,theta_local:202:672:1,True,True,covered
cand_00202,12784609,theta,True,False,False,True,theta_local:203:12784608:1,True,True,covered
cand_00203,445141,theta,True,False,False,True,theta_local:204:445140:1,True,True,covered
cand_00204,12807857,theta,True,False,False,True,theta_local:205:12807856:1,True,True,covered
cand_00205,180640297,theta,True,False,False,True,theta_local:206:180639336:961,True,True,covered
cand_00206,1518191,theta,True,False,False,True,theta_local:207:1518190:1,True,True,covered
cand_00207,604822567,theta,True,False,True,False,theta_local:208:604819805:2762,True,True,covered
cand_00208,40865926,theta,True,False,False,True,theta_local:209:40865652:274,True,True,covered
cand_00209,30339269,theta,True,False,False,True,theta_local:210:30339268:1,True,True,covered
cand_00210,1507291,theta,True,False,False,True,theta_local:211:1507290:1,True,True,covered
cand_00211,338609,theta,True,False,False,True,theta_local:212:338608:1,True,True,covered
cand_00212,17594719,theta,True,False,False,True,theta_local:213:17594718:1,True,True,covered
cand_00213,231107,theta,True,False,False,True,theta_local:214:231106:1,True,True,covered
cand_00214,604883911,theta,True,False,True,False,theta_local:215:604879711:4200,True,True,covered
cand_00215,12837191,theta,True,False,False,True,theta_local:216:12837190:1,True,True,covered
cand_00216,3236683,theta,True,False,False,True,theta_local:217:3236682:1,True,True,covered
cand_00217,12784091,theta,True,False,False,True,theta_local:218:12784090:1,True,True,covered
cand_00218,604167899,theta,True,False,True,False,theta_local:219:604161649:6250,True,True,covered
cand_00219,1513319,theta,True,False,False,True,theta_local:220:1513318:1,True,True,covered
cand_00220,3452881,theta,True,False,False,True,theta_local:221:3452880:1,True,True,covered
cand_00221,3281627,theta,True,False,False,True,theta_local:222:3281626:1,True,True,covered
cand_00222,604848841,theta,True,False,True,False,theta_local:223:604844050:4791,True,True,covered
cand_00223,30417889,theta,True,False,False,True,theta_local:224:30417888:1,True,True,covered
cand_00224,30422683,theta,True,False,False,True,theta_local:225:30422680:3,True,True,covered
cand_00225,39648883,theta,True,False,False,True,theta_local:226:39648882:1,True,True,covered
cand_00226,17642329,theta,True,False,False,True,theta_local:227:17642326:3,True,True,covered
cand_00227,604708931,theta,True,False,True,False,theta_local:228:604704593:4338,True,True,covered
cand_00228,12421837,theta,True,False,False,True,theta_local:229:12421836:1,True,True,covered
cand_00229,30405923,theta,True,False,False,True,theta_local:230:30405922:1,True,True,covered
cand_00230,17591797,theta,True,False,False,True,theta_local:231:17591796:1,True,True,covered
cand_00231,7103281,theta,True,False,False,True,theta_local:232:7103277:4,True,True,covered
cand_00232,108545317,theta,True,False,False,True,theta_local:233:108544444:873,True,True,covered
cand_00233,33928207,theta,True,False,False,True,theta_local:234:33928206:1,True,True,covered
