candidate_id,block_id,x,y,h,p_star,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,abs_E_theta,row_regime,post_P0_flag,finite_zone_flag,finite_certified_flag,threshold_relevant_flag,forbidden_flag,O2_safe_flag,repaid_flag,B3_safe_flag,non_surviving_flag,surviving_unrepaid_flag,harmless_flag,positive_flag,negative_flag,E_theta_sign,threshold_flag,Q_R2Q_bin,B3_failure,B3_accumulation_risk_flag,B3_surviving_unrepaid_flag,B3_non_surviving_flag,B3_repaid_flag_from_b3,B3_pass,covered_flag
hexc_00062,63,30816007,30813688,2319,30816007,0.1321516982536188,0.1136507642000766,0.0075446709207132,0.0109562631328288,-215.2921471839013,215.2921471839013,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00063,64,604810421,604757400,53021,604810421,0.4494568065190746,0.436528398028676,0.0016779826148503,0.0112504258755482,-1034.3984432700745,1034.3984432700745,primitive_full_verified,True,False,False,False,False,True,True,True,True,False,False,False,True,negative,False,"(0.305, 0.75]",False,True,False,True,True,True,True
hexc_00064,65,3438889,3438886,3,3439001,0.0792717980142518,0.0750723212794575,0.0125120542877309,-0.0083125775529367,27.10131744255433,27.10131744255433,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00065,66,1196077,1196076,1,1196077,0.0711424243631883,0.0698053209783983,0.0,0.0013371033847899,12.994557592691232,12.994557592691232,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00066,67,39699197,39695992,3205,39699197,0.1495716452263878,0.1316093417511963,0.0085253544488815,0.0094369490263099,-265.53724747196566,265.53724747196566,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00067,68,1192069,1192068,1,1192069,0.0712244136304279,0.0698216715498185,0.0,0.0014027420806093,12.991201010838148,12.991201010838148,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00068,69,108581987,108578163,3824,108581987,0.1469597990717331,0.1245862627972834,0.0043804824344325,0.017993053840017,-400.9453068567673,400.9453068567673,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00069,70,12847921,12847029,892,12847921,0.0908608054490663,0.0711926004758948,0.0077829840818417,0.0118852208913297,-139.04176855224262,139.04176855224262,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00070,71,1191481,1191480,1,1191481,0.0710316103925829,0.0698240755547498,0.0,0.001207534837833,12.990707629107597,12.990707629107597,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00071,72,12843647,12843190,457,12843647,0.0679786634633438,0.043641826458844,0.0081632419242064,0.0161735950802932,-113.26485440576494,113.26485440576494,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00072,73,40882169,40877269,4900,40882169,0.1837301433813745,0.1708297585564211,0.0069729630121156,0.0059274218128377,-220.51959869872007,220.51959869872007,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00073,74,1186291,1186290,1,1186291,0.0716803042452162,0.0698453533838172,0.0,0.0018349508613989,12.986342191006576,12.986342191006576,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00074,75,113195507,113182659,12848,113195507,0.2647255241959858,0.2536736118314834,0.0052963922956069,0.0057555200688954,-330.4150379443963,330.4150379443963,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
