block_id,p_star,y,h,theta_local_error,theta_local_norm,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,cp_residual_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30
86,15859,15858,1,8.6714924414986,0.0927057894159821,0.1069835705399953,-0.4812308744670565,-0.5554622346963843,-0.0742313602293278,0.0999397652056914,-0.1069835705399953,0.0038715448402097,False,p<100M,0.50-0.55,>=1.00,h=1,19,18
678,16183,16182,1,8.691716587516886,0.0925345985959794,0.1069747307954135,-0.436537964063807,-0.5101814531608608,-0.0736434890970537,0.0997384149531701,-0.1069747307954135,0.0038554038412977,False,p<100M,0.50-0.55,>=1.00,h=1,13,12
376,15937,15936,1,8.676398728859631,0.092664202109152,0.1034376505744083,-0.4872987259655773,-0.561387073375743,-0.0740883474101656,0.0998908439790589,-0.1034376505744083,0.0038676198064254,False,p<100M,0.50-0.55,0.50-1.00,h=1,7,6
13,42899,42898,1,9.666603794621116,0.0849613864787405,0.0968247715409328,-0.5844225343570068,-0.6343608159734115,-0.0499382816164047,0.0909085751563544,-0.0968247715409327,0.0031828704308526,False,p<100M,0.60-0.65,>=1.00,h=1,29,28
143,42533,42532,1,9.658035524203411,0.0850226176164053,0.0954963866947735,-0.5038835113471808,-0.5539946481583545,-0.0501111368111737,0.0909793723352606,-0.0954963866947734,0.003187990071654,False,p<100M,0.50-0.55,>=1.00,h=1,23,22
56,1511527,1511046,403,9.625130217388572,0.0023682517122969,0.0952884508457212,-0.5777080843218817,-0.846079128720082,-0.2683710443982003,0.0811829553542681,-0.0952884508457212,-0.0023488376302426,False,p<100M,0.55-0.60,0.10-0.25,257<=h<=1024,7,6
83,42923,42922,1,9.66716309178561,0.0849573926179324,0.0952612074725035,-0.5184858524534938,-0.5684128704413194,-0.0499270179878256,0.0909039576698389,-0.0952612074725035,0.0031825366731847,False,p<100M,0.50-0.55,0.50-1.00,h=1,23,22
26,230647,230560,3,21.69655017143579,0.0821469680902342,0.0944180902326222,-0.766642832802324,-0.8167198517460714,-0.0500770189437473,0.0910569767225814,-0.0944180902326222,0.0027422190109088,False,p<100M,0.55-0.60,0.25-0.50,2<=h<=4,7,10
15,43133,43132,1,9.672043644375696,0.0849225570081055,0.0943896668138165,-0.7004792354578507,-0.7503080660626523,-0.0498288306048015,0.0908636843222885,-0.0943896668138165,0.0031796264553406,False,p<100M,0.60-0.65,0.50-1.00,h=1,23,22
22,60209,60208,1,10.005577121783782,0.0826069335200711,0.0940510554686493,-0.5535494336762468,-0.5970836867752664,-0.0435342530990195,0.0881934154907322,-0.0940510554686492,0.0029898241405791,False,p<100M,0.55-0.60,>=1.00,h=1,29,28
16,58309,58308,1,9.973511734352114,0.0828241215201216,0.0939517191622745,-0.5912710920818214,-0.6353761507131253,-0.0441050586313039,0.0884432993920433,-0.0939517191622745,0.0030073226298609,False,p<100M,0.60-0.65,>=1.00,h=1,19,18
17,59333,59332,1,9.990920922612805,0.0827060643791465,0.0929815072257821,-0.6597310130682591,-0.7035252922304286,-0.0437942791621695,0.0883074552338765,-0.0929815072257821,0.0029978032125125,False,p<100M,0.55-0.60,0.50-1.00,h=1,23,22
20,58511,58510,1,9.97697004973177,0.0828006431181152,0.0923670994574258,-0.6357938202172171,-0.67983697717624,-0.0440431569590228,0.0884162808823417,-0.0923670994574258,0.0030054280028841,False,p<100M,0.55-0.60,0.50-1.00,h=1,11,10
4,59921,59920,1,10.0007823069704,0.082639338604307,0.0921982535693211,-0.9770199397789744,-1.0206390997778156,-0.0436191599988412,0.0882306914983774,-0.0921982535693211,0.0029924310055923,False,p<100M,>=0.70,0.25-0.50,h=1,11,10
23,354619,354550,3,22.55722059933116,0.0797526025198991,0.0920232096308952,-0.6026279368134609,-0.644459279169331,-0.04183134235587,0.088072855820278,-0.0920232096308952,0.0025607109599498,False,p<100M,0.55-0.60,0.50-1.00,2<=h<=4,19,10
158,60127,60126,1,10.00421427088809,0.0826161416033808,0.0919654214564058,-0.5079332089658604,-0.551491579586009,-0.0435583706201486,0.0882040074099491,-0.0919654214564058,0.0029905647544437,False,p<100M,0.50-0.55,0.50-1.00,h=1,7,6
476,59141,59140,1,9.987679702292931,0.0827280189182493,0.091902998374857,-0.491460687085192,-0.5353126692657626,-0.0438519821805705,0.0883327149329663,-0.091902998374857,0.0029995720980418,False,p<100M,0.50-0.55,0.50-1.00,h=1,11,10
