block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_t,exc_signed,Q_exc,Q_DeltaD,Q_DeltaD_log1,Q_delayed_proxy,sampled_points,sampled_offset_min,sampled_offset_max,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
272,39651113,39650618,347,-3259.3317899648746,-3590.4350960506385,-331.103306085764,39.865833619837304,39650659,-39.865833619837304,0.00699160625647188,0.05806836923173812,1.0159426781765097,0.06505997548821,34,0.0,347.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1885245901639344
299,39651863,39651244,619,-3209.146527469194,-3676.801981337496,-467.65545386830127,43.71997974397391,39651253,-43.71997974397391,0.00574082804089952,0.061407383049320426,1.074361988587397,0.06714821109021994,36,0.0,619.0,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.07057057057057058
110,39655321,39654336,985,-3345.4523733775527,-4000.476566048808,-655.0241926712538,99.80769344228611,39654503,-99.80769344228611,0.010389185131323364,0.06818279601955109,1.1929081781917514,0.07857198115087445,38,0.0,985.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.09466911764705882
77,39674417,39673239,1178,-3389.708569071312,-4127.561194778472,-737.8526257071599,51.338631919284126,39673430,-51.338631919284126,0.0048863359951688045,0.07022773512529909,1.2287197022917122,0.07511407112046789,37,0.0,1178.0,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.04692556634304207
39,39690667,39682692,7975,-3641.029352975941,-9613.98205726598,-5972.95270429004,188.65092151155022,39685548,188.65092151155022,0.00690056953597366,0.21848170759405397,3.8226928632271173,0.22538227713002762,39,0.0,7975.0,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.02362879529872674
67,39699197,39695992,3205,-3438.66329281793,-5719.635797191333,-2280.972504373403,147.75622177868354,39696630,147.75622177868354,0.008525354448881566,0.13160934175119632,2.3027477950080324,0.14013469620007787,35,0.0,3205.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.015663390663390665
36,39707851,39704004,3847,-3590.415609090645,-6194.606063479505,-2604.19045438886,209.64678474559514,39706404,-209.64678474559514,0.011040709334800693,0.13714548445978042,2.3996426995948554,0.14818619379458112,39,0.0,3847.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.007993811242908716
165,40844717,40842945,1772,-3329.640282937095,-4630.447754329233,-1300.8074713921385,92.63697481956206,40844376,-92.63697481956206,0.007165098678816409,0.10061224379164574,1.7632585532119514,0.10777734247046215,37,0.0,1772.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.03169398907103825
241,40846543,40846297,128,-3297.6453604391604,-3464.252920692983,-166.6075602538226,20.124086018554863,40846307,-20.124086018554863,0.005791334301697372,0.047946529235187794,0.8402788790066227,0.053737863536885165,30,0.0,128.0,False,65<=h<=256,p<100M,0.50-1.00,0.50-0.55,0.3526315789473684
279,40863643,40862800,843,-3287.3466844507457,-3955.337292649857,-667.9906081991116,49.00231330771112,40863190,-49.00231330771112,0.005494769846415341,0.0749037015573616,1.3127436450546173,0.08039847140377694,36,0.0,843.0,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.11820083682008369
209,40866037,40865652,274,-3324.058220622765,-3565.581528215808,-241.52330759304232,24.575397519717626,40865694,-24.575397519717626,0.004833581854121638,0.04750371488365581,0.8325410758750346,0.05233729673777745,34,0.0,274.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.22064777327935223
129,40874291,40872504,1787,-3383.104887628007,-4663.203464141676,-1280.0985765136688,68.8313085734735,40873263,68.8313085734735,0.005300996876280946,0.09858592980528896,1.727818173169382,0.1038869266815699,38,0.0,1787.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.03924731182795699
73,40882169,40877269,4900,-3459.772267638376,-7132.910898843928,-3673.138631205552,149.93090214612675,40881113,-149.93090214612675,0.0069729630121156015,0.17082975855642119,2.9939972934263643,0.1778027215685368,39,0.0,4900.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.01566894335074327
233,108545317,108544444,873,-5360.864341051918,-5921.358088321977,-560.4937472700594,85.04043423152143,108544933,-85.04043423152143,0.008407156865021468,0.055410804257352446,1.0252482861801369,0.06381796112237391,37,0.0,873.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.05519480519480519
120,108561281,108557409,3872,-5504.2852607458935,-8317.085565217782,-2812.800304471888,110.54494003179661,108559316,-110.54494003179661,0.005189136489014858,0.1320368412344233,2.4430546162089533,0.13722597772343817,39,0.0,3872.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0157600406710727
276,108562291,108561847,313,-5331.430370994229,-5563.370454436726,-231.94008344249687,55.15381198050545,108562003,55.15381198050545,0.009105982863413702,0.03829367997107142,0.7085416296712296,0.04739966283448512,33,0.0,313.0,False,257<=h<=1024,100M<=p<500M,0.50-1.00,0.50-0.55,0.10121457489878542
161,108572459,108571084,1375,-5443.477546784972,-6326.484235346579,-883.006688561607,31.213876341613286,108571178,-31.213876341613286,0.0024587559453669756,0.06955553746476602,1.2869811248692558,0.07201429341013299,37,0.0,1375.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.0234375
69,108581987,108578163,3824,-5707.998511750286,-8345.630208395081,-2637.631696644796,92.73975361517205,108579093,-92.73975361517205,0.004380482434432583,0.12458626279728342,2.3052216246508483,0.128966745231716,39,0.0,3824.0,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.031408308004052685
150,108590687,108589025,1662,-5452.081803485794,-6590.997899118936,-1138.9160956331416,85.66798764824125,108590113,-85.66798764824125,0.006137821325365088,0.08159948297469029,1.5098430838995072,0.08773730430005537,36,0.0,1662.0,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,0.047018348623853214
338,108591737,108591025,712,-5298.902699934962,-5818.636488169276,-519.7337882343145,43.042973838391845,108591256,-43.042973838391845,0.004711649811450903,0.05689206360445941,1.0526798763781904,0.06160371341591032,36,0.0,712.0,False,257<=h<=1024,100M<=p<500M,0.25-0.50,0.50-0.55,0.07049608355091384
