block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_signed,exc_t,exc_offset,exc_offset_frac,Q_exc,Q_DeltaD,Q_delayed_proxy,sampled_points,endpoint_line_r2,rms_diff,mean_abs_diff,rms_diff_norm,mean_abs_diff_norm,exc_over_abs_DeltaD,rms_over_abs_DeltaD,max_abs_residual_slope,rms_residual_slope,max_abs_curvature,rms_curvature,zero_crossings,peak_count_90pct,shape_class,endpoint_dominated_2pct,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
70,12847921,12847029,892,-1942.7981056797248,-2512.496857466349,-569.6987517866241,62.281139991531745,62.281139991531745,12847258,229.0,0.25672645739910316,0.007782984081841725,0.0711926004758948,0.0789755845577365,36,0.9842834291639188,18.12483493629132,12.434762762789205,0.0022649762322003823,0.001553914405828563,0.10932293566768884,0.03181477031404806,15.40659749632323,2.73287455251298,16.188984367025796,4.048053525425102,5,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.024070021881838
9,12883477,12871995,11482,-2412.5263892811627,-11055.629614520863,-8643.103225239702,112.55777793578727,112.55777793578727,12878725,6730.0,0.5861348197178192,0.00391915210219175,0.3009444286825112,0.304863580784703,39,0.9997255836925049,31.88210186829582,19.421572290541835,0.0011101037071885504,0.0006762402142814982,0.013022843185199338,0.003688733205822799,7.198999583189561,1.3695432609174427,8.275102062860242,2.0292602862085842,14,1,near_linear_endpoint_dominated,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.65-0.70,0.0157723298474198
55,12895717,12894136,1581,-2000.69471701668,-3100.31873499209,-1099.6240179754095,87.99334457305758,87.99334457305758,12894688,552.0,0.349146110056926,0.008255794795351922,0.1031699645978112,0.1114257593931631,37,0.9887478269065486,27.281771172207176,17.587297031034065,0.00255965613699895,0.001650092015454278,0.0800213010398481,0.024810090291077353,15.353408996956887,2.7079511055710506,16.049072252350243,4.011144037573408,7,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0394896719319562
117,17992327,17991472,705,-2229.4969708850413,-2786.1105119843705,-556.6135410993293,32.2099139247739,-32.2099139247739,17991574,102.0,0.14468085106382977,0.004346886882147871,0.0751177449862599,0.0794646318684078,35,0.987045889539207,14.815571452099741,12.553930622290435,0.001999434501658915,0.0016942149075243704,0.05786764343023044,0.026617339245535637,15.592535663064155,2.984164180569512,16.38205841639683,3.528782644737619,3,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0942796610169491
133,30343471,30342328,1143,-2896.614921368081,-3678.3217433544,-781.7068219863181,47.24085235041639,-47.24085235041639,30342953,625.0,0.5468066491688539,0.004707824326423419,0.077901608662357,0.0826094329887805,39,0.993794791137727,14.731020407612183,11.457103910246015,0.0014680314341827322,0.001141766708587798,0.06043295391791173,0.01884468702752349,16.220796246547252,2.7898866811049334,16.904704227287766,3.0330503015543324,8,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0394957983193277
104,30358319,30357034,1285,-2935.4561349279857,-3791.182012375946,-855.725877447961,37.779926243971204,37.779926243971204,30357888,854.0,0.6645914396887159,0.003550671683798583,0.0804237049730352,0.0839743766568338,37,0.9973058514937263,10.647839986635528,7.7655534977652065,0.0010007161922450328,0.000729830194359841,0.04414956616322346,0.012443050125339994,16.239254507877376,2.837043902062223,17.088242592050392,4.232156789786439,14,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0160796324655436
176,30359687,30358683,1004,-2859.878579379,-3549.502158148514,-689.6235787695141,86.00128378202908,-86.00128378202908,30359359,676.0,0.6733067729083665,0.009144011863746354,0.0733236285375701,0.0824676404013165,38,0.9731239591929889,28.103536128808354,21.45446369102426,0.0029880840898417675,0.0022811272331499217,0.1247075744357233,0.04075199426758741,16.218367122389736,2.92142716087548,17.112187238461047,4.4031534890312205,3,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0474383301707779
305,30386821,30386676,13,-2817.9073093929187,-2884.243883810409,-66.33657441749074,18.503889971281296,18.503889971281296,30386686,10.0,0.7692307692307693,0.017288010859361377,0.0619776393332608,0.0792656501926221,12,0.7291274662139872,8.931130343306089,6.953707182071223,0.008344271318143602,0.006496783404086691,0.27893948600400503,0.13463357765654008,11.803351661096713,7.522694077813195,17.139695680326895,11.063563470436714,1,1,small_absolute_excursion,False,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.3526785714285714
40,30417481,30409154,8327,-3185.022130148648,-9573.033681058874,-6388.011550910226,231.22636827276438,-231.22636827276438,30414125,4971.0,0.5969737000120091,0.008534850186440335,0.2357893781039462,0.2443242282903865,39,0.9984623341244877,57.35029140957388,31.915483199631044,0.0021168699270145627,0.0011780398134151253,0.03619692394573347,0.00897780020472913,7.686308707241096,1.952755315873332,8.738000292417231,2.853446248621851,5,1,small_absolute_excursion,False,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,0.0315189578971853
7,30774449,30670319,104130,-3672.24244464055,-85488.94963792409,-81816.70719328354,363.3590972929378,363.3590972929378,30684688,14369.0,0.1379909728224335,0.003787590185198272,0.8528427097579773,0.8566302999431755,41,0.9999537690955725,115.40010680891533,74.46380352168553,0.0012029100555803675,0.0007761973581299689,0.0044411356770266905,0.001410471171081164,2.43929215461867,0.7608062108618435,3.4475152296146616,0.9126054494227561,3,1,near_linear_endpoint_dominated,True,False,h>65536,p<100M,0.01-0.018,0.65-0.70,0.0
