block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
138,7048303,7048210,3,0.0,4.481335938576571,0.0,4.481335938576571,0.0,0.010405842957724738,0.0,0.010405842957724738,0.0301511056,0.04055694855772474,0.9594430514422753,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,11100,True,0.044370642007482745
65,3439001,3438886,3,0.0,3.639281330507551,0.0,3.639281330507551,0.0,0.009275601661059403,0.0,0.009275601661059403,0.0301511056,0.0394267072610594,0.9605732927389405,bdy,False,h<=4,p<100M,>=1.00,0.50-0.55,11100,True,0.048702629185803585
149,1511863,1511818,3,0.0,0.957235084426987,0.0,0.957235084426987,0.0,0.0027297205023213435,0.0,0.0027297205023213435,0.0301511056,0.03288082610232134,0.9671191738976787,bdy,False,h<=4,p<100M,0.25-0.50,0.50-0.55,11100,True,0.05449109317151783
58,1188511,1188358,3,0.0,0.7782254598846414,0.0,0.7782254598846414,0.0,0.002296256544829283,0.0,0.002296256544829283,0.0301511056,0.03244736214482928,0.9675526378551708,bdy,False,h<=4,p<100M,0.50-1.00,0.55-0.60,11100,True,0.056382057379648666
61,1190143,1190068,3,0.0,0.7718820985070316,0.0,0.7718820985070316,0.0,0.002277092848109802,0.0,0.002277092848109802,0.0301511056,0.0324281984481098,0.9675718015518902,bdy,False,h<=4,p<100M,0.25-0.50,0.55-0.60,11100,True,0.056370997159848286
80,1198607,1198510,3,0.0,0.7502907944789996,0.0,0.7502907944789996,0.0,0.0022111566240151973,0.0,0.0022111566240151973,0.0301511056,0.0323622622240152,0.9676377377759848,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,11100,True,0.05631392979989694
172,1198397,1198360,3,0.0,0.697593223007356,0.0,0.697593223007356,0.0,0.002055904867254927,0.0,0.002055904867254927,0.0301511056,0.03220701046725492,0.9677929895327451,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,11100,True,0.05631533976958573
153,108849263,108847420,1843,9.252729138467673,0.0,0.0,9.252729138467673,0.0006293709991497,0.0,0.0,0.0006293709991497,0.0301511056,0.0307804765991497,0.9692195234008503,pp,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.50-0.55,11111,False,0.0008974062162314697
128,187449539,187440181,9358,9.524493961631899,0.0,0.0,9.524493961631899,0.0002713345538969,0.0,0.0,0.0002713345538969,0.0301511056,0.030422440153896897,0.969577559846103,pp,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,11111,False,0.002444710513773284
75,113195507,113182659,12848,9.272281773513562,0.0,0.0,9.272281773513562,0.0002378661538515,0.0,0.0,0.0002378661538515,0.0301511056,0.0303889717538515,0.9696110282461485,pp,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,11111,False,0.008184822307786877
