metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,lambda_event_count,prime_event_count,prime_power_event_count,sample_count,B_prime_effective_support_frac
lambda_event_weight_sq_sum,8,hexc_00104,105,604432601,22162,True,434187.6454525263,8.95372083559938,1062,1062,0,41,0.05650367396336649
lambda_event_weight_sq_sum,9,hexc_00024,25,109813367,23159,False,415443.40602984704,8.632103006924334,1212,1212,0,41,0.08602448171814606
lambda_event_weight_sq_sum,10,hexc_00183,184,604356173,20686,True,410878.70450052706,10.34327835039503,1005,1005,0,40,0.055112601838899655
lambda_event_weight_sq_sum,11,hexc_00020,21,30847123,15789,False,264952.9009793016,6.28187190744635,891,891,0,40,0.04889656085484474
lambda_event_weight_sq_sum,12,hexc_00074,75,113195507,12848,False,232219.20970225587,15.294287511442386,676,675,1,41,0.1126264036386013
lambda_event_weight_sq_sum,13,hexc_00048,49,33902159,13400,False,227279.07943450435,4.868706166264128,756,756,0,41,0.052865033428749535
lambda_event_weight_sq_sum,14,hexc_00061,62,113166227,11734,False,207022.77611569525,6.659239168363856,602,602,0,40,0.08063545118891983
lambda_event_weight_sq_sum,15,hexc_00089,90,179641471,10782,False,196155.9763356998,15.782038821551193,543,543,0,40,0.08891275932428822
lambda_event_weight_sq_sum,16,hexc_00078,79,109546081,10586,False,189848.61381707797,14.296962892039497,554,554,0,40,0.16222102766203625
lambda_event_weight_sq_sum,17,hexc_00043,44,109588091,10737,False,187114.83108940587,15.650024564874375,546,546,0,40,0.07581503938024836
lambda_event_weight_sq_sum,18,hexc_00008,9,12883477,11482,False,180102.6915603797,3.459859086542252,672,672,0,39,0.0801296065235554
lambda_event_weight_sq_sum,19,hexc_00027,28,109670797,9994,False,172050.0701267297,17.104383267421262,502,502,0,40,0.037927074987456136
lambda_event_weight_sq_sum,20,hexc_00127,128,187449539,9358,False,170999.7579549638,11.35315314289714,472,471,1,39,0.08446426727140825
lambda_event_weight_max,1,hexc_01073,1074,604884331,1,True,20.220547809286526,0.0,1,1,0,2,0.0
lambda_event_weight_max,2,hexc_01423,1424,604884127,1,True,20.220547472031907,0.0,1,1,0,2,0.0
lambda_event_weight_max,3,hexc_00214,215,604883911,4200,True,20.220547114938658,19.385522241824006,187,187,0,40,0.1118760376956425
lambda_event_weight_max,4,hexc_00665,666,604874693,1,True,20.220531875534746,0.0,1,1,0,2,0.0
lambda_event_weight_max,5,hexc_00597,598,604874233,1,True,20.220531115046366,0.0,1,1,0,2,0.0
lambda_event_weight_max,6,hexc_01173,1174,604873349,1,True,20.220529653584467,0.0,1,1,0,2,0.0
lambda_event_weight_max,7,hexc_01454,1455,604873177,1,True,20.22052936922738,0.0,1,1,0,2,0.0
lambda_event_weight_max,8,hexc_01344,1345,604872871,1,True,20.22052886333608,0.0,1,1,0,2,0.0
lambda_event_weight_max,9,hexc_01281,1282,604872803,1,True,20.220528750915758,0.0,1,1,0,2,0.0
lambda_event_weight_max,10,hexc_01327,1328,604872761,1,True,20.220528681479667,0.0,1,1,0,2,0.0
lambda_event_weight_max,11,hexc_01298,1299,604872721,1,True,20.220528615350055,0.0,1,1,0,2,0.0
lambda_event_weight_max,12,hexc_01415,1416,604872577,1,True,20.220528377283415,0.0,1,1,0,2,0.0
lambda_event_weight_max,13,hexc_01378,1379,604872551,1,True,20.220528334299154,0.0,1,1,0,2,0.0
