rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max_shape,B_L2_shape,dB_L2,ddB_L2,kappa_L2_shape,effective_support_frac,bridge_energy_fraction_shape,B_sq_over_h_shape,ratio_B_L2_to_ddB_L2,ratio_B_L2_to_h_ddB_L2,effective_support,shape_distance_to_mean
B_abs_max_shape,11,hexc_00020,21,30847123,30831334,15789,30847123,finite_negative,False,False,False,True,2.507968798244117,6.289907492966041,225.3338417937175,315.13703274360233,355.82325371349447,579.7475020518663,0.7150344719309796,0.048897431756620056,8.917534931222223e-05,,,,,
B_abs_max_shape,12,hexc_00089,90,179641471,179630689,10782,179641471,finite_negative,False,False,False,True,3.972523031931926,15.78093923922962,218.7079087637594,412.49252948068556,377.6771996937301,573.9380625597532,0.5302105932417865,0.08892895887519195,6.206770650640546e-05,,,,,
B_abs_max_shape,13,hexc_00086,87,109467389,109460158,7231,109467389,finite_negative,False,False,False,True,4.115813491290787,16.939920695091256,216.5692739450369,349.98938061919085,280.4119477631578,328.7028296209785,0.6187881288337633,0.06872780228360383,7.629671252521654e-05,,,,,
B_abs_max_shape,14,hexc_00035,36,39707851,39704004,3847,39707851,finite_negative,False,False,False,True,4.938161259893362,24.385436628711595,209.64678474559517,306.2854464558407,220.4792867143945,292.7662721512238,0.6844817054532214,0.054728267859619595,0.00015172443417858677,,,,,
B_abs_max_shape,15,hexc_00074,75,113195507,113182659,12848,113195507,finite_negative,False,False,False,True,3.910332937491072,15.290703682027557,206.45914079307292,443.23240056057836,454.78645948565077,817.74774526063,0.4658033585359591,0.1124115437836037,9.384499837790004e-05,,,,,
B_abs_max_shape,16,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,5.844620224509285,34.15958556874296,195.88185471513864,404.5473698590188,246.54525255495184,269.18484722722496,0.4842000450612292,0.10663268814077849,2.3668597395800367e-05,,,,,
B_abs_max_shape,17,hexc_00009,10,178298621,178254856,43765,178298621,finite_negative,False,False,False,True,1.9041830682272305,3.6259131573232697,189.86549926782936,398.356736268201,404.06546787985013,671.3940271081284,0.47662178640804737,0.1100505528190032,2.0921081111323846e-05,,,,,
B_abs_max_shape,18,hexc_00038,39,39690667,39682692,7975,39690667,finite_negative,False,False,False,True,3.893281737544136,15.157642687894686,188.65092151155025,347.6811764188016,293.20317290915256,445.5344184662168,0.5425974551015369,0.08709232568846512,0.00015270097539979438,,,,,
B_abs_max_shape,19,hexc_00056,57,179620853,179616870,3983,179620853,finite_negative,False,False,False,True,6.295776388796371,39.63680033772587,185.7346871182781,397.33282741948506,223.35045611690273,308.4357663440181,0.4674536668025878,0.11734328751061363,6.583213712460457e-05,,,,,
B_abs_max_shape,20,hexc_00094,95,178011341,178005997,5344,178011341,finite_negative,False,False,False,True,3.640097843201652,13.250312308081318,182.22731859912344,266.1008624081996,261.7839911148126,361.3825978702772,0.6848054416283181,0.05200938733928593,2.943906070270426e-05,,,,,
B_abs_max_shape,21,hexc_00127,128,187449539,187440181,9358,187449539,finite_negative,False,False,False,True,3.369238417105729,11.351767511301118,179.56893819121797,325.9291953335223,271.0513568356661,377.8693272792892,0.5509446246675315,0.08447330624282831,4.033259760632397e-05,,,,,
B_abs_max_shape,22,hexc_00048,49,33902159,33888759,13400,33902159,finite_negative,False,False,False,True,2.2053770129128165,4.863687769084257,173.36115126700133,255.29084610641544,251.50786903510172,421.3249140870893,0.6790731195850926,0.05289115657479552,6.635068265301413e-05,,,,,
