block_family_id,block_id,y,h,right_endpoint,p_star,E_theta,E_theta_sign,Q_R2Q,B2_active_flag,repayment_compatible_flag,endpoint_orientation,partial_interval_allowed,post_P0_block_flag
theta_local:146:1518060:1,146,1518060.0,1.0,1518061.0,1518061.0,13.232944420583566,positive,0.0707800350270976,True,True,positive,False,False
theta_local:147:3458820:1,147,3458820.0,1.0,3458821.0,3458821.0,14.056438337519856,positive,0.0670028543786573,True,True,positive,False,False
theta_local:148:359700:1,148,359700.0,1.0,359701.0,359701.0,11.793028409774374,positive,0.0779234045557953,True,True,positive,False,False
theta_local:149:1511818:3,149,1511818.0,3.0,1511821.0,1511863.0,25.45764956203124,positive,0.0810451897299419,True,True,positive,False,False
theta_local:150:108589025:1662,150,108589025.0,1662.0,108590687.0,108590687.0,-181.7529341824936,negative,0.0995905772584955,True,True,negative,False,False
theta_local:151:39670780:3,151,39670780.0,3.0,39670783.0,39670973.0,31.992251009850825,positive,0.0668468275799452,True,True,positive,False,False
theta_local:152:3291538:1,152,3291538.0,1.0,3291539.0,3291539.0,14.006865794521072,positive,0.0668271319376652,True,True,positive,False,False
theta_local:153:108847420:1843,153,108847420.0,1843.0,108849263.0,108849263.0,-288.5408809320145,negative,0.1012159404301471,True,True,negative,False,False
theta_local:154:12800706:1045,154,12800706.0,1045.0,12801751.0,12801751.0,-46.73192403059045,negative,0.1004851300491716,True,True,negative,False,False
theta_local:155:109762638:1501,155,109762638.0,1501.0,109764139.0,109764139.0,-260.5729102754683,negative,0.0926824198591366,True,True,negative,False,False
theta_local:156:33870647:614,156,33870647.0,614.0,33871261.0,33871261.0,-111.19601929144392,negative,0.0691402528338287,True,True,negative,False,False
theta_local:157:1184608:1,157,1184608.0,1.0,1184609.0,1184609.0,12.984923320297408,positive,0.072561666975567,True,True,positive,False,False
theta_local:158:60126:1,158,60126.0,1.0,60127.0,60127.0,10.00421427088809,positive,0.0919654214564058,True,True,positive,False,False
theta_local:159:178902349:3310,159,178902349.0,3310.0,178905659.0,178905659.0,-326.6294922581101,negative,0.127736784305964,True,True,negative,False,False
theta_local:160:33869043:1078,160,33869043.0,1078.0,33870121.0,33870121.0,-89.73245844873679,negative,0.0914618710863124,True,True,negative,False,False
theta_local:161:108571084:1375,161,108571084.0,1375.0,108572459.0,108572459.0,-209.315923583554,negative,0.0882403302666724,True,True,negative,False,False
theta_local:162:1198750:1,162,1198750.0,1.0,1198751.0,1198751.0,12.996790739381732,positive,0.0719876878780127,True,True,positive,False,False
theta_local:163:109509400:1867,163,109509400.0,1867.0,109511267.0,109511267.0,-89.89320921839476,negative,0.1088223400603969,True,True,negative,False,False
theta_local:164:39636755:482,164,39636755.0,482.0,39637237.0,39637237.0,-62.1134514057519,negative,0.0651451540987114,True,True,negative,False,False
theta_local:165:40842945:1772,165,40842945.0,1772.0,40844717.0,40844717.0,-107.09979019561752,negative,0.1129806929343217,True,True,negative,False,False
theta_local:166:30798784:510,166,30798784.0,510.0,30799294.0,30799397.0,-27.196169889806526,negative,0.0722199673831855,True,True,negative,False,False
theta_local:167:109679748:2359,167,109679748.0,2359.0,109682107.0,109682107.0,-174.45589668660523,negative,0.1167362250522532,True,True,negative,False,False
theta_local:168:1196592:1,168,1196592.0,1.0,1196593.0,1196593.0,12.994988910012886,positive,0.0735589050981222,True,True,positive,False,False
theta_local:169:359836:1,169,359836.0,1.0,359837.0,359837.0,11.793406430119706,positive,0.0800334901917534,True,True,positive,False,False
theta_local:170:17641576:3,170,17641576.0,3.0,17641579.0,17641879.0,30.3715381206486,positive,0.0694300887821649,True,True,positive,False,False
theta_local:171:33861455:738,171,33861455.0,738.0,33862193.0,33862193.0,-113.83924430671334,negative,0.0736278072537615,True,True,negative,False,False
theta_local:172:1198360:3,172,1198360.0,3.0,1198363.0,1198397.0,24.99293236459349,positive,0.0829932104381138,True,True,positive,False,False
theta_local:173:30850276:3,173,30850276.0,3.0,30850279.0,30850439.0,31.489312639240573,positive,0.0687690106203953,True,True,positive,False,False
theta_local:174:30824836:675,174,30824836.0,675.0,30825511.0,30825511.0,-36.97787149460965,negative,0.0784523836661713,True,True,negative,False,False
theta_local:175:12776609:332,175,12776609.0,332.0,12776941.0,12776941.0,11.625904943145828,positive,0.0675855848506355,True,True,positive,False,False
theta_local:176:30358683:1004,176,30358683.0,1004.0,30359687.0,30359687.0,-108.11236392766864,negative,0.0892723594368366,True,True,negative,False,False
theta_local:177:110315160:4417,177,110315160.0,4417.0,110319577.0,110319577.0,-231.7350443422174,negative,0.1561570928801292,True,True,negative,False,False
theta_local:178:109495510:697,178,109495510.0,697.0,109496207.0,109496207.0,-178.6808742050422,negative,0.0652388028843534,True,True,negative,False,False
theta_local:179:30850871:350,179,30850871.0,350.0,30851221.0,30851287.0,12.138297093206972,positive,0.0668106572193494,True,True,positive,False,False
theta_local:180:7112886:1,180,7112886.0,1.0,7112887.0,7112887.0,14.777418767184288,positive,0.0641352518065375,True,True,positive,False,False
theta_local:181:180633960:1709,181,180633960.0,1709.0,180635669.0,180635669.0,-264.0889231567578,negative,0.0931836500249432,True,True,negative,False,False
theta_local:182:30787786:3,182,30787786.0,3.0,30787789.0,30788077.0,31.485257351625947,positive,0.0676460987104531,True,True,positive,False,False
theta_local:183:109724532:1537,183,109724532.0,1537.0,109726069.0,109726069.0,-204.0286805520348,negative,0.0924099628241718,True,True,negative,False,False
theta_local:184:604335487:20686,184,604335487.0,20686.0,604356173.0,604356173.0,-365.2446493016978,negative,0.2819169646022565,True,True,negative,False,True
theta_local:185:187498570:1749,185,187498570.0,1749.0,187500319.0,187500319.0,-263.1556726067745,negative,0.09346455550884,True,True,negative,False,False
theta_local:186:22052337:4,186,22052337.0,4.0,22052341.0,22052431.0,29.817858553351044,positive,0.0607248084445193,True,True,positive,False,False
theta_local:187:338530:1,187,338530.0,1.0,338531.0,338531.0,11.732370947643444,positive,0.079871308359875,True,True,positive,False,False
theta_local:188:31027175:684,188,31027175.0,684.0,31027859.0,31027859.0,-97.48691281590504,negative,0.072244005949339,True,True,negative,False,False
theta_local:189:39649782:1,189,39649782.0,1.0,39649783.0,39649783.0,16.495596033142387,positive,0.0574888285914167,True,True,positive,False,False
theta_local:190:31025775:446,190,31025775.0,446.0,31026221.0,31026421.0,88.76041429147188,positive,0.0841518906254193,True,True,positive,False,False
theta_local:191:109770459:2324,191,109770459.0,2324.0,109772783.0,109772783.0,-157.8722686231877,negative,0.1148387219870256,True,True,negative,False,False
theta_local:192:3459178:1,192,3459178.0,1.0,3459179.0,3459179.0,14.056541835640791,positive,0.068254632757475,True,True,positive,False,False
theta_local:193:1199992:1,193,1199992.0,1.0,1199993.0,1199993.0,12.997826281407882,positive,0.0715987515628432,True,True,positive,False,False
theta_local:194:33877658:605,194,33877658.0,605.0,33878263.0,33878389.0,1.8396280710575184,positive,0.0805833243274027,True,True,positive,False,False
theta_local:195:33865210:379,195,33865210.0,379.0,33865589.0,33865589.0,-66.91772891101186,negative,0.057783925386995,True,True,negative,False,False
theta_local:196:39647291:846,196,39647291.0,846.0,39648137.0,39648137.0,-58.70055013602325,negative,0.0817237377621316,True,True,negative,False,False
theta_local:197:30786460:3,197,30786460.0,3.0,30786463.0,30786629.0,31.48517121172168,positive,0.06834819426233,True,True,positive,False,False
theta_local:198:40839496:3,198,40839496.0,3.0,40839499.0,40839853.0,32.05032051862896,positive,0.0664294699592638,True,True,positive,False,False
theta_local:199:39635564:218,199,39635564.0,218.0,39635782.0,39635819.0,26.93335827774129,positive,0.0588053295328899,True,True,positive,False,False
theta_local:200:17590930:3,200,17590930.0,3.0,17590933.0,17591099.0,30.365788199920942,positive,0.0690704028270101,True,True,positive,False,False
