scope,rows,a_schur,a_schur_signs,pass_schur_signs,schur_margin_min,schur_margin_normalized,Q_diag_classification,Q_diag_counted_in_O2,G_CC_rank1_fraction,G_CC_delta_full
scale:p<100M,796,"[0.4672612950942223, 0.0772684471313767, 0.24154658612408708, -0.3910403307338107]",+++-,False,0.0772684471313767,0.11707866959395201,unclassified,True,0.9999972153723904,0.9999984784583678
mu:0.018-0.05,6,"[6.077942846069163, 29.461089034035467, 6.970029854468876, -34.821524830508]",+++-,False,6.077942846069163,0.13059473697241858,unclassified,True,0.999999264125341,0.9999992658957564
depth:0.55-0.60,44,"[-3.0124301886592804, 1.3138928392912987, 2.3035165641282704, -0.575389792878596]",-++-,False,0.575389792878596,0.14191671302205436,unclassified,True,0.9999992264683125,0.9999992977874262
h:5<=h<=16,6,"[-1.8027943325659734, 1.909877818538682, -0.682338584994385, -0.4773489382427485]",-+--,False,0.4773489382427485,0.17325357835787014,unclassified,True,0.9933280957815611,0.994117113305198
depth:0.60-0.65,7,"[0.20178544149941846, 0.5349644408570757, 0.5489303612597953, -0.8201107974802788]",+++-,False,0.20178544149941846,0.17692239071044746,unclassified,True,0.9999996594203473,0.9999997590610005
shell_pattern:10000,1241,"[NaN, NaN, NaN, NaN]",0000,False,,,unclassified,True,1.0,1.0
global,1468,"[0.4177662612488078, -0.1359042109222659, 2.299008780408493, -0.8342635552207134]",+-+-,True,0.1359042109222659,0.05469331899090342,repayment_side,False,0.999999654383076,0.9999997620428832
LongA only,166,"[1.1110809339816115, -0.17524611527355916, 2.2926590191146987, -1.1394873409323463]",+-+-,True,0.17524611527355916,0.06266816808874225,repayment_side,False,0.9999997558404684,0.9999997633583525
nondegenerate shell_pattern=11111,166,"[1.1110809339816115, -0.17524611527355916, 2.2926590191146987, -1.1394873409323463]",+-+-,True,0.17524611527355916,0.06266816808874225,repayment_side,False,0.9999997558404684,0.9999997633583525
shell_pattern:11111,166,"[1.1110809339816115, -0.17524611527355916, 2.2926590191146987, -1.1394873409323463]",+-+-,True,0.17524611527355916,0.06266816808874225,repayment_side,False,0.9999997558404684,0.9999997633583525
depth:0.50-0.55,1408,"[0.3770866594719713, -0.07363889017218483, 0.4238063409461045, -0.2560401770960129]",+-+-,True,0.07363889017218483,0.11749775107489925,repayment_side,False,0.9999816504459017,0.9999879159425289
scale:100M<=p<500M,530,"[0.6271132246942965, -0.23277338530124592, 1.3449282042650124, -0.5259577070252757]",+-+-,True,0.23277338530124592,0.14625905807136103,repayment_side,False,0.9999998766124402,0.9999999189619629
h:8193<=h<=65536,18,"[22.208033816721127, -5.751034863584323, 3.854768446915596, -6.636661986604963]",+-+-,True,3.854768446915596,0.15935113363901984,repayment_side,False,0.9999978263744616,0.9999978385234601
mu:0.50-1.00,579,"[0.30362792956438683, -0.11217427615162662, 0.19199371860184034, -0.10423153147309971]",+-+-,True,0.10423153147309971,0.26691066227238447,repayment_side,False,0.9877697865805236,0.9891761829851942
