candidate_id,x,selected_block_id,control_type,right_endpoint_control_flag,containing_block_control_flag,partial_interval_used_flag,x_precedes_J_flag,scale_ratio,pstar_over_x,h_over_x,status
cand_01174,17586113,theta_local:1175:17586112:1,finite_certificate,True,True,False,True,0.00023845974230909676,1.0,5.6863048702120817e-08,covered
cand_01175,108582377,theta_local:1176:108582376:1,finite_certificate,True,True,False,True,9.596664843942125e-05,1.0,9.209597612695474e-09,covered
cand_01176,109526147,theta_local:1177:109526146:1,finite_certificate,True,True,False,True,9.555228894924696e-05,1.0,9.130239923440381e-09,covered
cand_01177,33388547,theta_local:1178:33388546:1,finite_certificate,True,True,False,True,0.00017306180940550588,1.0,2.995038987470763e-08,covered
cand_01178,179642423,theta_local:1179:179642422:1,finite_certificate,True,True,False,True,7.460974366963674e-05,1.0,5.5666138504489e-09,covered
cand_01179,178911827,theta_local:1180:178911826:1,finite_certificate,True,True,False,True,7.476192490420257e-05,1.0,5.5893454153816226e-09,covered
cand_01180,604810847,theta_local:1181:604810846:1,right_endpoint,True,True,False,True,4.0662138406389185e-05,1.0,1.6534094997803503e-09,covered
cand_01181,39693151,theta_local:1182:39693150:1,finite_certificate,True,True,False,True,0.00015872385828985482,1.0,2.5193263190417914e-08,covered
cand_01182,108591871,theta_local:1183:108591870:1,finite_certificate,True,True,False,True,9.596245324844195e-05,1.0,9.208792433459408e-09,covered
cand_01183,33902969,theta_local:1184:33902968:1,finite_certificate,True,True,False,True,0.00017174382604944315,1.0,2.949594178610139e-08,covered
cand_01184,178906097,theta_local:1185:178906096:1,finite_certificate,True,True,False,True,7.47631221311469e-05,1.0,5.589524430796788e-09,covered
cand_01185,180640561,theta_local:1186:180640560:1,finite_certificate,True,True,False,True,7.440332829390927e-05,1.0,5.5358552612112405e-09,covered
cand_01186,108593897,theta_local:1187:108593896:1,finite_certificate,True,True,False,True,9.596155807457644e-05,1.0,9.208620628100306e-09,covered
cand_01187,30776233,theta_local:1188:30776232:1,finite_certificate,True,True,False,True,0.0001802570541657592,1.0,3.249260557651744e-08,covered
cand_01188,33863147,theta_local:1189:33863146:1,finite_certificate,True,True,False,True,0.0001718447790582728,1.0,2.9530628089586594e-08,covered
cand_01189,109814501,theta_local:1190:109814500:1,finite_certificate,True,True,False,True,9.54267545455604e-05,1.0,9.10626548309863e-09,covered
cand_01190,179382943,theta_local:1191:179382942:1,finite_certificate,True,True,False,True,7.466368620170992e-05,1.0,5.574666037227408e-09,covered
cand_01191,179662363,theta_local:1192:179662362:1,finite_certificate,True,True,False,True,7.460560323770325e-05,1.0,5.565996034461597e-09,covered
cand_01192,604692299,theta_local:1193:604692298:1,right_endpoint,True,True,False,True,4.066612405244269e-05,1.0,1.6537336454486583e-09,covered
cand_01193,30418693,theta_local:1194:30418692:1,finite_certificate,True,True,False,True,0.0001813133261928495,1.0,3.2874522255114645e-08,covered
cand_01194,187449671,theta_local:1195:187449670:1,finite_certificate,True,True,False,True,7.303947766891328e-05,1.0,5.334765298147683e-09,covered
cand_01195,108596063,theta_local:1196:108596062:1,finite_certificate,True,True,False,True,9.596060107040204e-05,1.0,9.208436957792844e-09,covered
cand_01196,31020191,theta_local:1197:31020190:1,finite_certificate,True,True,False,True,0.00017954684008900367,1.0,3.223706778594626e-08,covered
cand_01197,108595631,theta_local:1198:108595630:1,finite_certificate,True,True,False,True,9.59607919387549e-05,1.0,9.208473589513007e-09,covered
cand_01198,354353,theta_local:1199:354352:1,finite_certificate,True,True,False,True,0.0016798942479381046,1.0,2.8220446842555305e-06,covered
cand_01199,2274949,theta_local:1200:2274948:1,finite_certificate,True,True,False,True,0.0006630009756129518,1.0,4.395702936637261e-07,covered
cand_01200,112219463,theta_local:1201:112219462:1,finite_certificate,True,True,False,True,9.43986768324751e-05,1.0,8.91111018772207e-09,covered
cand_01201,604864277,theta_local:1202:604864276:1,right_endpoint,True,True,False,True,4.0660342444784376e-05,1.0,1.6532634477271337e-09,covered
cand_01202,187422077,theta_local:1203:187422076:1,finite_certificate,True,True,False,True,7.304485424247708e-05,1.0,5.335550731304723e-09,covered
cand_01203,109588861,theta_local:1204:109588860:1,finite_certificate,True,True,False,True,9.552494436439898e-05,1.0,9.125014995821519e-09,covered
cand_01204,30387079,theta_local:1205:30387078:1,finite_certificate,True,True,False,True,0.0001814076187275092,1.0,3.2908724132385345e-08,covered
