candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,channel_full,channel_inferred,channel,post_P0_flag,finite_zone_flag,E_theta,D_start,D_end,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,S,E_theta_norm,neg_E_theta_norm,DeltaD_norm_signed,Q_delta_D_share,h_over_x,pstar_over_x,rho_proxy,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,h_bin,p_star_bin,row_regime,sign_consistent,sign_inconsistent_flag,positive_harmless_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,threshold_margin_Q_delta_D_minus_0p75,positive_cap_margin_0p25_minus_Q_delta_D,minus_E_theta,failure_type,status
hexc_00020,21,30847123,30831334,15789,30847123,negative,negative,,,,False,True,-424.33160930738086,-3291.774805658332,-15413.68237434975,-12121.907568691418,0.3244066291128366,0.338124053326903,0.0060303868534807,0.0076870373605856,False,False,False,37366.399083278666,-0.01135596738560949,0.01135596738560949,-0.3244066291128366,0.9594307944699686,0.0005118467612036299,1.0,1.0,17.24455404626836,0.05798932215451494,0.02262403061356729,8193<=h<=65536,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.4255933708871634,-0.07440662911283658,424.33160930738086,,pass
hexc_00021,22,60209,60208,1,60209,positive,negative,,,,False,True,10.005577121783782,-135.82731565956084,-146.5095427163446,-10.682227056783772,0.0881934154907322,0.0940510554686493,0.0,0.005857639977917,False,False,False,121.12272778353059,0.08260693352007112,-0.08260693352007112,-0.08819341549073224,0.9377185088595879,1.6608812635984655e-05,1.0,1.0,11.005577121783782,0.09086302235079156,0.004075391102211499,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6618065845092678,0.1618065845092678,-10.005577121783782,,pass
hexc_00022,23,354553,354550,3,354619,positive,negative,,,,False,True,22.55722059933116,-358.86430389081664,-383.77482436010666,-24.91052046929002,0.088072855820278,0.0920232096308952,0.0146788192753852,-0.010728465464768,False,False,False,282.8399310693702,0.07975260251989916,-0.07975260251989916,-0.08807285582027803,0.9570722013885187,8.461358386475366e-06,1.0001861498845024,1.0,12.778799252687088,0.07825461377286469,0.0029088414165222834,2<=h<=4,100K<=p<1M,positive_harmless,False,True,True,True,False,False,-0.661927144179722,0.16192714417972198,-22.55722059933116,,pass
hexc_00023,24,180619079,180557417,61662,180619079,negative,negative,,,,False,True,-1166.673386312199,-7832.904115998194,-55664.72449150575,-47831.82037550756,0.5329138719787416,0.5459231094474968,0.0051149881925594,0.0078942492761956,False,False,False,89755.2548180161,-0.012998385316577796,0.012998385316577796,-0.5329138719787416,0.9761702019137435,0.0003413925059378694,1.0,1.0,19.011900835670836,0.052598633279412166,0.01847680995025574,8193<=h<=65536,100M<=p<500M,subthreshold_negative,True,False,False,False,False,False,-0.21708612802125837,-0.2829138719787416,1166.673386312199,,pass
hexc_00024,25,109813367,109790208,23159,109813367,negative,negative,,,,False,True,-719.8064293124298,-6243.548424860049,-23926.429705648483,-17682.881280788435,0.3389837450779626,0.3557665519303423,0.0045682420338709,0.0122145648185086,False,False,False,52164.39294669296,-0.013798807743205282,0.013798807743205282,-0.3389837450779626,0.9528263498597088,0.00021089418012289887,1.0,1.0,18.514292819156463,0.054012324951742956,0.014522196119144612,8193<=h<=65536,100M<=p<500M,subthreshold_negative,True,False,False,False,False,False,-0.4110162549220374,-0.08898374507796258,719.8064293124298,,pass
hexc_00025,26,230563,230560,3,230647,positive,negative,,,,False,True,21.69655017143579,-368.1857577200088,-392.2356077613473,-24.04985004133846,0.0910569767225814,0.0944180902326222,0.0151761792087925,-0.0118150656987517,False,False,False,264.11869696278075,0.08214696809023421,-0.08214696809023421,-0.09105697672258141,0.964401805821746,1.3011628058274744e-05,1.0003643255856316,1.0,12.34864368218124,0.08098055347106443,0.0036071634365904106,2<=h<=4,100K<=p<1M,positive_harmless,False,True,True,True,False,False,-0.6589430232774186,0.1589430232774186,-21.69655017143579,,pass
hexc_00026,27,1192781,1192323,458,1192781,negative,negative,,,,False,True,-38.252494546276125,-623.3057979417131,-948.8325897505176,-325.52679180880466,0.0776974809855303,0.0967472985369818,0.0120403626533005,0.0070094548981509,False,False,False,4189.669828156048,-0.009130193097605441,0.009130193097605441,-0.07769748098553032,0.8030971630265243,0.0003839766059318517,1.0,1.0,13.991798113399025,0.07147044231880145,0.01959532102140334,257<=h<=1024,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6723025190144697,0.1723025190144697,38.252494546276125,,pass
hexc_00027,28,109670797,109660803,9994,109670797,negative,negative,,,,False,True,-700.5003791113922,-6062.627144332166,-13303.443764865187,-7240.816620533022,0.2113316628996534,0.2345732370876761,0.0098010101179576,0.0134405640700649,False,False,False,34262.81003604829,-0.020444919093745895,0.020444919093745895,-0.21133166289965347,0.9009197533504825,9.112726699706577e-05,1.0,1.0,18.5129936819663,0.054016115231223266,0.009546060286687162,8193<=h<=65536,100M<=p<500M,subthreshold_negative,True,False,False,False,False,False,-0.5386683371003466,0.03866833710034659,700.5003791113922,,pass
hexc_00028,29,3456977,3455716,1261,3456977,negative,negative,,,,False,True,-56.54292508843059,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,0.1174356488415478,0.1341559286414388,0.0077614986724626,0.0089587811274282,False,False,False,8049.543999669534,-0.007024363751630143,0.007024363751630143,-0.11743564884154789,0.87536682150977,0.0003647695660109975,1.0,1.0,15.055905065714143,0.06641912230685065,0.019098941489281478,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6325643511584522,0.13256435115845222,56.54292508843059,,pass
hexc_00029,30,4994789,4991760,3029,4994789,negative,negative,,,,False,True,-113.94054074237602,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,0.1751074858509674,0.1879865387221068,0.0057126820734734,0.0071663707976659,False,False,False,13092.975670345444,-0.00870241751082165,0.00870241751082165,-0.17510748585096741,0.9314894940952234,0.0006064320234548447,1.0,1.0,15.42390572693032,0.06483442117089631,0.024625840563417215,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.5748925141490326,0.07489251414903261,113.94054074237602,,pass
hexc_00030,31,7108243,7105465,2778,7108243,negative,negative,,,,False,True,-80.20709910296955,-1580.4968693296976,-3707.454245328314,-2126.957375998616,0.1621275115134674,0.1766899326140388,0.0068229245505902,0.007739496549981,False,False,False,13119.040415432122,-0.006113793125343279,0.006113793125343279,-0.16212751151346744,0.9175820552697729,0.000390813876227923,1.0,1.0,15.77676565450406,0.06338434771099696,0.01976901303120424,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.5878724884865326,0.08787248848653259,80.20709910296955,,pass
hexc_00031,32,3293113,3292080,1033,3293113,negative,negative,,,,False,True,-117.56184933337444,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,0.0971366049932867,0.1154116378424172,0.0061349229944132,0.0121401098547171,False,False,False,7238.654174546005,-0.016240843463246078,0.016240843463246078,-0.09713660499328679,0.8416534658828498,0.0003136849540237459,1.0,1.0,15.007343875983839,0.06663404319003405,0.01771115337926206,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6528633950067133,0.1528633950067133,117.56184933337444,,pass
hexc_00032,33,1197619,1197615,4,1197697,positive,negative,,,,False,True,23.99169028406876,-723.0462496968461,-750.2475287109113,-27.20127901406522,0.069431568892584,0.0726584885625681,0.0177247165152088,-0.0144977968452248,False,False,False,391.7710552695081,0.06123905776439849,-0.06123905776439849,-0.06943156889258409,0.9555878503142092,3.3399603713701938e-06,1.0000651292272418,1.0,13.995911104131594,0.07144943923692113,0.001827555846306808,2<=h<=4,1M<=p<100M,positive_harmless,False,True,True,True,False,False,-0.680568431107416,0.180568431107416,-23.99169028406876,,pass
hexc_00033,34,127,126,1,127,positive,negative,,,,False,True,3.844187086458591,-7.288219387840677,-11.809056409299268,-4.520837021458592,0.1926535586334653,0.2157084836048593,0.0,0.0230549249713939,False,False,False,23.466148528612173,0.16381840768506986,-0.16381840768506986,-0.19265355863346534,0.8931199895984312,0.007874015748031496,1.0,1.0,4.844187086458591,0.2064329849677758,0.08873565094161139,h=1,p<1K,positive_harmless,False,True,True,True,False,False,-0.5573464413665347,0.05734644136653469,-3.844187086458591,,pass
hexc_00034,35,354953,354952,1,354953,positive,negative,,,,False,True,11.779740665326448,-338.8765720674441,-351.3329626677706,-12.456390600326472,0.0762690147674882,0.080127585396028,0.0,0.0038585706285397,False,False,False,163.3217714729985,0.0721259667898836,-0.0721259667898836,-0.07626901476748829,0.9518446661100675,2.8172743997092572e-06,1.0,1.0,12.779740665326448,0.07824884918933962,0.0016784738305106986,h=1,100K<=p<1M,positive_harmless,False,True,True,True,False,False,-0.6737309852325118,0.1737309852325118,-11.779740665326448,,pass
hexc_00035,36,39707851,39704004,3847,39707851,negative,negative,,,,False,True,-452.5803398765943,-3590.415609090645,-6194.606063479505,-2604.19045438886,0.1371454844597804,0.1623741874086595,0.0110407093348006,0.0141879936140783,False,False,False,18988.52495688672,-0.02383441267313675,0.02383441267313675,-0.13714548445978042,0.8446261480872935,9.688260389614134e-05,1.0,1.0,17.497059484292244,0.05715246044043783,0.009842896113245398,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6128545155402196,0.11285451554021961,452.5803398765943,,pass
hexc_00036,37,1657,1656,1,1657,positive,negative,,,,False,True,6.412764017426562,-24.515635713926613,-31.60504966635317,-7.089413952426561,0.129017905192041,0.1389495863976313,6.465466393439502e-17,0.0099316812055901,False,False,False,54.94907037805399,0.11670377630242393,-0.11670377630242393,-0.12901790519204107,0.9285231322879303,0.0006035003017501509,1.0,1.0,7.4127640174265625,0.13490244632759307,0.024566243134638045,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.620982094807959,0.12098209480795899,-6.412764017426562,,pass
hexc_00037,38,155921,155920,1,156007,positive,negative,,,,False,True,10.957104747706284,-219.20299235558093,-230.83674703828723,-11.633754682706297,0.081363154764434,0.0868104441327406,0.0,0.0054472893683065,False,False,False,142.98554076951442,0.07663085853812723,-0.07663085853812723,-0.08136315476443405,0.9372507602889667,6.4135042746005994e-06,1.0005515613676157,1.0,11.957656157019837,0.08362842908916912,0.0025324897383011444,h=1,100K<=p<1M,positive_harmless,False,True,True,True,False,False,-0.668636845235566,0.168636845235566,-10.957104747706284,,pass
