metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_total,K_unreduced,K_comp,K_prime,cancellation_fraction,cos_comp_prime,component_proof_source
K_prime,1,hexc_00304,305,30386821,13,False,73.9100313047598,73.62931311611258,73.915350645076,0.005319340316209004,73.9100313047598,0.003869798715247841,0.22809325389471877,smallness_driven
K_prime,2,hexc_00453,454,604143557,767,True,64.2498859117116,64.13704142037267,64.2506254824152,0.0007395707036048801,64.2498859117116,0.0017678281135742324,0.2605321781434479,smallness_driven
K_prime,3,hexc_00442,443,604711937,771,True,59.23603287892971,59.290005435130254,59.23653456336192,0.0005016844322055034,59.23603287892971,-0.0009026671151928234,-0.15508827804259612,smallness_driven
K_prime,4,hexc_00275,276,108562291,313,False,56.083964188648075,56.509735976416216,56.086426457240464,0.0024622685923902923,56.083964188648075,-0.007547450353223573,-0.5695619585114439,smallness_driven
K_prime,5,hexc_00081,82,12782599,494,False,55.20495342984067,55.32747455760693,55.20582670882396,0.0008732789832913145,55.20495342984067,-0.002203532779693429,-0.2770185868688213,smallness_driven
K_prime,6,hexc_00355,356,33821677,7,False,55.20452323086655,54.60079656107757,55.2109509165674,0.006427685700847152,55.20452323086655,0.011051328502055036,0.5121475176450129,smallness_driven
K_prime,7,hexc_00242,243,30781319,7,False,54.60627873649688,54.005867155844314,54.612706422197725,0.006427685700847117,54.60627873649688,0.011111686384155384,0.5121475174263944,smallness_driven
K_prime,8,hexc_00198,199,39635819,218,False,51.891526973946796,51.974835616458854,51.892768643386084,0.0012416694392961,51.891526973946796,-0.0015814722401255032,-0.16165427656288092,smallness_driven
K_prime,9,hexc_00662,663,604872131,4,True,51.10871692039162,50.206588437872796,51.11468689691603,0.005969976524403797,51.10871692039162,0.01776590084322749,0.821994936499904,smallness_driven
K_prime,10,hexc_00026,27,1192781,458,False,50.66738569136996,50.81680635690199,50.66836356405416,0.0009778726842060834,50.66738569136996,-0.0029296938445657617,-0.3334446206391775,smallness_driven
K_prime,11,hexc_00273,274,109547591,776,False,47.57965339891257,47.73220909892047,47.5802242611498,0.0005708622372342151,47.57965339891257,-0.003194285864153823,-0.46109878088405043,smallness_driven
K_prime,12,hexc_00059,60,3291137,8,False,47.50332782189178,47.12482161579665,47.50897122456521,0.00564340267342963,47.50332782189178,0.008085833030413658,0.3709692075225468,smallness_driven
K_prime,13,hexc_00303,304,604870961,1710,True,45.488075748826134,45.74617977051351,45.48865936161616,0.0005836127900246105,45.488075748826134,-0.0056612002312526055,-0.7902608628450173,smallness_driven
K_prime,14,hexc_00673,674,187509659,4,False,45.35967113037005,44.51014034988161,45.36564110689446,0.005969976524403786,45.35967113037005,0.018857900740277045,0.8219949364347363,smallness_driven
K_prime,15,hexc_00322,323,179438351,4,False,45.150375852758884,44.302821048779265,45.15634582928329,0.005969976524403786,45.150375852758884,0.018901546722377316,0.8219949364303732,smallness_driven
K_prime,16,hexc_00444,445,179382319,4,False,45.14888968695816,44.30134893036747,45.15485966348256,0.005969976524403786,45.14888968695816,0.018901857728623184,0.8219949364303416,smallness_driven
K_prime,17,hexc_00525,526,179146433,4,False,45.14263941256953,44.29515773673329,45.148609389093934,0.005969976524403786,45.14263941256953,0.018903165876174355,0.8219949364302077,smallness_driven
K_prime,18,hexc_00448,449,178913689,4,False,45.136465138744505,44.28904182928282,45.14243511526891,0.005969976524403786,45.136465138744505,0.018904458383934952,0.8219949364300753,smallness_driven
K_prime,19,hexc_00423,424,178907011,4,False,45.1362857468437,44.288864133261356,45.1422557233681,0.005969976524403786,45.1362857468437,0.018904495941371002,0.8219949364300716,smallness_driven
K_prime,20,hexc_00459,460,178299217,4,False,45.12012021068158,44.272851431651866,45.12609018720598,0.005969976524403786,45.12012021068158,0.01890788127255094,0.8219949364297247,smallness_driven
C_total,1,hexc_00304,305,30386821,13,False,8.580752479597146,73.62931311611258,73.915350645076,0.005319340316209004,73.9100313047598,0.003869798715247841,0.22809325389471877,smallness_driven
C_total,2,hexc_00453,454,604143557,767,True,8.008560508629042,64.13704142037267,64.2506254824152,0.0007395707036048801,64.2498859117116,0.0017678281135742324,0.2605321781434479,smallness_driven
C_total,3,hexc_00442,443,604711937,771,True,7.700000352930528,59.290005435130254,59.23653456336192,0.0005016844322055034,59.23603287892971,-0.0009026671151928234,-0.15508827804259612,smallness_driven
C_total,4,hexc_00275,276,108562291,313,False,7.517295788807051,56.509735976416216,56.086426457240464,0.0024622685923902923,56.083964188648075,-0.007547450353223573,-0.5695619585114439,smallness_driven
C_total,5,hexc_00081,82,12782599,494,False,7.438244050688773,55.32747455760693,55.20582670882396,0.0008732789832913145,55.20495342984067,-0.002203532779693429,-0.2770185868688213,smallness_driven
C_total,6,hexc_00355,356,33821677,7,False,7.3892351810642465,54.60079656107757,55.2109509165674,0.006427685700847152,55.20452323086655,0.011051328502055036,0.5121475176450129,smallness_driven
C_total,7,hexc_00242,243,30781319,7,False,7.34886842689705,54.005867155844314,54.612706422197725,0.006427685700847117,54.60627873649688,0.011111686384155384,0.5121475174263944,smallness_driven
C_total,8,hexc_00198,199,39635819,218,False,7.209357503721039,51.974835616458854,51.892768643386084,0.0012416694392961,51.891526973946796,-0.0015814722401255032,-0.16165427656288092,smallness_driven
C_total,9,hexc_00026,27,1192781,458,False,7.128590769352804,50.81680635690199,50.66836356405416,0.0009778726842060834,50.66738569136996,-0.0029296938445657617,-0.3334446206391775,smallness_driven
C_total,10,hexc_00662,663,604872131,4,True,7.085660762262952,50.206588437872796,51.11468689691603,0.005969976524403797,51.10871692039162,0.01776590084322749,0.821994936499904,smallness_driven
C_total,11,hexc_00273,274,109547591,776,False,6.908850056190283,47.73220909892047,47.5802242611498,0.0005708622372342151,47.57965339891257,-0.003194285864153823,-0.46109878088405043,smallness_driven
C_total,12,hexc_00059,60,3291137,8,False,6.8647521161216485,47.12482161579665,47.50897122456521,0.00564340267342963,47.50332782189178,0.008085833030413658,0.3709692075225468,smallness_driven
C_total,13,hexc_00303,304,604870961,1710,True,6.76359222384921,45.74617977051351,45.48865936161616,0.0005836127900246105,45.488075748826134,-0.0056612002312526055,-0.7902608628450173,smallness_driven
C_total,14,hexc_00673,674,187509659,4,False,6.671592040126675,44.51014034988161,45.36564110689446,0.005969976524403786,45.35967113037005,0.018857900740277045,0.8219949364347363,smallness_driven
C_total,15,hexc_00322,323,179438351,4,False,6.656036436857844,44.302821048779265,45.15634582928329,0.005969976524403786,45.150375852758884,0.018901546722377316,0.8219949364303732,smallness_driven
C_total,16,hexc_00444,445,179382319,4,False,6.655925850726364,44.30134893036747,45.15485966348256,0.005969976524403786,45.14888968695816,0.018901857728623184,0.8219949364303416,smallness_driven
C_total,17,hexc_00525,526,179146433,4,False,6.655460745638373,44.29515773673329,45.148609389093934,0.005969976524403786,45.14263941256953,0.018903165876174355,0.8219949364302077,smallness_driven
C_total,18,hexc_00448,449,178913689,4,False,6.655001264408807,44.28904182928282,45.14243511526891,0.005969976524403786,45.136465138744505,0.018904458383934952,0.8219949364300753,smallness_driven
C_total,19,hexc_00423,424,178907011,4,False,6.654987913832853,44.288864133261356,45.1422557233681,0.005969976524403786,45.1362857468437,0.018904495941371002,0.8219949364300716,smallness_driven
C_total,20,hexc_00459,460,178299217,4,False,6.6537847449141205,44.272851431651866,45.12609018720598,0.005969976524403786,45.12012021068158,0.01890788127255094,0.8219949364297247,smallness_driven
cancellation_fraction,1,hexc_00240,241,40846543,128,False,-0.018416717647828262,19.685745457439726,19.329754820705055,0.0078848241965992,19.321869996508457,-0.018416717647828262,-0.45602430959395013,smallness_driven
cancellation_fraction,2,hexc_00178,179,30851287,350,False,-0.01668556683469191,37.784816578520775,37.16470245186868,0.0042601948709044156,37.160442256997776,-0.01668556683469191,-0.7792673129364188,smallness_driven
cancellation_fraction,3,hexc_00663,664,604206971,626,True,-0.016149220199091152,8.342029092730986,8.209452831245155,0.001201657664514556,8.20825117358064,-0.016149220199091152,-0.6674520532316014,smallness_driven
cancellation_fraction,4,hexc_00267,268,30796769,712,False,-0.015214811115220384,17.82202134527262,17.554926455116437,0.002028831264280346,17.552897623852157,-0.015214811115220384,-0.7076820980635258,smallness_driven
cancellation_fraction,5,hexc_00155,156,33871261,614,False,-0.014847816859526741,14.103129541247876,13.896792511108101,0.0020016234307298616,13.89479088767737,-0.014847816859526741,-0.6186285855900289,smallness_driven
cancellation_fraction,6,hexc_00174,175,12776941,332,False,-0.013776598394033002,38.299762996427,37.77929285120538,0.003459222520538638,37.77583362868484,-0.013776598394033002,-0.7198956493018197,smallness_driven
