candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,E_theta,Q_R2Q,Q_delta_D,DeltaD,Q_exc,epsilon,abs_epsilon,Q_reconstructed,formula_residual,abs_formula_residual,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,primitive_available_flag,row_regime,failure_type,component_bound_status,status
hexc_00039,40,30417481,30409154,8327,30417481,negative,negative,False,True,True,-228.7179970545885,0.24963148266117,0.2357893781039462,-6388.011550910226,0.0085348501864403,0.0053072543707834,0.0053072543707834,0.24963148266116988,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00040,41,604672261,604520611,151650,604672261,negative,negative,True,False,False,-1617.0683062109456,0.7568596623500748,0.7467076670478365,-118889.25056613778,0.0014698183580815,0.0086821769441567,0.0086821769441567,0.7568596623500747,1.1102230246251565e-16,1.1102230246251565e-16,True,False,True,False,True,True,True,True,True,threshold_relevant_negative,,pass,pass
hexc_00041,42,7117417,7115469,1948,7117417,negative,negative,False,True,True,-117.76229972501552,0.1460888226947264,0.1301567329770984,-1430.1054790106923,0.007641518998895,0.0082905707187329,0.0082905707187329,0.1460888226947263,8.326672684688674e-17,8.326672684688674e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00042,43,12781267,12779528,1739,12781267,negative,negative,False,True,True,-151.7480364006467,0.1300675391522673,0.1101458902583867,-1229.9006183879278,0.0053725661686165,0.014549082725264,0.014549082725264,0.1300675391522672,8.326672684688674e-17,8.326672684688674e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00043,44,109588091,109577354,10737,109588091,negative,negative,False,True,True,-629.3445955758762,0.2415685632788372,0.2225301612998425,-7902.204580257003,0.0066368119233886,0.0124015900556059,0.0124015900556059,0.241568563278837,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00044,45,12836777,12833438,3339,12836777,negative,negative,False,True,True,-163.66723291570224,0.1752468754780604,0.1608095545919656,-2489.441898656397,0.0060864238556851,0.0083508970304095,0.0083508970304095,0.1752468754780602,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00045,46,618029,618028,1,618029,positive,negative,False,True,True,12.3342906609052,0.0748436752518515,0.0731760324597099,-13.01094059590514,0.0,0.0016676427921415,0.0016676427921415,0.0748436752518514,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00046,47,12807413,12805898,1515,12807413,negative,negative,False,True,True,-205.7621329185172,0.1184377830877646,0.0957330676536776,-997.9957473512264,0.006714545286013,0.0159901701480738,0.0159901701480738,0.1184377830877644,2.0816681711721685e-16,2.0816681711721685e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00047,48,3440630,3439819,811,3440807,positive,negative,False,True,True,46.90968440981942,0.1225172337511368,0.1072136412049886,-691.6775565305757,0.0089098695882727,0.0063937229578754,0.0063937229578754,0.12251723375113668,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00048,49,33902159,33888759,13400,33902159,negative,negative,False,True,True,-291.8733586694325,0.3075518627750951,0.2975764937115444,-10356.155825807087,0.0049814047227133,0.0049939643408373,0.0049939643408373,0.307551862775095,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00049,50,3457967,3457512,455,3457967,negative,negative,False,True,True,-93.6529697629686,0.0793601948576568,0.055366069112823,-267.71927672099514,0.006278619086263,0.0177155066585706,0.0177155066585706,0.07936019485765661,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00050,51,12842173,12840082,2091,12842173,negative,negative,False,True,True,-192.29332879440085,0.1392439305539144,0.1199057486653474,-1468.9981860940732,0.0050051051752984,0.0143330767132684,0.0143330767132684,0.13924393055391418,2.220446049250313e-16,2.220446049250313e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00051,52,1512479,1512478,1,1512479,positive,negative,False,True,True,13.229260584493224,0.0713499660129912,0.0686807082255686,-13.905910519493318,0.0,0.0026692577874225,0.0026692577874225,0.0713499660129911,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00052,53,356173,356170,3,356243,positive,negative,False,True,True,22.56633807844032,0.0917954514179663,0.0880421204440856,-24.919637948399497,0.0146736966602346,-0.0109203656863539,0.0109203656863539,0.0917954514179663,0.0,0.0,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00053,54,7112297,7110038,2259,7112297,negative,negative,False,True,True,-113.30394854654696,0.1547550134720171,0.1421341086327225,-1681.6041273500573,0.0030623697626775,0.0095585350766169,0.0095585350766169,0.15475501347201692,1.6653345369377348e-16,1.6653345369377348e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00054,55,12895717,12894136,1581,12895717,negative,negative,False,True,True,-156.60587200935356,0.1217247995908262,0.1031699645978112,-1099.6240179754095,0.0082557947953519,0.010299040197663,0.010299040197663,0.1217247995908261,9.71445146547012e-17,9.71445146547012e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00055,56,1511449,1511046,403,1511527,positive,negative,False,True,True,9.625130217388572,0.0952884508457212,0.0811829553542681,-329.9465646577695,0.007718928919738,0.006386566571715,0.006386566571715,0.0952884508457211,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00056,57,179620853,179616870,3983,179620853,negative,negative,False,True,True,-637.8829200418768,0.1434186712486546,0.1108425832777827,-2527.025590101053,0.0081468555780067,0.024429232392865,0.024429232392865,0.14341867124865437,2.220446049250313e-16,2.220446049250313e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00057,58,1188361,1188358,3,1188511,positive,negative,False,True,True,24.97616952660599,0.0833294497303515,0.0806391928862905,-27.32946939660235,0.0134398679639979,-0.0107496111199369,0.0107496111199369,0.0833294497303515,0.0,0.0,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00058,59,293,292,1,293,positive,negative,False,True,True,4.680172609017068,0.1707575979731007,0.1660290921582204,-5.356822544017069,5.505631574898212e-17,0.0047285058148801,0.0047285058148801,0.17075759797310056,1.3877787807814457e-16,1.3877787807814457e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00059,60,3290983,3290975,8,3291137,positive,negative,False,True,True,37.02008815604045,0.0730965487832678,0.068097615704397,-43.37603271443948,0.0205672364492246,-0.0155683033703539,0.0155683033703539,0.0730965487832677,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
