crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
54,55,12895717,12894136,1581,negative,-2051.8567032236606,-0.0021315684320473,-156.60587200935356,-0.0146932242356456,0.0146932242356456,0.1217247995908262,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
55,56,1511527,1511046,403,positive,-704.6350166539196,-0.0028310294832277,9.625130217388572,0.0023682517122969,0.0023682517122969,0.0952884508457212,True,True,True,False,True,0.0952884508457212,False,False,False,False,positive_harmless
56,57,179620853,179616870,3983,negative,-7330.204719930887,-0.0015140488191748,-637.8829200418768,-0.0279793726518573,0.0279793726518573,0.1434186712486546,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
57,58,1188511,1188358,3,positive,-611.7105420734733,-0.0028678419084118,24.97616952660599,0.0736954721948265,0.0736954721948265,0.0833294497303515,True,True,True,False,True,0.0833294497303515,False,False,False,False,positive_harmless
58,59,293,292,1,positive,-15.974987924665244,-0.0289256856290319,4.680172609017068,0.1450570376438435,0.1450570376438435,0.1707575979731007,True,True,True,False,True,0.1707575979731007,False,False,False,False,positive_harmless
59,60,3291137,3290975,8,positive,-1012.3051908109336,-0.0024778694699262,37.02008815604045,0.0581191865376321,0.0581191865376321,0.0730965487832678,True,True,True,False,True,0.0730965487832678,False,False,False,False,positive_harmless
60,61,1190143,1190068,3,positive,-615.0721057136543,-0.0028809369220483,24.97904537377347,0.0736894995793346,0.0736894995793346,0.0832943901091022,True,True,True,False,True,0.0832943901091022,False,False,False,False,positive_harmless
61,62,113166227,113154493,11734,negative,-5881.228853285313,-0.0016076280361705,-570.3217879884924,-0.0153099168444497,0.0153099168444497,0.2503069484559692,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
62,63,30816007,30813688,2319,negative,-3114.608274575323,-0.0018869576386256,-215.2921471839013,-0.0150357367854338,0.0150357367854338,0.1321516982536188,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
63,64,604810421,604757400,53021,negative,-13225.305972456932,-0.0013152718046089,-1034.3984432700745,-0.0109871060310642,0.0109871060310642,0.4494568065190746,True,True,False,True,False,,True,True,False,False,negative_transferred_repaid
