block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
246,12808469,12808371,16,-1918.8696589913725,-1980.9002777768744,-62.0306187855017,negative,0.0579003711442876,0.011422400501544,0.0693227716458317,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0579003711442876,False,True,False,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.644927536231884
116,12830269,12829371,898,-1886.385366561933,-2552.943113018573,-666.5577464566404,negative,0.0830318255781195,0.0044981624772096,0.0875299880553291,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0830318255781195,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.0703933747412008
135,12831293,12830878,349,-1899.40298613106,-2171.3561073319847,-271.95312120092467,negative,0.054340305264288,0.0030501315616617,0.0573904368259498,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.054340305264288,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2049808429118774
45,12836777,12833438,3339,-2020.026918484228,-4509.468817140625,-2489.441898656397,negative,0.1608095545919656,0.0060864238556851,0.1668959784476508,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1608095545919656,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0236842105263157
51,12842173,12840082,2091,-1989.409656565634,-3458.407842659707,-1468.9981860940732,negative,0.1199057486653474,0.0050051051752984,0.1249108538406459,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1199057486653474,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0238095238095238
72,12843647,12843190,457,-1931.943547177705,-2181.9040251642987,-249.96047798659333,negative,0.043641826458844,0.0081632419242064,0.0518050683830505,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.043641826458844,False,False,False,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,0.0786290322580645
70,12847921,12847029,892,-1942.7981056797248,-2512.496857466349,-569.6987517866241,negative,0.0711926004758948,0.0077829840818417,0.0789755845577365,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0711926004758948,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.024070021881838
9,12883477,12871995,11482,-2412.5263892811627,-11055.629614520863,-8643.103225239702,negative,0.3009444286825112,0.0039191521021917,0.304863580784703,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.3009444286825112,True,True,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.65-0.70,0.0157723298474198
55,12895717,12894136,1581,-2000.69471701668,-3100.31873499209,-1099.6240179754095,negative,0.1031699645978112,0.0082557947953519,0.1114257593931631,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1031699645978112,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0394896719319562
117,17992327,17991472,705,-2229.4969708850413,-2786.1105119843705,-556.6135410993293,negative,0.0751177449862599,0.0043468868821478,0.0794646318684078,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0751177449862599,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0942796610169491
133,30343471,30342328,1143,-2896.614921368081,-3678.3217433544,-781.7068219863181,negative,0.077901608662357,0.0047078243264234,0.0826094329887805,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.077901608662357,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0394957983193277
104,30358319,30357034,1285,-2935.4561349279857,-3791.182012375946,-855.725877447961,negative,0.0804237049730352,0.0035506716837985,0.0839743766568338,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0804237049730352,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0160796324655436
176,30359687,30358683,1004,-2859.878579379,-3549.502158148514,-689.6235787695141,negative,0.0733236285375701,0.0091440118637463,0.0824676404013165,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0733236285375701,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0474383301707779
305,30386821,30386676,13,-2817.9073093929187,-2884.243883810409,-66.33657441749074,negative,0.0619776393332608,0.0172880108593613,0.0792656501926221,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0619776393332608,False,False,False,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.3526785714285714
40,30417481,30409154,8327,-3185.022130148648,-9573.033681058874,-6388.011550910226,negative,0.2357893781039462,0.0085348501864403,0.2443242282903865,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2357893781039462,False,True,False,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,0.0315189578971853
7,30774449,30670319,104130,-3672.24244464055,-85488.94963792409,-81816.70719328354,negative,0.8528427097579773,0.0037875901851982,0.8566302999431755,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.8528427097579773,True,True,True,False,h>65536,p<100M,0.01-0.018,0.65-0.70,0.0
111,30780011,30777698,2313,-2938.402426159111,-4635.73955686786,-1697.337130708749,negative,0.1187096625628934,0.0072627341203376,0.1259723966832311,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1187096625628934,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0157446808510638
243,30781319,30781182,7,-3022.466545001178,-3072.7566762851056,-50.29013128392762,negative,0.0639348107058531,0.0156184300412248,0.079553240747078,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0639348107058531,False,True,False,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.6674757281553398
113,30784249,30783029,1220,-2937.080989820042,-3772.818109536277,-835.7371197162352,negative,0.0804801201663452,0.0083504817829622,0.0888306019493075,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0804801201663452,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0317460317460317
268,30796769,30796057,712,-2851.2621863035374,-3394.78964311343,-543.5274568098926,negative,0.0685109275461097,0.0048481858744813,0.0733591134205911,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0685109275461097,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.094147582697201
166,30799397,30798784,510,-2891.3488816673644,-3269.5170712739714,-378.16818960660703,negative,0.05632146779202,0.0036411696989401,0.0599626374909602,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.05632146779202,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0626911314984709
63,30816007,30813688,2319,-3050.1645931153994,-4677.495358670547,-1627.3307655551475,negative,0.1136507642000766,0.0075446709207132,0.1211954351207899,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1136507642000766,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.031328320802005
174,30825511,30824836,675,-2876.426532159537,-3375.7104723839648,-499.2839402244276,negative,0.0646289466049177,0.0110815667281192,0.075710513333037,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0646289466049177,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1094986807387862
21,30847123,30831334,15789,-3291.774805658332,-15413.68237434975,-12121.907568691418,negative,0.3244066291128366,0.0060303868534807,0.3304370159663173,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.3244066291128366,True,True,True,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,0.0078547191152444
179,30851287,30850871,350,-2875.782446443294,-3166.1871111855094,-290.4046647422156,negative,0.0521985971886696,0.0065934160084319,0.0587920131971015,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0521985971886696,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1578947368421052
3,30974597,30910184,64413,-4189.11794672998,-54354.14035448835,-50165.02240775837,negative,0.6643586881865706,0.0022416133345536,0.6666003015211243,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.6643586881865706,True,True,True,False,8193<=h<=65536,p<100M,0.018-0.05,>=0.70,0.0078707411742961
97,30981239,30980149,1090,-2976.2528450239724,-3666.4616926888266,-690.2088476648541,negative,0.0702659379459539,0.0038095629268263,0.0740755008727803,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0702659379459539,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.0232974910394265
190,31026421,31025775,446,-2952.709296532543,-3395.796570052644,-443.08727352010055,negative,0.0705059941082901,0.00564606360833,0.0761520577166202,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0705059941082901,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2591743119266055
188,31027859,31027175,684,-2891.9909143490586,-3337.928340354248,-445.9374260051891,negative,0.0572990909146683,0.003662831067288,0.0609619219819564,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0572990909146683,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0311614730878186
102,33477793,33476547,1246,-3079.30505157482,-3914.8966061213528,-835.5915545465327,negative,0.0788530878574153,0.0059616473562023,0.0848147352136177,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0788530878574153,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.031104199066874
360,33488281,33487676,504,-2940.6852775255284,-3339.8705776397314,-399.1853001142031,negative,0.0592280253357018,0.0045249017385928,0.0637529270742947,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0592280253357018,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0396825396825396
109,33492847,33491912,935,-3066.722650692943,-3671.3471259441794,-604.6244752512366,negative,0.0658629327433626,0.0043309131910465,0.0701938459344092,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0658629327433626,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.06312625250501
356,33821677,33821502,7,-2990.306803429872,-3040.8795143503608,-50.57271092048859,negative,0.0635973076915966,0.0155337822934355,0.0791310899850322,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0635973076915966,False,False,False,False,5<=h<=16,p<100M,0.25-0.50,0.50-0.55,0.3838028169014084
103,33824779,33823778,1001,-3161.1776682540994,-3943.867361391306,-782.6896931372066,negative,0.0823075164766412,0.0059703851044254,0.0882779015810666,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0823075164766412,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2358778625954198
125,33827861,33826320,1541,-3073.6423139922795,-4195.7947315169895,-1122.15241752471,negative,0.0951070884702718,0.0057695318036443,0.1008766202739162,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0951070884702718,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0626520681265206
98,33843191,33842396,795,-3106.0521747554208,-3549.304084688097,-443.2519099326764,negative,0.0523006045347718,0.004261589416467,0.0565621939512389,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0523006045347718,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0233415233415233
171,33862193,33861455,738,-3031.303483407975,-3503.8807636605443,-472.5772802525694,negative,0.0578703613322382,0.0033281269586732,0.0611984882909115,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0578703613322382,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0238095238095238
195,33865589,33865210,379,-3012.4185247260684,-3246.5232321302697,-234.10470740420124,negative,0.0400034137475729,0.005601889555006,0.045605303302579,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0400034137475729,False,False,False,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,0.1186046511627907
160,33870121,33869043,1078,-3060.8559644416387,-3827.749854467516,-766.8938900258777,negative,0.0777008385778053,0.0048588717149927,0.0825597102927981,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0777008385778053,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0786324786324786
156,33871261,33870647,614,-3041.957655003961,-3418.779021116518,-376.82136611255737,negative,0.0505882267641985,0.0048358116328674,0.055424038397066,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0505882267641985,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0553846153846153
194,33878389,33877658,605,-3051.2468144952045,-3533.6504169652867,-482.4036024700822,negative,0.0652409739893801,0.0037853230281918,0.069026297017572,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0652409739893801,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.142018779342723
49,33902159,33888759,13400,-3286.909262209392,-13643.06508801648,-10356.155825807087,negative,0.2975764937115444,0.0049814047227133,0.3025578984342577,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2975764937115444,True,True,True,False,8193<=h<=65536,p<100M,0.018-0.05,0.55-0.60,0.0078483636902117
108,39634747,39633125,1622,-3357.612279663342,-4476.424760400061,-1118.8124807367185,negative,0.0907597358435971,0.0056096653888982,0.0963694012324954,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0907597358435971,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0390995260663507
199,39635819,39635564,218,-3255.895196097652,-3456.2072471302763,-200.3120510326244,negative,0.0443239885397641,0.0085391222223537,0.0528631107621178,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0443239885397641,False,False,False,False,65<=h<=256,p<100M,0.50-1.00,0.50-0.55,0.3625
164,39637237,39636755,482,-3302.7486855041047,-3623.5782156432056,-320.8295301391008,negative,0.0477429272116286,0.0081526776783095,0.0558956048899381,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0477429272116286,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1966666666666666
252,39640253,39639838,294,-3250.9694006578543,-3523.0843947011504,-272.11499404329606,negative,0.0518481490538338,0.0073904639568024,0.0592386130106363,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0518481490538338,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1957364341085271
196,39648137,39647291,846,-3256.231601227321,-3869.7898157092286,-613.5582144819077,negative,0.0689152235942374,0.0056067813907826,0.07452200498502,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0689152235942374,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0703296703296703
