metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,sample_count,sample_offset_gaps_max,lambda_event_count,event_to_sample_alignment_score
sample_offset_gaps_max,13,hexc_00074,75,113195507,12848,False,3043,15.294287511442386,10240.473736938296,669.5620001439694,41,3043,676,0.04309791653223222
sample_offset_gaps_max,14,hexc_00061,62,113166227,11734,False,2756,6.659239168363856,15279.35316428806,2294.459288513905,40,2756,602,0.047268060770797586
sample_offset_gaps_max,15,hexc_00008,9,12883477,11482,False,2691,3.459859086542252,3001.906861133822,867.638474876125,39,2691,672,0.04190741010814367
sample_offset_gaps_max,16,hexc_00089,90,179641471,10782,False,2512,15.782038821551193,22223.818952747657,1408.1716059651228,40,2512,543,0.052681519609350254
sample_offset_gaps_max,17,hexc_00043,44,109588091,10737,False,2501,15.650024564874375,17469.61274591748,1116.2674329040397,40,2501,546,0.05197922170326458
sample_offset_gaps_max,18,hexc_00078,79,109546081,10586,False,2463,14.296962892039497,8258.530388717578,577.6422902598356,40,2463,554,0.05156663778008741
sample_offset_gaps_max,19,hexc_00027,28,109670797,9994,False,2312,17.104383267421262,20822.05034498363,1217.3517173602752,40,2312,502,0.058211222474324836
sample_offset_gaps_max,20,hexc_00127,128,187449539,9358,False,2152,11.35315314289714,11358.192554036887,1000.4438776678442,39,2152,472,0.060106597811164335
nearest_sample_distance_to_event_max,1,hexc_00000,1,180530237,684790,False,109140.0,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,35864,0.0005878487837910868
nearest_sample_distance_to_event_max,2,hexc_00040,41,604672261,151650,True,21878.0,2.150447574178819,52989.54013889719,24641.168087593134,41,43800,7420,0.003165485405860318
nearest_sample_distance_to_event_max,3,hexc_00006,7,30774449,104130,False,14628.0,5.249368097143086,27467.107511338865,5232.459793834529,41,29276,5986,0.004048022911593514
nearest_sample_distance_to_event_max,4,hexc_00002,3,30974597,64413,False,8724.0,2.1234801731745523,32054.642903055512,15095.3342103188,41,17470,3676,0.00695810013778153
nearest_sample_distance_to_event_max,5,hexc_00023,24,180619079,61662,False,8332.0,14.887526869901857,47326.17452119338,3178.9144654289626,41,16667,3182,0.007951862833145583
nearest_sample_distance_to_event_max,6,hexc_00063,64,604810421,53021,True,7060.0,2.142086434591942,25170.595562141607,11750.504160648632,41,14164,2571,0.009862133134759803
nearest_sample_distance_to_event_max,7,hexc_00009,10,178298621,43765,False,5737.0,3.6259487032169244,15097.997442236723,4163.875078773688,40,11515,2211,0.011747441673468353
nearest_sample_distance_to_event_max,8,hexc_00024,25,109813367,23159,False,2866.0,8.632103006924334,27452.176913513507,3180.2420443190326,41,5780,1212,0.023348936666563864
nearest_sample_distance_to_event_max,9,hexc_00104,105,604432601,22162,True,2734.0,8.95372083559938,33652.84775716971,3758.532165015498,41,5511,1062,0.026591194804820948
nearest_sample_distance_to_event_max,10,hexc_00183,184,604356173,20686,True,2553.0,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
nearest_sample_distance_to_event_max,11,hexc_00020,21,30847123,15789,False,1904.0,6.28187190744635,18142.37311260896,2888.0520615365476,40,3811,891,0.03227111432174552
nearest_sample_distance_to_event_max,12,hexc_00048,49,33902159,13400,False,1580.0,4.868706166264128,3260.8458529138193,669.7561408631776,41,3186,756,0.03757827373823572
nearest_sample_distance_to_event_max,13,hexc_00074,75,113195507,12848,False,1516.0,15.294287511442386,10240.473736938296,669.5620001439694,41,3043,676,0.04309791653223222
nearest_sample_distance_to_event_max,14,hexc_00061,62,113166227,11734,False,1368.0,6.659239168363856,15279.35316428806,2294.459288513905,40,2756,602,0.047268060770797586
nearest_sample_distance_to_event_max,15,hexc_00008,9,12883477,11482,False,1345.0,3.459859086542252,3001.906861133822,867.638474876125,39,2691,672,0.04190741010814367
nearest_sample_distance_to_event_max,16,hexc_00089,90,179641471,10782,False,1250.0,15.782038821551193,22223.818952747657,1408.1716059651228,40,2512,543,0.052681519609350254
nearest_sample_distance_to_event_max,17,hexc_00043,44,109588091,10737,False,1249.0,15.650024564874375,17469.61274591748,1116.2674329040397,40,2501,546,0.05197922170326458
nearest_sample_distance_to_event_max,18,hexc_00078,79,109546081,10586,False,1225.0,14.296962892039497,8258.530388717578,577.6422902598356,40,2463,554,0.05156663778008741
nearest_sample_distance_to_event_max,19,hexc_00027,28,109670797,9994,False,1148.0,17.104383267421262,20822.05034498363,1217.3517173602752,40,2312,502,0.058211222474324836
nearest_sample_distance_to_event_max,20,hexc_00127,128,187449539,9358,False,1074.0,11.35315314289714,11358.192554036887,1000.4438776678442,39,2152,472,0.060106597811164335
event_to_sample_alignment_score,1,hexc_00000,1,180530237,684790,False,0.0005878487837910868,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,35864,0.0005878487837910868
event_to_sample_alignment_score,2,hexc_00040,41,604672261,151650,True,0.003165485405860318,2.150447574178819,52989.54013889719,24641.168087593134,41,43800,7420,0.003165485405860318
event_to_sample_alignment_score,3,hexc_00006,7,30774449,104130,False,0.004048022911593514,5.249368097143086,27467.107511338865,5232.459793834529,41,29276,5986,0.004048022911593514
event_to_sample_alignment_score,4,hexc_00002,3,30974597,64413,False,0.00695810013778153,2.1234801731745523,32054.642903055512,15095.3342103188,41,17470,3676,0.00695810013778153
event_to_sample_alignment_score,5,hexc_00023,24,180619079,61662,False,0.007951862833145583,14.887526869901857,47326.17452119338,3178.9144654289626,41,16667,3182,0.007951862833145583
event_to_sample_alignment_score,6,hexc_00063,64,604810421,53021,True,0.009862133134759803,2.142086434591942,25170.595562141607,11750.504160648632,41,14164,2571,0.009862133134759803
event_to_sample_alignment_score,7,hexc_00009,10,178298621,43765,False,0.011747441673468353,3.6259487032169244,15097.997442236723,4163.875078773688,40,11515,2211,0.011747441673468353
event_to_sample_alignment_score,8,hexc_00024,25,109813367,23159,False,0.023348936666563864,8.632103006924334,27452.176913513507,3180.2420443190326,41,5780,1212,0.023348936666563864
event_to_sample_alignment_score,9,hexc_00104,105,604432601,22162,True,0.026591194804820948,8.95372083559938,33652.84775716971,3758.532165015498,41,5511,1062,0.026591194804820948
event_to_sample_alignment_score,10,hexc_00183,184,604356173,20686,True,0.027593878197238665,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
event_to_sample_alignment_score,11,hexc_00020,21,30847123,15789,False,0.03227111432174552,6.28187190744635,18142.37311260896,2888.0520615365476,40,3811,891,0.03227111432174552
