gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,global_error_process,envelope_type,envelope_constant,envelope_constant_status,R_upper_max_bound,R_upper_max_location,R_upper_max_label,R_lower_min_bound,R_lower_min_location,R_lower_min_label,theta_error_at_Rmax,theta_error_at_Rmin,upper_margin_to_1,lower_margin_to_minus1,prime_jump_count,prime_power_jump_count,jump_inventory_available,sampled_only,continuous_bound_available,upper_exit_possible,lower_exit_possible,margin_safe,margin_class,needed_data,eval_point_count
gap_026,604208350,604322440,114090,463,1364,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006778450156662394,604208350.0,gap_start,-0.0007553068873594187,604291151.0,prime_left_limit,-13101.539457321167,-14599.937934756279,1.0006778450156661,0.9992446931126406,5631,,True,False,True,False,False,True,margin_safe,,11264
gap_027,604322441,604325296,2855,1364,1356,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006834978252589503,604325269.0,prime_after_jump,-0.0006948732487813111,604324579.0,prime_left_limit,-13212.329220533371,-13432.212235450745,1.000683497825259,0.9993051267512187,146,,True,False,True,False,False,True,margin_safe,,294
gap_028,604325297,604325338,41,1356,1231,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006831646883085417,604325303.0,prime_after_jump,-0.0006849752781569277,604325338.0,gap_end,-13205.889974117279,-13240.889974117279,1.0006831646883085,0.9993150247218431,2,,True,False,True,False,False,True,margin_safe,,6
gap_029,604325339,604335487,10148,1231,184,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006575918620697639,604335323.0,prime_after_jump,-0.0006850270092936076,604325339.0,prime_left_limit,-12711.681622385979,-13241.889974117279,1.0006575918620697,0.9993149729907064,521,,True,False,True,False,False,True,margin_safe,,1044
gap_030,604356173,604356978,805,184,1164,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.00068284578565092,604356941.0,prime_after_jump,-0.0006899688349764242,604356371.0,prime_left_limit,-13200.139306902885,-13337.827934026718,1.000682845785651,0.9993100311650236,40,,True,False,True,False,False,True,margin_safe,,82
gap_031,604356979,604357392,413,1164,1058,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.000682411319451319,604357337.0,prime_after_jump,-0.0006888702254896166,604357199.0,prime_left_limit,-13191.745787501335,-13316.601576566696,1.0006824113194512,0.9993111297745104,20,,True,False,True,False,False,True,margin_safe,,42
gap_032,604357393,604357542,149,1058,1114,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006826420544585425,604357483.0,prime_after_jump,-0.0006856940942562727,604357542.0,gap_end,-13196.20805299282,-13255.20805299282,1.0006826420544586,0.9993143059057438,7,,True,False,True,False,False,True,margin_safe,,16
gap_033,604357543,604358714,1171,1114,301,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006696374856390467,604358647.0,prime_after_jump,-0.0006880798697696408,604357669.0,prime_left_limit,-12944.83062696457,-13301.3293466568,1.000669637485639,0.9993119201302304,71,,True,False,True,False,False,True,margin_safe,,144
gap_034,604360789,604361010,221,301,1062,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006824552934503215,604360937.0,prime_after_jump,-0.0006866732825930395,604360877.0,prime_left_limit,-13192.642917752266,-13274.180692434311,1.0006824552934503,0.9993133267174069,11,,True,False,True,False,False,True,margin_safe,,24
gap_035,604361011,604361110,99,1062,1075,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006824904859333048,604361059.0,prime_after_jump,-0.0006852372985304656,604361011.0,prime_left_limit,-13193.324823856354,-13246.423235535622,1.0006824904859333,0.9993147627014696,5,,True,False,True,False,False,True,margin_safe,,12
gap_036,604361111,604363228,2117,1075,382,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006729395049664415,604363139.0,prime_after_jump,-0.000685180409808403,604361111.0,prime_left_limit,-13008.72020816803,-13245.324823856354,1.0006729395049665,0.9993148195901916,112,,True,False,True,False,False,True,margin_safe,,226
gap_037,604365031,604365196,165,382,1009,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006821920073163212,604365077.0,prime_after_jump,-0.0006860882289581213,604365031.0,prime_left_limit,-13187.607399344444,-13262.925533175468,1.0006821920073163,0.9993139117710419,9,,True,False,True,False,False,True,margin_safe,,20
gap_038,604365197,604365232,35,1009,1286,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006832731574817604,604365199.0,prime_after_jump,-0.0006852616191218459,604365197.0,prime_left_limit,-13208.508953690529,-13246.948332071304,1.0006832731574817,0.9993147383808781,2,,True,False,True,False,False,True,margin_safe,,6
gap_039,604365233,604365312,79,1286,1352,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006834459397933938,604365263.0,prime_after_jump,-0.0006859806651539363,604365312.0,gap_end,-13211.849885821342,-13260.849885821342,1.0006834459397933,0.9993140193348461,3,,True,False,True,False,False,True,margin_safe,,8
gap_040,604365313,604410439,45126,1352,105,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006411075381527569,604410263.0,prime_after_jump,-0.0006860323942403637,604365313.0,prime_left_limit,-12393.94921708107,-13261.849885821342,1.0006411075381527,0.9993139676057596,2268,,True,False,True,False,False,True,margin_safe,,4538
gap_041,604432601,604432650,49,105,1223,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006829881437823294,604432607.0,prime_after_jump,-0.0006852123462108698,604432650.0,gap_end,-13203.88122844696,-13246.88122844696,1.0006829881437824,0.9993147876537891,2,,True,False,True,False,False,True,margin_safe,,6
gap_042,604432651,604432680,29,1223,1419,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006834826341199904,604432657.0,prime_after_jump,-0.0006852640718464878,604432651.0,prime_left_limit,-13213.441626906395,-13247.88122844696,1.00068348263412,0.9993147359281536,2,,True,False,True,False,False,True,margin_safe,,6
gap_043,604432681,604432770,89,1419,1134,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006826094918379822,604432721.0,prime_after_jump,-0.0006851440478107788,604432770.0,gap_end,-13196.562423229218,-13245.562423229218,1.000682609491838,0.9993148559521893,4,,True,False,True,False,False,True,margin_safe,,10
gap_044,604432771,604433380,609,1134,316,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006702458982040943,604433311.0,prime_after_jump,-0.000685195773440314,604432771.0,prime_left_limit,-12957.55056321621,-13246.562423229218,1.0006702458982042,0.9993148042265597,41,,True,False,True,False,False,True,margin_safe,,84
