candidate_id,block_id,x,y,h,right_endpoint,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,D_start,D_end,DeltaD,bridge_excursion_raw,bridge_excursion_argmax,threshold_relevant_flag,forbidden_flag,row_regime,scale_denominator,DeltaD_recomputed,DeltaD_recompute_error,Q_delta_D_recomputed,Q_delta_D_recompute_error,Q_exc_recomputed,Q_exc_recompute_error,line_slope_D,Q_R2Q_recomputed,formula_reconstruction_error,endpoint_path_valid_flag,endpoint_delta_valid_flag,normalization_valid_flag,bridge_excursion_valid_flag,formula_reconstruction_valid_flag,failure_type,status
hexc_00040,41,604672261,604520611,151650,604672261,604672261,negative,negative,True,False,-1617.0683062109456,0.7568596623500748,0.7467076670478365,0.0014698183580815,0.0086821769441567,-13895.06128730599,-132784.31185344377,-118889.25056613778,234.02143940953465,604525630,True,False,threshold_relevant_negative,159217.93201370913,-118889.25056613778,0.0,0.7467076670478365,0.0,0.0014698183580815804,-8.044780119842443e-17,-0.7839713192623659,0.7568596623500747,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00041,42,7117417,7115469,1948,7117417,7117417,negative,negative,False,True,-117.76229972501552,0.1460888226947264,0.1301567329770984,0.007641518998895,0.0082905707187329,-1505.373515836785,-2935.478994847477,-1430.1054790106923,83.96168172265811,7116001,False,False,subthreshold_negative,10987.564348763462,-1430.1054790106923,0.0,0.13015673297709843,-2.7755575615628914e-17,0.007641518998895068,-6.852157730108388e-17,-0.734140389635879,0.1460888226947263,8.326672684688674e-17,True,True,True,True,True,,pass
hexc_00042,43,12781267,12779528,1739,12781267,12781267,negative,negative,False,True,-151.7480364006467,0.1300675391522673,0.1101458902583867,0.0053725661686165,0.014549082725264,-2025.7534664814043,-3255.654084869332,-1229.9006183879278,59.99064002851856,12780269,False,False,subthreshold_negative,11166.105385346242,-1229.9006183879278,0.0,0.1101458902583867,0.0,0.005372566168616575,-7.546047120499111e-17,-0.7072458990154846,0.1300675391522672,8.326672684688674e-17,True,True,True,True,True,,pass
hexc_00043,44,109588091,109577354,10737,109588091,109588091,negative,negative,False,True,-629.3445955758762,0.2415685632788372,0.2225301612998425,0.0066368119233886,0.0124015900556059,-5924.212674655511,-13826.417254912514,-7902.204580257003,235.6779201208592,109583672,False,False,subthreshold_negative,35510.71249892,-7902.204580257003,0.0,0.22253016129984254,-5.551115123125783e-17,0.006636811923388666,-6.591949208711867e-17,-0.7359788190609111,0.241568563278837,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00044,45,12836777,12833438,3339,12836777,12836777,negative,negative,False,True,-163.66723291570224,0.1752468754780604,0.1608095545919656,0.0060864238556851,0.0083508970304095,-2020.026918484228,-4509.468817140625,-2489.441898656397,94.22200439377092,12834759,False,False,subthreshold_negative,15480.68399898904,-2489.441898656397,0.0,0.16080955459196564,-2.7755575615628914e-17,0.006086423855685192,-9.194034422677078e-17,-0.7455651089117691,0.1752468754780602,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00045,46,618029,618028,1,618029,618029,positive,negative,False,True,12.3342906609052,0.0748436752518515,0.0731760324597099,0.0,0.0016676427921415,-546.4975466414396,-559.5084872373448,-13.01094059590514,0.0,618028,False,False,positive_harmless,177.80330742950363,-13.01094059590514,0.0,0.07317603245970992,-2.7755575615628914e-17,0.0,0.0,-13.01094059590514,0.0748436752518514,9.71445146547012e-17,True,True,True,True,True,,pass
hexc_00046,47,12807413,12805898,1515,12807413,12807413,negative,negative,False,True,-205.7621329185172,0.1184377830877646,0.0957330676536776,0.006714545286013,0.0159901701480738,-2004.667713167148,-3002.6634605183744,-997.9957473512264,69.99762783200504,12806707,False,False,subthreshold_negative,10424.775595424973,-997.9957473512266,1.1368683772161603e-13,0.09573306765367763,-2.7755575615628914e-17,0.006714545286013088,-8.760353553682876e-17,-0.6587430675585653,0.1184377830877644,2.0816681711721685e-16,True,True,True,True,True,,pass
hexc_00047,48,3440630,3439819,811,3440630,3440807,positive,negative,False,True,46.90968440981942,0.1225172337511368,0.1072136412049886,0.0089098695882727,0.0063937229578754,-1059.9835425069589,-1751.6610990375343,-691.6775565305757,57.48108875473781,3440485,False,False,positive_harmless,6451.395072088945,-691.6775565305754,-2.2737367544323206e-13,0.1072136412049886,0.0,0.008909869588272725,-2.42861286636753e-17,-0.8528699833915853,0.12251723375113668,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00048,49,33902159,33888759,13400,33902159,33902159,negative,negative,False,True,-291.8733586694325,0.3075518627750951,0.2975764937115444,0.0049814047227133,0.0049939643408373,-3286.909262209392,-13643.06508801648,-10356.155825807087,173.36115126700133,33890762,False,False,subthreshold_negative,34801.659555293445,-10356.155825807087,0.0,0.2975764937115444,0.0,0.0049814047227133606,-6.071532165918825e-17,-0.7728474496870961,0.307551862775095,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00049,50,3457967,3457512,455,3457967,3457967,negative,negative,False,True,-93.6529697629686,0.0793601948576568,0.055366069112823,0.006278619086263,0.0177155066585706,-1032.5412923104789,-1300.260569031474,-267.71927672099514,30.359882641400645,3457702,False,False,subthreshold_negative,4835.439485065229,-267.71927672099514,0.0,0.05536606911282309,-9.020562075079397e-17,0.006278619086263076,-7.546047120499111e-17,-0.5883940147714178,0.07936019485765661,1.942890293094024e-16,True,True,True,True,True,,pass
