block_id,p_star,y,h,post_z,neg_Q,is_tail,is_longa,scale_bin,decade,depth_bin,mu_bin,h_bin,recovery_position,recovery_pos_bin,delayed_risk_proxy,late_recovery_proxy,long_window_proxy,cp_ratio,R_eff_over_P,response_over_obstruction,post_over_obstruction,Q_pp,Qpp_over_denom,shell_pattern,canonical_scaled_E_post,canonical_scaled_response,denom_sqrt_h_logB
297,604724143,604718720,5423,-0.020104447248294032,0.020104447248294032,True,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.007866813025978778,0-0.05,False,False,False,0.1444593757832343,0.1508234806539595,0.8608297513450331,-0.13917024865496697,0.0,0.0,11111,-605.3219137090591,3744.184676667039,30108.856325827302
680,604865039,604864888,3,-0.019754849314279888,0.019754849314279888,True,False,p>=500M,1e8-1e9,0.50-0.55,>=1.00,h<=4,0.44074074074074077,0.25-0.50,False,False,False,0.0585344103602869,-0.0671002855764769,0.6625087842743064,-0.3374912157256936,0.0,0.0,10100,-13.990035387645456,27.46300023452104,708.1823386793789
258,179145961,179143998,1963,-0.018796074136079064,0.018796074136079064,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.015546639919759278,0-0.05,False,False,False,0.0992292790633997,0.1532014335704932,0.8105793540627274,-0.1894206459372726,0.0,0.0,11111,-300.74897400885175,1286.9817219810984,16000.6271432801
608,604715411,604715326,3,-0.01874942984978795,0.01874942984978795,True,False,p>=500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,0.7774869109947644,0.75-0.95,True,True,False,0.0575299398750813,-0.0671011755165007,0.6740926569626206,-0.3259073430373794,0.0,0.0,10100,-13.277690159980471,27.46300023452104,708.1650090885637
118,179650181,179648340,1841,-0.018723683895514986,0.018723683895514986,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.015508021390374332,0-0.05,False,False,False,0.0958698914280892,0.1916144017171235,0.8046969323047646,-0.19530306769523537,0.0,0.0,11111,-290.2174378660643,1195.767607278951,15500.018024528928
181,180635669,180633960,1709,-0.01867278741617868,0.01867278741617868,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.023428571428571427,0-0.05,False,False,False,0.0931836500249432,0.1746974030420038,0.799613050023471,-0.20038694997652903,0.0,0.0,11111,-279.020081487196,1113.386367734558,14942.604725711406
105,604432601,604410439,22162,-0.0185650504340669,0.0185650504340669,True,True,p>=500M,1e8-1e9,0.50-0.55,0.05-0.10,8193<=h<=65536,0.0078789506670248,0-0.05,True,False,True,0.2914811871626422,0.1454137625624069,0.9363078948086352,-0.0636921051913648,0.0,0.0,11111,-1129.9373148132,16610.680795049397,60863.681401035305
350,178894987,178894798,3,-0.018563746874519164,0.018563746874519164,False,False,100M<=p<500M,1e8-1e9,0.50-0.55,>=1.00,h<=4,0.2894736842105263,0.25-0.50,False,False,False,0.0624748732312566,-0.0717906092971274,0.7028605915564855,-0.29713940844351444,0.0,0.0,10100,-11.610182363046729,27.4630002345211,625.4223590488089
183,109726069,109724532,1537,-0.018535174756034445,0.018535174756034445,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.016005121638924456,0-0.05,False,False,False,0.0924099628241718,0.1658094431842625,0.7994244972124783,-0.20057550278752165,0.0,0.0,11111,-249.06377370785867,992.681954192436,13437.357725843489
78,3441797,3441229,568,-0.01826160714045132,0.01826160714045132,False,True,p<100M,1e6-1e7,0.50-0.55,0.10-0.25,257<=h<=1024,0.030716723549488054,0-0.05,False,False,False,0.0865309897820664,0.1379528362347824,0.7889587627918706,-0.21104123720812956,0.0,0.0,11111,-98.59910576164287,368.6039255795927,5399.256757814914
559,179412683,179412616,3,-0.01809724491802191,0.01809724491802191,False,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,0.6277777777777778,0.50-0.75,True,True,False,0.0619950192191761,-0.0717787049782133,0.7080855019329663,-0.29191449806703373,0.0,0.0,10100,-11.32186424801846,27.4630002345211,625.612589060102
184,604356173,604335487,20686,-0.017950843415599656,0.017950843415599656,True,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,8193<=h<=65536,0.007865707434052759,0-0.05,True,False,True,0.2819169646022565,0.1422532695756334,0.9363257779079537,-0.06367422209204636,0.0,0.0,11111,-1055.5320602935026,15521.538308428768,58801.251610062136
219,604167899,604161649,6250,-0.01794450994623471,0.01794450994623471,True,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.007936507936507936,0-0.05,False,False,False,0.1550942530280692,0.1529854407575279,0.8842993238248029,-0.11570067617519704,0.0,0.0,11111,-579.9713449901546,4432.716256869204,32320.266573334306
98,33843191,33842396,795,-0.01786698348384646,0.01786698348384646,False,True,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.02334152334152334,0-0.05,False,False,False,0.0761893412087709,0.1965644599766989,0.7654923483996526,-0.23450765160034745,0.0,0.0,11111,-151.42414938407126,494.2867617555417,8475.081958908948
301,604360789,604358714,2075,-0.017860118525054897,0.017860118525054897,True,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.03127917833800187,0-0.05,False,False,False,0.0905498237696835,0.1666407732193516,0.8027592127569159,-0.19724078724308403,0.0,0.0,11111,-332.61514908516074,1353.725458931366,18623.34500292116
432,604813747,604812190,1557,-0.017778306486607668,0.017778306486607668,True,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.047123623011015914,0-0.05,False,False,False,0.0809591793277333,0.1538200273697585,0.7804040674048985,-0.21959593259510157,0.0,0.0,11111,-286.8240189118285,1019.3204780387792,16133.371259399311
241,40846543,40846297,128,-0.017631206691171575,0.017631206691171575,False,True,p<100M,1e7-1e8,0.50-0.55,0.50-1.00,65<=h<=256,0.3526315789473684,0.25-0.50,False,False,False,0.0576405602980837,0.0504477710083648,0.6941180550641225,-0.30588194493587745,0.0,0.0,11111,-61.26600565262925,139.02697229830062,3474.8617451865503
327,109497203,109497076,3,-0.017588553985587244,0.017588553985587244,False,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,0.43805309734513276,0.25-0.50,False,False,False,0.0638594994842023,-0.0738713916592447,0.7245741960452051,-0.27542580395479477,0.0,0.0,10100,-10.439260685639727,27.46300023452121,593.5258062825443
304,604870961,604869251,1710,-0.01751015553677154,0.01751015553677154,True,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.055248618784530384,0.05-0.25,False,False,False,0.084228112951883,0.1666138046474286,0.792110318952835,-0.20788968104716493,0.0,0.0,11111,-296.0553706547587,1128.0430702274089,16907.637972320623
316,604434563,604433380,1183,-0.017499423222618864,0.017499423222618864,True,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.05511182108626198,0.05-0.25,False,False,False,0.0706267903397897,0.1870483123377319,0.7522268371756938,-0.24777316282430617,0.0,0.0,11111,-246.0764136513368,747.075592184854,14061.97281595378
57,179620853,179616870,3983,-0.01734757717544536,0.01734757717544536,False,True,100M<=p<500M,1e8-1e9,0.55-0.60,0.25-0.50,1025<=h<=8192,0.04712918660287081,0-0.05,False,False,False,0.1434186712486546,0.1763292636761909,0.8790424076278834,-0.12095759237211656,0.0,0.0,11111,-395.495757607358,2874.210176937422,22798.32818194132
12,3279709,3278912,797,-0.017344614750364543,0.017344614750364543,False,True,p<100M,1e6-1e7,0.60-0.65,0.25-0.50,257<=h<=1024,0.0860091743119266,0.05-0.25,False,False,False,0.1060058846880691,0.1733312959379831,0.8363806424388376,-0.16361935756116244,0.0,0.0,11111,-110.22126572475428,563.4231451057462,6354.78315956471
175,12776941,12776609,332,-0.017323802955789655,0.017323802955789655,False,True,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.2905982905982906,0.25-0.50,False,False,False,0.0675855848506355,0.113047076719104,0.7436760665151403,-0.25632393348485977,0.0,0.0,11111,-84.51742159025667,245.2115289653841,4878.687537946786
635,109814437,109814320,3,-0.017119019784247874,0.017119019784247874,False,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.50-1.00,h<=4,0.25949367088607594,0.25-0.50,False,False,False,0.0633755060442757,-0.0738587754017357,0.729879556744082,-0.27012044325591794,0.0,0.0,10100,-10.16375609912765,27.46300023452121,593.7113355333502
370,179411909,179411668,3,-0.017008446329552483,0.017008446329552483,False,False,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,h<=4,0.5418250950570342,0.50-0.75,True,True,False,0.0609062405598658,-0.071778726737172,0.7207437830145735,-0.2792562169854265,0.0,0.0,10100,-10.640693313350678,27.4630002345211,625.6123050382492
