candidate_id,x,source,selected_block_id,y,h,right_endpoint,post_P0_flag,finite_certificate_flag,right_endpoint_control_flag,containing_block_control_flag,x_minus_right_endpoint,partial_interval_used_flag,x_inside_full_block_flag,finite_certificate_outside_block_flag,partial_length,remainder_length,remainder_over_h,E_theta_partial,E_theta_full,E_theta_remainder,theta_additivity_delta,partial_sign,full_sign,sign_known_flag,sign_preserved_flag,sign_mismatch_flag,Q_R2Q_full,channel_full,positive_harmless_flag,negative_transfer_flag,near_forbidden_flag,forbidden_flag,boundary_slack_proxy,O2p4_Q_bdy,O2p4_boundary_local_proxy,boundary_repaid_flag,dangerous_sign_mismatch_flag,invalid_interval_flag,missing_selected_block_flag,missing_y_h_flag,missing_E_theta_flag,partial_full_additivity_failure_flag,boundary_repayment_unknown_for_mismatch_flag,near_forbidden_partial_full_unresolved_flag,forbidden_partial_full_unresolved_flag,partial_full_pass_flag,status
cand_00025,230563,theta,theta_local:26:230560:3,230560.0,3.0,230563.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,21.69655017143579,21.69655017143579,0.0,0.0,positive,positive,True,True,False,0.0944180902326222,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00026,1192781,theta,theta_local:27:1192323:458,1192323.0,458.0,1192781.0,False,True,True,True,0.0,False,True,False,458.0,0.0,0.0,-38.252494546276125,-38.252494546276125,0.0,0.0,negative,negative,True,True,False,0.0967472985369818,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00027,109670797,theta,theta_local:28:109660803:9994,109660803.0,9994.0,109670797.0,False,True,True,True,0.0,False,True,False,9994.0,0.0,0.0,-700.5003791113922,-700.5003791113922,0.0,0.0,negative,negative,True,True,False,0.2345732370876761,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00028,3456977,theta,theta_local:29:3455716:1261,3455716.0,1261.0,3456977.0,False,True,True,True,0.0,False,True,False,1261.0,0.0,0.0,-56.54292508843059,-56.54292508843059,0.0,0.0,negative,negative,True,True,False,0.1341559286414388,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00029,4994789,theta,theta_local:30:4991760:3029,4991760.0,3029.0,4994789.0,False,True,True,True,0.0,False,True,False,3029.0,0.0,0.0,-113.94054074237602,-113.94054074237602,0.0,0.0,negative,negative,True,True,False,0.1879865387221068,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00030,7108243,theta,theta_local:31:7105465:2778,7105465.0,2778.0,7108243.0,False,True,True,True,0.0,False,True,False,2778.0,0.0,0.0,-80.20709910296955,-80.20709910296955,0.0,0.0,negative,negative,True,True,False,0.1766899326140388,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00031,3293113,theta,theta_local:32:3292080:1033,3292080.0,1033.0,3293113.0,False,True,True,True,0.0,False,True,False,1033.0,0.0,0.0,-117.56184933337444,-117.56184933337444,0.0,0.0,negative,negative,True,True,False,0.1154116378424172,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00032,1197619,theta,theta_local:33:1197615:4,1197615.0,4.0,1197619.0,False,True,True,True,0.0,False,True,False,4.0,0.0,0.0,23.99169028406876,23.99169028406876,0.0,0.0,positive,positive,True,True,False,0.0726584885625681,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00033,127,theta,theta_local:34:126:1,126.0,1.0,127.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,3.844187086458591,3.844187086458591,0.0,0.0,positive,positive,True,True,False,0.2157084836048593,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00034,354953,theta,theta_local:35:354952:1,354952.0,1.0,354953.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,11.779740665326448,11.779740665326448,0.0,0.0,positive,positive,True,True,False,0.080127585396028,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00035,39707851,theta,theta_local:36:39704004:3847,39704004.0,3847.0,39707851.0,False,True,True,True,0.0,False,True,False,3847.0,0.0,0.0,-452.5803398765943,-452.5803398765943,0.0,0.0,negative,negative,True,True,False,0.1623741874086595,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00036,1657,theta,theta_local:37:1656:1,1656.0,1.0,1657.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,6.412764017426562,6.412764017426562,0.0,0.0,positive,positive,True,True,False,0.1389495863976313,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00037,155921,theta,theta_local:38:155920:1,155920.0,1.0,155921.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,10.957104747706284,10.957104747706284,0.0,0.0,positive,positive,True,True,False,0.0868104441327406,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00038,39690667,theta,theta_local:39:39682692:7975,39682692.0,7975.0,39690667.0,False,True,True,True,0.0,False,True,False,7975.0,0.0,0.0,-364.0109776889212,-364.0109776889212,0.0,0.0,negative,negative,True,True,False,0.2349256240499423,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00039,30417481,theta,theta_local:40:30409154:8327,30409154.0,8327.0,30417481.0,False,True,True,True,0.0,False,True,False,8327.0,0.0,0.0,-228.7179970545885,-228.7179970545885,0.0,0.0,negative,negative,True,True,False,0.24963148266117,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00040,604672261,theta,theta_local:41:604520611:151650,604520611.0,151650.0,604672261.0,True,False,True,True,0.0,False,True,False,151650.0,0.0,0.0,-1617.0683062109456,-1617.0683062109456,0.0,0.0,negative,negative,True,True,False,0.7568596623500748,negative_transferred_repaid,False,True,True,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00041,7117417,theta,theta_local:42:7115469:1948,7115469.0,1948.0,7117417.0,False,True,True,True,0.0,False,True,False,1948.0,0.0,0.0,-117.76229972501552,-117.76229972501552,0.0,0.0,negative,negative,True,True,False,0.1460888226947264,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00042,12781267,theta,theta_local:43:12779528:1739,12779528.0,1739.0,12781267.0,False,True,True,True,0.0,False,True,False,1739.0,0.0,0.0,-151.7480364006467,-151.7480364006467,0.0,0.0,negative,negative,True,True,False,0.1300675391522673,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00043,109588091,theta,theta_local:44:109577354:10737,109577354.0,10737.0,109588091.0,False,True,True,True,0.0,False,True,False,10737.0,0.0,0.0,-629.3445955758762,-629.3445955758762,0.0,0.0,negative,negative,True,True,False,0.2415685632788372,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00044,12836777,theta,theta_local:45:12833438:3339,12833438.0,3339.0,12836777.0,False,True,True,True,0.0,False,True,False,3339.0,0.0,0.0,-163.66723291570224,-163.66723291570224,0.0,0.0,negative,negative,True,True,False,0.1752468754780604,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00045,618029,theta,theta_local:46:618028:1,618028.0,1.0,618029.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,12.3342906609052,12.3342906609052,0.0,0.0,positive,positive,True,True,False,0.0748436752518515,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00046,12807413,theta,theta_local:47:12805898:1515,12805898.0,1515.0,12807413.0,False,True,True,True,0.0,False,True,False,1515.0,0.0,0.0,-205.7621329185172,-205.7621329185172,0.0,0.0,negative,negative,True,True,False,0.1184377830877646,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00047,3440630,theta,theta_local:48:3439819:811,3439819.0,811.0,3440630.0,False,True,True,True,0.0,False,True,False,811.0,0.0,0.0,46.90968440981942,46.90968440981942,0.0,0.0,positive,positive,True,True,False,0.1225172337511368,positive_harmless,True,False,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00048,33902159,theta,theta_local:49:33888759:13400,33888759.0,13400.0,33902159.0,False,True,True,True,0.0,False,True,False,13400.0,0.0,0.0,-291.8733586694325,-291.8733586694325,0.0,0.0,negative,negative,True,True,False,0.3075518627750951,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00049,3457967,theta,theta_local:50:3457512:455,3457512.0,455.0,3457967.0,False,True,True,True,0.0,False,True,False,455.0,0.0,0.0,-93.6529697629686,-93.6529697629686,0.0,0.0,negative,negative,True,True,False,0.0793601948576568,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00050,12842173,theta,theta_local:51:12840082:2091,12840082.0,2091.0,12842173.0,False,True,True,True,0.0,False,True,False,2091.0,0.0,0.0,-192.29332879440085,-192.29332879440085,0.0,0.0,negative,negative,True,True,False,0.1392439305539144,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00051,1512479,theta,theta_local:52:1512478:1,1512478.0,1.0,1512479.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,13.229260584493224,13.229260584493224,0.0,0.0,positive,positive,True,True,False,0.0713499660129912,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00052,356173,theta,theta_local:53:356170:3,356170.0,3.0,356173.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,22.56633807844032,22.56633807844032,0.0,0.0,positive,positive,True,True,False,0.0917954514179663,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00053,7112297,theta,theta_local:54:7110038:2259,7110038.0,2259.0,7112297.0,False,True,True,True,0.0,False,True,False,2259.0,0.0,0.0,-113.30394854654696,-113.30394854654696,0.0,0.0,negative,negative,True,True,False,0.1547550134720171,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00054,12895717,theta,theta_local:55:12894136:1581,12894136.0,1581.0,12895717.0,False,True,True,True,0.0,False,True,False,1581.0,0.0,0.0,-156.60587200935356,-156.60587200935356,0.0,0.0,negative,negative,True,True,False,0.1217247995908262,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00055,1511449,theta,theta_local:56:1511046:403,1511046.0,403.0,1511449.0,False,True,True,True,0.0,False,True,False,403.0,0.0,0.0,9.625130217388572,9.625130217388572,0.0,0.0,positive,positive,True,True,False,0.0952884508457212,positive_harmless,True,False,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00056,179620853,theta,theta_local:57:179616870:3983,179616870.0,3983.0,179620853.0,False,True,True,True,0.0,False,True,False,3983.0,0.0,0.0,-637.8829200418768,-637.8829200418768,0.0,0.0,negative,negative,True,True,False,0.1434186712486546,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00057,1188361,theta,theta_local:58:1188358:3,1188358.0,3.0,1188361.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,24.97616952660599,24.97616952660599,0.0,0.0,positive,positive,True,True,False,0.0833294497303515,positive_harmless,True,False,False,False,0.0,0.0022962565448292,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00058,293,theta,theta_local:59:292:1,292.0,1.0,293.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,4.680172609017068,4.680172609017068,0.0,0.0,positive,positive,True,True,False,0.1707575979731007,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00059,3290983,theta,theta_local:60:3290975:8,3290975.0,8.0,3290983.0,False,True,True,True,0.0,False,True,False,8.0,0.0,0.0,37.02008815604045,37.02008815604045,0.0,0.0,positive,positive,True,True,False,0.0730965487832678,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00060,1190071,theta,theta_local:61:1190068:3,1190068.0,3.0,1190071.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,24.97904537377347,24.97904537377347,0.0,0.0,positive,positive,True,True,False,0.0832943901091022,positive_harmless,True,False,False,False,0.0,0.0022770928481098,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00061,113166227,theta,theta_local:62:113154493:11734,113154493.0,11734.0,113166227.0,False,True,True,True,0.0,False,True,False,11734.0,0.0,0.0,-570.3217879884924,-570.3217879884924,0.0,0.0,negative,negative,True,True,False,0.2503069484559692,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00062,30816007,theta,theta_local:63:30813688:2319,30813688.0,2319.0,30816007.0,False,True,True,True,0.0,False,True,False,2319.0,0.0,0.0,-215.2921471839013,-215.2921471839013,0.0,0.0,negative,negative,True,True,False,0.1321516982536188,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00063,604810421,theta,theta_local:64:604757400:53021,604757400.0,53021.0,604810421.0,True,False,True,True,0.0,False,True,False,53021.0,0.0,0.0,-1034.3984432700745,-1034.3984432700745,0.0,0.0,negative,negative,True,True,False,0.4494568065190746,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00064,3438889,theta,theta_local:65:3438886:3,3438886.0,3.0,3438889.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,27.10131744255433,27.10131744255433,0.0,0.0,positive,positive,True,True,False,0.0792717980142518,positive_harmless,True,False,False,False,0.0,0.0092756016610594,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00065,1196077,theta,theta_local:66:1196076:1,1196076.0,1.0,1196077.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,12.994557592691232,12.994557592691232,0.0,0.0,positive,positive,True,True,False,0.0711424243631883,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00066,39699197,theta,theta_local:67:39695992:3205,39695992.0,3205.0,39699197.0,False,True,True,True,0.0,False,True,False,3205.0,0.0,0.0,-265.53724747196566,-265.53724747196566,0.0,0.0,negative,negative,True,True,False,0.1495716452263878,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00067,1192069,theta,theta_local:68:1192068:1,1192068.0,1.0,1192069.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,12.991201010838148,12.991201010838148,0.0,0.0,positive,positive,True,True,False,0.0712244136304279,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00068,108581987,theta,theta_local:69:108578163:3824,108578163.0,3824.0,108581987.0,False,True,True,True,0.0,False,True,False,3824.0,0.0,0.0,-400.9453068567673,-400.9453068567673,0.0,0.0,negative,negative,True,True,False,0.1469597990717331,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00069,12847921,theta,theta_local:70:12847029:892,12847029.0,892.0,12847921.0,False,True,True,True,0.0,False,True,False,892.0,0.0,0.0,-139.04176855224262,-139.04176855224262,0.0,0.0,negative,negative,True,True,False,0.0908608054490663,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
