candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,source,E_theta,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,S,E_theta_normalized,positive_flag,negative_flag,threshold_relevant_flag,forbidden_flag,positive_above_0p20_flag,positive_above_0p225_flag,positive_above_0p24_flag,positive_above_0p25_flag,positive_cap_pass_flag,h_bin,p_star_bin,finite_tail_regime,short_window_flag,single_step_flag,sign_consistent,sign_inconsistent_positive_harmless,neg_E_theta_norm,rho_proxy,h_over_x,pstar_over_x,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,positive_formula_prediction,positive_formula_residual,failure_type,status
hexc_00030,31,7108243,7105465,2778,7108243,negative,negative,False,True,theta_local,-80.20709910296955,-2126.957375998616,0.1621275115134674,0.1766899326140388,0.0068229245505902,0.007739496549981,13119.040415432122,-0.006113793125343279,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.006113793125343279,1.0,0.000390813876227923,1.0,15.77676565450406,0.06338434771099696,0.01976901303120424,,,,pass
hexc_00031,32,3293113,3292080,1033,3293113,negative,negative,False,True,theta_local,-117.56184933337444,-703.1382912358818,0.0971366049932867,0.1154116378424172,0.0061349229944132,0.0121401098547171,7238.654174546005,-0.016240843463246078,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.016240843463246078,1.0,0.0003136849540237459,1.0,15.007343875983839,0.06663404319003405,0.01771115337926206,,,,pass
hexc_00032,33,1197619,1197615,4,1197697,positive,negative,False,True,theta_local,23.99169028406876,-27.20127901406522,0.069431568892584,0.0726584885625681,0.0177247165152088,-0.0144977968452248,391.7710552695081,0.06123905776439849,True,False,False,False,False,False,False,False,True,2<=h<=4,1M<=p<100M,finite_zone,True,False,False,True,-0.06123905776439849,1.0,3.3399603713701938e-06,1.0000651292272418,13.995911104131594,0.07144943923692113,0.001827555846306808,0.07037075037949192,-0.000939181486907914,,pass
hexc_00033,34,127,126,1,127,positive,negative,False,True,theta_local,3.844187086458591,-4.520837021458592,0.1926535586334653,0.2157084836048593,0.0,0.0230549249713939,23.466148528612173,0.16381840768506986,True,False,False,False,False,False,False,False,True,h=1,p<1K,finite_zone,True,True,False,True,-0.16381840768506986,1.0,0.007874015748031496,1.0,4.844187086458591,0.2064329849677758,0.08873565094161139,0.18341465050306516,0.009238908130400153,,pass
hexc_00034,35,354953,354952,1,354953,positive,negative,False,True,theta_local,11.779740665326448,-12.456390600326472,0.0762690147674882,0.080127585396028,0.0,0.0038585706285397,163.3217714729985,0.0721259667898836,True,False,False,False,False,False,False,False,True,h=1,100K<=p<1M,finite_zone,True,True,False,True,-0.0721259667898836,1.0,2.8172743997092572e-06,1.0,12.779740665326448,0.07824884918933962,0.0016784738305106986,0.07508185369704568,0.001187161070442519,,pass
hexc_00035,36,39707851,39704004,3847,39707851,negative,negative,False,True,theta_local,-452.5803398765943,-2604.19045438886,0.1371454844597804,0.1623741874086595,0.0110407093348006,0.0141879936140783,18988.52495688672,-0.02383441267313675,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.02383441267313675,1.0,9.688260389614134e-05,1.0,17.497059484292244,0.05715246044043783,0.009842896113245398,,,,pass
hexc_00036,37,1657,1656,1,1657,positive,negative,False,True,theta_local,6.412764017426562,-7.089413952426561,0.129017905192041,0.1389495863976313,6.465466393439502e-17,0.0099316812055901,54.94907037805399,0.11670377630242393,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.11670377630242393,1.0,0.0006035003017501509,1.0,7.4127640174265625,0.13490244632759307,0.024566243134638045,0.1325505573505601,-0.003532652158519084,,pass
hexc_00037,38,155921,155920,1,156007,positive,negative,False,True,theta_local,10.957104747706284,-11.633754682706297,0.081363154764434,0.0868104441327406,0.0,0.0054472893683065,142.98554076951442,0.07663085853812723,True,False,False,False,False,False,False,False,True,h=1,100K<=p<1M,finite_zone,True,True,False,True,-0.07663085853812723,1.0,6.4135042746005994e-06,1.0005515613676157,11.957656157019837,0.08362842908916912,0.0025324897383011444,0.08025536234122654,0.0011077924232074515,,pass
hexc_00038,39,39690667,39682692,7975,39690667,negative,negative,False,True,theta_local,-364.0109776889212,-5972.95270429004,0.2184817075940539,0.2349256240499423,0.0069005695359736,0.0095433469199146,27338.45670681034,-0.013314979027263146,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.013314979027263146,1.0,0.00020092884808411006,1.0,17.496626629858657,0.05715387435275449,0.014174937322052258,,,,pass
hexc_00039,40,30417481,30409154,8327,30417481,negative,negative,False,True,theta_local,-228.7179970545885,-6388.011550910226,0.2357893781039462,0.24963148266117,0.0085348501864403,0.0053072543707834,27092.02425604648,-0.008442263113784956,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.008442263113784956,1.0,0.0002737570543727799,1.0,17.230528034003125,0.05803652668255881,0.016545605288800405,,,,pass
hexc_00040,41,604672261,604520611,151650,604672261,negative,negative,True,False,theta_local,-1617.0683062109456,-118889.25056613778,0.7467076670478365,0.7568596623500748,0.0014698183580815,0.0086821769441567,159217.93201370913,-0.010156320244579683,False,True,True,False,False,False,False,False,True,h>1024,p>=500M,post_P0_tail,False,False,True,False,0.010156320244579683,1.0,0.0002507970181221857,1.0,20.220197151857885,0.049455501966167395,0.01583657217083879,,,,pass
