block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
23,354619,354550,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.55-0.60,11100,True,0.06755931289365094
24,180619079,180557417,61662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.018-0.05,0.55-0.60,11111,False,0.005638291667622916
25,109813367,109790208,23159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.55-0.60,11111,False,0.0008999194478071699
26,230647,230560,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.55-0.60,11100,True,0.07234804507136591
27,1192781,1192323,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,11111,False,0.017090773447309197
28,109670797,109660803,9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.10-0.25,0.55-0.60,11111,False,0.004140102337014184
29,3456977,3455716,1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.008471198843310832
30,4994789,4991760,3029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,11111,False,0.000278578912467588
31,7108243,7105465,2778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.006954878999394392
32,3293113,3292080,1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.005258917529986469
33,1197697,1197615,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.55-0.60,11110,True,0.034471463769132536
34,127,126,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.4011668793555976
35,354953,354952,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,>=1.00,0.55-0.60,10000,True,0.05763984489523281
36,39707851,39704004,3847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.0028680198787687573
37,1657,1656,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.55-0.60,10000,True,0.17131939650571545
38,156007,155920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,>=1.00,0.55-0.60,10000,True,0.06583771705205449
39,39690667,39682692,7975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,11111,False,0.004946143130119183
40,30417481,30409154,8327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,p<100M,0.05-0.10,0.55-0.60,11111,False,0.007930930176912685
41,604672261,604520611,151650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,True,h>65536,p>=500M,0.018-0.05,0.55-0.60,11111,False,0.009502682738794031
42,7117417,7115469,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.00862953631551824
43,12781267,12779528,1739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,11111,False,0.006639093215195053
