extreme_set,rank_in_set,candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,post_P0_flag,tail_flag,finite_certificate_flag,source,scale_bin,depth_bin,mu_bin,spf_class,channel_full,channel_inferred,status
top25_tail_positive_Q,11,cand_00809,810.0,604693769,604693768.0,1.0,604693769.0,19.22023272090724,0.0470095769000363,positive,0.0503376269382549,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,12,cand_01275,1276.0,604849313,604849312.0,1.0,604849313.0,19.220489915550687,0.0470090100708958,positive,0.050311318429549,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,13,cand_01318,1319.0,604141757,604141756.0,1.0,604141757.0,19.21931942538192,0.0470115898145915,positive,0.0503036784341892,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,14,cand_01209,1210.0,604170643,604170642.0,1.0,604170643.0,19.21936723752058,0.0470114844317875,positive,0.0502961014855357,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,15,cand_00949,950.0,604715537,604715536.0,1.0,604715537.0,19.22026871864579,0.0470094975640988,positive,0.050292038029149,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,16,cand_01356,1357.0,604203811,604203810.0,1.0,604203811.0,19.219422134411023,0.0470113634340528,positive,0.0502871937555969,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,17,cand_01388,1389.0,604673087,604673086.0,1.0,604673087.0,19.22019851788621,0.0470096522808173,positive,0.0502840921991392,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,18,cand_01113,1114.0,604357543,604357542.0,1.0,604357543.0,19.219676539369978,0.0470108027105137,positive,0.0502820747847901,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,19,cand_01376,1377.0,604687079,604687078.0,1.0,604687079.0,19.22022165739484,0.0470096012831252,positive,0.0502780299133259,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,20,cand_01148,1149.0,604692527,604692526.0,1.0,604692527.0,19.22023066697293,0.04700958142674,positive,0.0502751394000731,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,21,cand_00915,916.0,604811353,604811352.0,1.0,604811353.0,19.220427154148123,0.0470091483889731,positive,0.0502642768158267,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,22,cand_01454,1455.0,604873177,604873176.0,1.0,604873177.0,19.22052936922738,0.0470089231204707,positive,0.0502486490880784,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,23,cand_00732,733.0,604676711,604676710.0,1.0,604676711.0,19.2202045111894,0.0470096390720288,positive,0.0502399087413142,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,24,cand_01397,1398.0,604811167,604811166.0,1.0,604811167.0,19.220426846614167,0.0470091490667404,positive,0.0502199766170714,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,25,cand_01057,1058.0,604357393,604357392.0,1.0,604357393.0,19.219676291172497,0.0470108032575491,positive,0.0502046417587178,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,1,cand_00679,680.0,604864891,604864888.0,3.0,604865039.0,37.441031337481846,0.0528691966638168,positive,0.0585344103602869,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,2,cand_00607,608.0,604715329,604715326.0,3.0,604715411.0,37.44053674605736,0.0528697920195814,positive,0.0575299398750813,True,False,False,theta,p>=500M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,3,cand_01363,1364.0,604322441,604322440.0,1.0,604322441.0,19.21961845617099,0.0470109307281363,positive,0.0507092541027113,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,4,cand_00977,978.0,604872287,604872286.0,1.0,604872287.0,19.22052789784348,0.0470089263631908,positive,0.0506320408823422,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,5,cand_01303,1304.0,604157051,604157050.0,1.0,604157051.0,19.21934474031213,0.0470115340178585,positive,0.0505596791837698,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,6,cand_00773,774.0,604715861,604715860.0,1.0,604715861.0,19.22026925443476,0.0470094963832677,positive,0.050523556039102,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,7,cand_01374,1375.0,604150991,604150990.0,1.0,604150991.0,19.21933470975736,0.0470115561262263,positive,0.0504467663969889,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,8,cand_01180,1181.0,604810847,604810846.0,1.0,604810847.0,19.220426317523263,0.0470091502327924,positive,0.0504180546017721,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,9,cand_01312,1313.0,604814333,604814332.0,1.0,604814333.0,19.220432081292174,0.0470091375301505,positive,0.0503872665449815,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,10,cand_00662,663.0,604872091,604872087.0,4.0,604872131.0,36.44105514430968,0.0445631600411676,positive,0.0503724694200252,True,False,False,theta,p>=500M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,11,cand_00809,810.0,604693769,604693768.0,1.0,604693769.0,19.22023272090724,0.0470095769000363,positive,0.0503376269382549,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,12,cand_01275,1276.0,604849313,604849312.0,1.0,604849313.0,19.220489915550687,0.0470090100708958,positive,0.050311318429549,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,13,cand_01318,1319.0,604141757,604141756.0,1.0,604141757.0,19.21931942538192,0.0470115898145915,positive,0.0503036784341892,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_post_P0_positive_Q,14,cand_01209,1210.0,604170643,604170642.0,1.0,604170643.0,19.21936723752058,0.0470114844317875,positive,0.0502961014855357,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
