group_field,group_value,rows,E_end_over_h_max,C_end_max,endpoint_residual_fraction_max,affine_capture_fraction_min,E_best_over_h_max,E_gap_over_h_max,ratio_E_end_to_h4_ddR_sq_max,template_count,worst_template_C_end,failures
template_cluster_id,13,8.0,21.21052107518124,4.605488147328277,0.0001153692528827,0.9998846307471172,10.7651352816289,12.195494622173236,3.812272787595143e-11,0.0,4.605488147328277,0.0
template_cluster_id,14,16.0,37.064381685718736,6.088052372123514,0.0003223417146451,0.9996776582853548,21.918402779971714,29.92334393461108,2.1160175752146133e-10,0.0,6.088052372123514,0.0
template_cluster_id,15,9.0,32.74537462401581,5.722357435883904,0.0004669420757839,0.999533057924216,17.089807531792392,15.6555670922246,6.2777230833443135e-12,0.0,5.722357435883904,0.0
template_cluster_id,16,8.0,59.29000543512908,7.700000352930452,0.0005320069009106,0.9994679930990894,15.370701986648015,43.91930344849154,4.036718827156071e-12,0.0,7.700000352930452,0.0
template_cluster_id,17,15.0,51.97483561645937,7.209357503721075,0.0002992154873217,0.9997007845126784,22.83877755768489,30.88330743284049,0.0013717421126794908,0.0,7.209357503721075,0.0
template_cluster_id,18,4.0,36.81771421299473,6.067760230348158,0.0003621431164998,0.9996378568835002,12.981514726358697,25.19667115889838,2.686230041096159e-11,0.0,6.067760230348158,0.0
template_cluster_id,19,9.0,47.732209098918574,6.908850056190145,9.22831606510849e-05,0.9999077168393488,18.89851058340296,35.400860703944744,2.0186512493339613e-10,0.0,6.908850056190145,0.0
template_cluster_id,20,10.0,42.97725121573247,6.555703716286487,0.0004154153049167,0.9995845846950832,25.27816400320945,30.315748322757173,1.0323713531673571e-09,0.0,6.555703716286487,0.0
template_cluster_id,21,8.0,50.81680635690252,7.12859076935284,0.0013550898740644,0.9986449101259356,30.09129137733369,32.741761337916,0.001371742112484281,0.0,7.12859076935284,0.0
template_cluster_id,22,3.0,33.72039514799754,5.806926480333425,0.0001134029659087,0.9998865970340912,29.835499306357605,14.86893726358199,6.724578890835872e-11,0.0,5.806926480333425,0.0
template_cluster_id,23,4.0,45.74617977052387,6.763592223849976,8.612504006920932e-05,0.9999138749599308,35.47977459476777,36.63906076198799,6.087110668034946e-06,0.0,6.763592223849976,0.0
template_cluster_id,24,8.0,64.13704142037176,8.008560508628985,5.4336035126115175e-05,0.9999456639648738,25.237480767773157,38.89956065262014,0.0013717421124828948,0.0,8.008560508628985,0.0
template_cluster_id,25,1.0,16.066194093131383,4.008265721372696,1.1578496022827413e-05,0.9999884215039772,14.459574683818332,1.606619409313198,0.001371742112482858,0.0,4.008265721372696,0.0
template_cluster_id,26,3.0,34.159585568743275,5.844620224509312,0.0001517244341785,0.9998482755658216,25.67240826983171,16.13818331761439,2.017602497622681e-14,0.0,5.844620224509312,0.0
template_cluster_id,27,4.0,55.32747455760799,7.438244050688844,0.0001905539623356,0.9998094460376644,20.79100964997896,40.34231991286319,0.0013717421124828542,0.0,7.438244050688844,0.0
template_cluster_id,28,5.0,56.50973597641633,7.517295788807058,1.8522158874289463e-05,0.9999814778411256,28.959926598778548,27.549809377640567,0.0013717421124828915,0.0,7.517295788807058,0.0
template_cluster_id,29,6.0,21.41023101529821,4.627119083760241,1.968808504954023e-06,0.999998031191495,19.269207913768398,2.141023101528963,0.0013717421124828533,0.0,4.627119083760241,0.0
template_cluster_id,3,1.0,2.1482112713820967,1.4656777515477597,6.803174577721121e-06,0.9999931968254224,1.3889573592259394,0.7592539121560398,-1.168101379821649e-19,0.0,1.4656777515477597,0.0
template_cluster_id,30,4.0,21.91868696008932,4.681739736475033,1.821184040824688e-06,0.9999981788159592,19.72681826408143,2.191868696007889,0.0013717421124828538,0.0,4.681739736475033,0.0
template_cluster_id,32,15.0,25.87160107543095,5.086413380313377,3.543982662961964e-05,0.9999645601733704,23.284440967890124,9.644044406879,0.0013717421124830535,0.0,5.086413380313377,0.0
