block_id,source_row,p_star,y,h,shell_sym_all_2,shell_sym_all_3,R3_q3,R3_non3,R3_rebuilt,R3_over_R2,R3_q3_over_R2,R3_non3_over_R2
88,88,3290641,3290318,323,58.256605450000045,21.194348017481428,15.395138977777776,6.512612770789531,21.907751748567307,0.36381021265772034,0.264264264264264,0.1117918340844476
90,90,179641471,179630689,10782,1708.335592250031,573.3822671071307,379.2802420888889,194.8018040626926,574.0820461515815,0.33563795644621264,0.22201740911417928,0.11403017354811486
91,91,179602723,179595316,7407,1150.961583350015,383.2195217192052,257.5186883555555,126.40061240809571,383.9193007636512,0.3329559624429842,0.22374221006231657,0.10982174751670791
95,95,178011341,178005997,5344,823.4649905500058,276.06281702020567,174.9447611111111,101.11919063480876,276.06395174591984,0.33524535977639897,0.21244954323348053,0.12279719453193703
96,96,3438637,3438262,375,69.27812540000005,27.36189527109193,20.993371333333332,7.276501706169998,28.26987303950333,0.39495721215187374,0.3030303030303028,0.1050331784261875
97,97,30981239,30980149,1090,165.32279924999983,60.69751399773576,39.18762648888889,21.509997306335453,60.69762379522434,0.367145452854022,0.23703703703703727,0.1301090799570131
98,98,33843191,33842396,795,108.6406966500001,35.29985682557379,23.79248751111111,12.528675825104118,36.32116333621523,0.3249229608614974,0.2190016103059579,0.11532212339789066
99,99,4991101,4990677,357,66.12911970000005,25.03798209107687,19.593813244444444,7.459532494632434,27.053345739076878,0.3786226431663335,0.29629629629629606,0.11280253734622796
102,102,33477793,33476547,1246,196.8128562499996,68.14011068510274,46.18541693333333,22.65447279621375,68.83988972954708,0.3462177826358479,0.2346666666666671,0.11510667152473579
103,103,33824779,33823778,1001,177.91882204999973,62.39345772328127,39.18762648888889,23.905610278836747,63.09323676772563,0.3506849753408727,0.2202556538839728,0.13436245813339895
104,104,30358319,30357034,1285,203.1108676499996,67.02191396612749,44.78585884444444,22.750178501274764,67.53603734571921,0.32997699601982683,0.22049956933677906,0.11200867173920917
105,105,604432601,604410439,22162,3342.669550550077,1115.8590090476102,750.1631356444444,365.78304311113345,1115.9461787555779,0.3338227103136719,0.22442036949808453,0.109428418687375
108,108,39634747,39633125,1622,258.2184673999991,84.15117066449642,64.37967208888888,21.171056664496398,85.55072875338529,0.3258913721850117,0.24932249322493308,0.08198893316062053
109,109,33492847,33491912,935,143.27975935,46.79210969686004,37.7880684,9.703820341304452,47.49188874130445,0.3265786452262075,0.26373626373626374,0.06772638637394844
110,110,39655321,39654336,985,152.72677644999993,51.52138020153369,34.98895222222222,17.23220702375587,52.221159245978086,0.3373434665426916,0.22909507445589927,0.11283029357591
111,111,30780011,30777698,2313,395.200215349998,126.26018752527352,88.17215959999999,38.296226649240594,126.46838624924058,0.319484106083937,0.22310756972111662,0.09690335470926961
113,113,30784249,30783029,1220,196.8128562499996,66.40100575947822,47.58497502222222,19.515809781700334,67.10078480392255,0.3373814446101681,0.24177777777777823,0.09915922238794485
116,116,12830269,12829371,898,162.17379354999986,54.91466234659816,41.986742666666665,13.627698724375845,55.61444139104251,0.3386161299215548,0.25889967637540473,0.08403144815240624
117,117,17992327,17991472,705,130.6837365500001,42.83702662817608,29.390719866666664,13.447093005559198,42.83781287222586,0.32779156579890467,0.2248995983935741,0.10289798379321889
118,118,179650181,179648340,1841,240.89893604999924,79.70228956172863,51.78364928888888,27.918640272839735,79.70228956172862,0.33085363874411716,0.21496005809731364,0.11589358064680345
120,120,108561281,108557409,3872,612.4816086499999,209.56676872619312,146.95359933333333,62.626794079500414,209.58039341283373,0.3421601004283366,0.23993144815766929,0.1022508973249648
121,121,108842081,108840439,1642,240.89893604999924,80.23151594565903,51.78364928888888,28.961990036361954,80.74563932525083,0.33305052011108405,0.21496005809731364,0.1202246490219069
125,125,33827861,33826320,1541,258.2184673999991,86.17748101481212,58.78143973333333,28.09584270451044,86.87728243784376,0.3337386434151395,0.227642276422765,0.10880648075796974
128,128,187449539,187440181,9358,1481.6071818500243,497.7114095485145,344.29128986666666,153.42415622176577,497.71544608843243,0.33592669882110177,0.23237690400283004,0.10355251925155431
129,129,40874291,40872504,1787,294.4320329499988,98.21232638200895,68.57834635555555,29.633980026453454,98.21232638200901,0.3335653576752215,0.23291740938799854,0.10064794828722312
