candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,O2_applicable_flag,B3_applicable_flag,endpoint_exclusion_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon_exported,epsilon,epsilon_export_difference,epsilon_abs,epsilon_positive_part,epsilon_negative_part,DeltaD,D_start,D_end,bridge_excursion_raw,scale_denominator,Q_reconstructed,formula_reconstruction_error,positive_flag,negative_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,sign_inconsistent_flag,E_theta_normalized,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,rho_proxy,row_regime,residual_cap_0p03_pass_flag,residual_cap_0p025_pass_flag,failure_type,status
hexc_00020,21,30847123,30831334,15789,30847123,negative,negative,False,True,True,True,True,True,-424.33160930738086,0.338124053326903,0.3244066291128366,0.0060303868534807,0.0076870373605856,0.00768703736058571,1.0928757898653885e-16,0.00768703736058571,0.00768703736058571,0.0,-12121.907568691418,-3291.774805658332,-15413.68237434975,225.3338417937175,37366.399083278666,0.338124053326903,0.0,False,True,False,False,False,False,-0.01135596738560949,17.24455404626836,0.05798932215451494,0.02262403061356729,1.0,finite_negative,True,True,,pass
hexc_00021,22,60209,60208,1,60209,positive,negative,False,True,True,True,True,False,10.005577121783782,0.0940510554686493,0.0881934154907322,0.0,0.005857639977917,0.005857639977917092,9.194034422677078e-17,0.005857639977917092,0.005857639977917092,0.0,-10.682227056783772,-135.82731565956084,-146.5095427163446,0.0,121.12272778353059,0.0940510554686493,0.0,True,False,False,False,False,True,0.08260693352007112,11.005577121783782,0.09086302235079156,0.004075391102211499,1.0,finite_positive,True,True,,pass
hexc_00022,23,354553,354550,3,354619,positive,negative,False,True,True,True,True,False,22.55722059933116,0.0920232096308952,0.088072855820278,0.0146788192753852,-0.010728465464768,-0.010728465464767998,1.734723475976807e-18,0.010728465464767998,0.0,0.010728465464767998,-24.91052046929002,-358.86430389081664,-383.77482436010666,4.1517562320296975,282.8399310693702,0.0920232096308952,0.0,True,False,False,False,False,True,0.07975260251989916,12.778799252687088,0.07825461377286469,0.0029088414165222834,1.0,finite_positive,True,True,,pass
hexc_00023,24,180619079,180557417,61662,180619079,negative,negative,False,True,True,True,True,True,-1166.673386312199,0.5459231094474968,0.5329138719787416,0.0051149881925594,0.0078942492761956,0.007894249276195753,1.5265566588595902e-16,0.007894249276195753,0.007894249276195753,0.0,-47831.82037550756,-7832.904115998194,-55664.72449150575,459.0970686143192,89755.2548180161,0.5459231094474968,0.0,False,True,False,False,False,False,-0.012998385316577796,19.011900835670836,0.052598633279412166,0.01847680995025574,1.0,finite_negative,True,True,,pass
hexc_00024,25,109813367,109790208,23159,109813367,negative,negative,False,True,True,True,True,True,-719.8064293124298,0.3557665519303423,0.3389837450779626,0.0045682420338709,0.0122145648185086,0.012214564818508807,2.0643209364124004e-16,0.012214564818508807,0.012214564818508807,0.0,-17682.881280788435,-6243.548424860049,-23926.429705648483,238.2995725304463,52164.39294669296,0.3557665519303423,0.0,False,True,False,False,False,False,-0.013798807743205282,18.514292819156463,0.054012324951742956,0.014522196119144612,1.0,finite_negative,True,True,,pass
hexc_00025,26,230563,230560,3,230647,positive,negative,False,True,True,True,True,False,21.69655017143579,0.0944180902326222,0.0910569767225814,0.0151761792087925,-0.0118150656987517,-0.0118150656987517,0.0,0.0118150656987517,0.0,0.0118150656987517,-24.04985004133846,-368.1857577200088,-392.2356077613473,4.00831267749993,264.11869696278075,0.0944180902326222,0.0,True,False,False,False,False,True,0.08214696809023421,12.34864368218124,0.08098055347106443,0.0036071634365904106,1.0,finite_positive,True,True,,pass
hexc_00026,27,1192781,1192323,458,1192781,negative,negative,False,True,True,True,True,True,-38.252494546276125,0.0967472985369818,0.0776974809855303,0.0120403626533005,0.0070094548981509,0.007009454898151007,1.0668549377257364e-16,0.007009454898151007,0.007009454898151007,0.0,-325.52679180880466,-623.3057979417131,-948.8325897505176,50.44514412859007,4189.669828156048,0.0967472985369818,0.0,False,True,False,False,False,False,-0.009130193097605441,13.991798113399025,0.07147044231880145,0.01959532102140334,1.0,finite_negative,True,True,,pass
hexc_00027,28,109670797,109660803,9994,109670797,negative,negative,False,True,True,True,True,True,-700.5003791113922,0.2345732370876761,0.2113316628996534,0.0098010101179576,0.0134405640700649,0.013440564070065096,1.960237527853792e-16,0.013440564070065096,0.013440564070065096,0.0,-7240.816620533022,-6062.627144332166,-13303.443764865187,335.81014783297,34262.81003604829,0.2345732370876761,0.0,False,True,False,False,False,False,-0.020444919093745895,18.5129936819663,0.054016115231223266,0.009546060286687162,1.0,finite_negative,True,True,,pass
hexc_00028,29,3456977,3455716,1261,3456977,negative,negative,False,True,True,True,True,True,-56.54292508843059,0.1341559286414388,0.1174356488415478,0.0077614986724626,0.0089587811274282,0.008958781127428405,2.0469737016526324e-16,0.008958781127428405,0.008958781127428405,0.0,-945.3034224797802,-1076.8098138024425,-2022.1132362822227,62.47652506736517,8049.543999669534,0.1341559286414388,0.0,False,True,False,False,False,False,-0.007024363751630143,15.055905065714143,0.06641912230685065,0.019098941489281478,1.0,finite_negative,True,True,,pass
hexc_00029,30,4994789,4991760,3029,4994789,negative,negative,False,True,True,True,True,True,-113.94054074237602,0.1879865387221068,0.1751074858509674,0.0057126820734734,0.0071663707976659,0.007166370797666012,1.1188966420050406e-16,0.007166370797666012,0.007166370797666012,0.0,-2292.6780519420754,-1282.5533183929576,-3575.231370335033,74.79600740040587,13092.975670345444,0.1879865387221068,0.0,False,True,False,False,False,False,-0.00870241751082165,15.42390572693032,0.06483442117089631,0.024625840563417215,1.0,finite_negative,True,True,,pass
hexc_00030,31,7108243,7105465,2778,7108243,negative,negative,False,True,True,True,True,True,-80.20709910296955,0.1766899326140388,0.1621275115134674,0.0068229245505902,0.007739496549981,0.007739496549981204,2.0383000842727483e-16,0.007739496549981204,0.007739496549981204,0.0,-2126.957375998616,-1580.4968693296976,-3707.454245328314,89.51022293063807,13119.040415432122,0.1766899326140388,0.0,False,True,False,False,False,False,-0.006113793125343279,15.77676565450406,0.06338434771099696,0.01976901303120424,1.0,finite_negative,True,True,,pass
hexc_00031,32,3293113,3292080,1033,3293113,negative,negative,False,True,True,True,True,True,-117.56184933337444,0.1154116378424172,0.0971366049932867,0.0061349229944132,0.0121401098547171,0.012140109854717298,1.97758476261356e-16,0.012140109854717298,0.012140109854717298,0.0,-703.1382912358818,-1036.8409135045636,-1739.9792047404453,44.40858594402789,7238.654174546005,0.1154116378424172,0.0,False,True,False,False,False,False,-0.016240843463246078,15.007343875983839,0.06663404319003405,0.01771115337926206,1.0,finite_negative,True,True,,pass
hexc_00032,33,1197619,1197615,4,1197697,positive,negative,False,True,True,True,True,False,23.99169028406876,0.0726584885625681,0.069431568892584,0.0177247165152088,-0.0144977968452248,-0.01449779684522471,9.020562075079397e-17,0.01449779684522471,0.0,0.01449779684522471,-27.20127901406522,-723.0462496968461,-750.2475287109113,6.944030893516242,391.7710552695081,0.0726584885625681,0.0,True,False,False,False,False,True,0.06123905776439849,13.995911104131594,0.07144943923692113,0.001827555846306808,1.0,finite_positive,True,True,,pass
hexc_00033,34,127,126,1,127,positive,negative,False,True,True,True,True,False,3.844187086458591,0.2157084836048593,0.1926535586334653,0.0,0.0230549249713939,0.023054924971393997,9.71445146547012e-17,0.023054924971393997,0.023054924971393997,0.0,-4.520837021458592,-7.288219387840677,-11.809056409299268,0.0,23.466148528612173,0.2157084836048593,0.0,True,False,False,False,False,True,0.16381840768506986,4.844187086458591,0.2064329849677758,0.08873565094161139,1.0,finite_positive,True,True,,pass
hexc_00034,35,354953,354952,1,354953,positive,negative,False,True,True,True,True,False,11.779740665326448,0.080127585396028,0.0762690147674882,0.0,0.0038585706285397,0.003858570628539809,1.0928757898653885e-16,0.003858570628539809,0.003858570628539809,0.0,-12.456390600326472,-338.8765720674441,-351.3329626677706,0.0,163.3217714729985,0.080127585396028,0.0,True,False,False,False,False,True,0.0721259667898836,12.779740665326448,0.07824884918933962,0.0016784738305106986,1.0,finite_positive,True,True,,pass
hexc_00035,36,39707851,39704004,3847,39707851,negative,negative,False,True,True,True,True,True,-452.5803398765943,0.1623741874086595,0.1371454844597804,0.0110407093348006,0.0141879936140783,0.014187993614078506,2.0643209364124004e-16,0.014187993614078506,0.014187993614078506,0.0,-2604.19045438886,-3590.415609090645,-6194.606063479505,209.64678474559517,18988.52495688672,0.1623741874086595,0.0,False,True,False,False,False,False,-0.02383441267313675,17.497059484292244,0.05715246044043783,0.009842896113245398,1.0,finite_negative,True,True,,pass
