rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
C_bridge_sq,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223850025,45.74617977052452,109.04298268701676,279.68905485842146,45.74617977052461,0.3898721841017882,0.0165421719649012,0.0064493327137434,1.3293950372010392e-05
C_bridge_sq,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126676,44.51014034988162,9.4707785115379,13.343184080253373,44.51014034988175,0.7097839956771446,0.0183852514257526,0.0130495572184996,7.352200833734835e-07
C_bridge_sq,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858118,44.30282104878291,9.448779086688774,13.31207287371627,44.30282104878312,0.7097902164691948,0.0184274100815586,0.0130795953907561,7.154629182248774e-07
C_bridge_sq,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726108,44.301348930364064,9.448622690862976,13.311851701452259,44.30134893036435,0.7097902607968611,0.0184277095556904,0.0130798087714223,7.589229592880685e-07
C_bridge_sq,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.655460745638621,44.295157736736584,9.4479649185605,13.310921491277293,44.29515773673692,0.7097904472467818,0.0184289737116236,0.0130807094930725,7.705762945638789e-07
C_bridge_sq,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408736,44.28904182928188,9.447315099767366,13.310002528817508,44.28904182928211,0.7097906314677971,0.0184302229129119,0.013081599559448,7.448955074200035e-07
C_bridge_sq,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833227,44.28886413326633,9.447296218789234,13.309975827666483,44.288864133266515,0.7097906368208294,0.0184302583442049,0.0130816248069056,7.61232388325599e-07
C_bridge_sq,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744914708,44.27285143165968,9.445594643774712,13.307569489829442,44.27285143165986,0.7097911193320223,0.0184335280556581,0.0130839545118638,7.690564429437336e-07
C_bridge_sq,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.55570371628648,42.977251215732366,40.1850159934861,126.9506565792383,42.97725121573253,0.3165404344986885,0.0289409320608848,0.0091609752093495,0.0003997805963526511
C_bridge_sq,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490741,42.09537763075006,85.60944577509645,168.56565457042637,42.095377630750086,0.5078700402716285,0.0218196897816464,0.0110815667281192,8.866595523415063e-05
C_bridge_sq,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,6.487786304142406,42.09137112821778,104.27347431840008,230.75004762122163,42.09137112821822,0.4518892862356661,0.017879575931775,0.0080795888060062,2.777363710741559e-05
C_bridge_sq,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280465,42.01752080974642,9.20277943201654,12.964184634560974,42.017520809746685,0.709861799367085,0.0189123463606488,0.0134251522178237,1.1772522978111859e-06
C_bridge_sq,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.47925206868407,41.9807073695468,9.198762621303104,12.958504137368195,41.980707369547154,0.7098629999103702,0.0189204808195844,0.0134309492743368,1.153044944529206e-06
B_abs_max,1,hexc_00000,1,180530237,179845447,684790,180530237,forbidden_negative,False,True,True,True,2.059215174853389,4.240367136346474,667.0135370697717,1704.0425497324798,4.240367136346575,0.3914300949670945,0.0056973529810874,0.0022301154184481,4.980267198828744e-06
B_abs_max,2,hexc_00023,24,180619079,180557417,61662,180619079,finite_negative,False,False,False,True,3.858204569994385,14.88574250392556,459.0970686143192,958.0629698913689,14.885742503925757,0.4791929998780465,0.0106741713544671,0.0051149881925594,9.100077814527191e-05
