q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
331,71,0.00043013097791186556,9.154994049253868e-06,8.381391604187374e-11,2.9389475127584835e-09,3.6736843909481044e-10
353,66,0.00039984006397441024,8.047901107391193e-06,6.476871223434839e-11,2.409675784079027e-09,1.504364051856577e-10
337,62,0.000375607332824446,8.831425745372332e-06,7.799408069602526e-11,2.3132451060431166e-09,2.2924871307293762e-10
347,59,0.0003574327844619728,8.329030001166064e-06,6.937274076032437e-11,2.203515213131875e-09,3.027569198648056e-10
349,62,0.000375607332824446,8.233705496821789e-06,6.779390620839334e-11,2.1778967947063223e-09,2.3705976443163473e-10
359,54,0.00032714187052451747,7.780769051213022e-06,6.054036702831438e-11,2.107366362555374e-09,2.4721401737344475e-10
367,57,0.00034531641888699066,7.4447968314944685e-06,5.5424999862230076e-11,1.7822670142169072e-09,1.7530666962348922e-10
373,50,0.0003029091393745532,7.206895557669578e-06,5.19393435791575e-11,1.6408472669249429e-09,1.7879813651499802e-10
383,52,0.00031502550494953534,6.834989679165584e-06,4.6717083914300054e-11,1.3823735300989598e-09,1.086182248239971e-10
379,45,0.0002726182254370979,6.980218062012258e-06,4.872344419324216e-11,1.3273087258496092e-09,8.453236855597572e-11
397,45,0.0002726182254370979,6.360837595094522e-06,4.0460254911167866e-11,1.2767062763212902e-09,1.8420438834007395e-10
389,51,0.0003089673221620443,6.6255002252670074e-06,4.389725323501317e-11,1.2061109795645803e-09,8.078173238082994e-11
401,52,0.00031502550494953534,6.234413965087282e-06,3.8867917488075326e-11,1.1340165732448292e-09,7.656037398418095e-11
433,58,0.0003513746016744817,5.345992643914122e-06,2.8579637348783904e-11,1.0564489453814096e-09,1.4865095854762647e-10
409,47,0.00028473459101208,5.992617095738051e-06,3.591145965613195e-11,9.939511259996664e-10,8.696801492554565e-11
421,47,0.00028473459101208,5.6554688383667e-06,3.1984327781736795e-11,8.300346364167013e-10,1.4684508562285717e-10
443,37,0.00022415276313716937,5.1070957989029956e-06,2.6082427499172626e-11,8.255311258580057e-10,1.8457710982475814e-10
419,40,0.00024232731149964257,5.709652738920419e-06,3.2600134399061443e-11,7.82640222665178e-10,1.506061193035579e-10
467,46,0.00027867640822458895,4.59512365477755e-06,2.1115161402696188e-11,7.514365387576303e-10,6.620781110488578e-11
439,41,0.00024838549428713363,5.200694812826994e-06,2.7047226536165604e-11,7.248334241033234e-10,8.042955690287497e-11
431,46,0.00027867640822458895,5.395780499649274e-06,2.911444720039537e-11,6.786633272866929e-10,4.7324337534341906e-11
457,43,0.00026050185986211576,4.798648700525932e-06,2.3027029351059217e-11,6.538490011093676e-10,1.224182647102965e-10
463,43,0.00026050185986211576,4.674950679270334e-06,2.1855163853610153e-11,6.164579269620773e-10,5.0622801472073646e-11
461,42,0.0002544436770746247,4.715646515137225e-06,2.2237322055725853e-11,5.457249477167346e-10,4.73619151805896e-11
449,42,0.0002544436770746247,4.9713649379573655e-06,2.471446934635184e-11,5.348120972347413e-10,6.798432978531746e-11
