candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,C_minus_flag,V2,sqrt_V2,V2_source,V2_available_flag,Q_exc_over_sqrt_V2,Q_exc_over_sqrt_V2_global,row_regime,Q_exc_above_0p025_flag,variance_ratio_above_constant_flag,missing_Q_exc_flag,missing_V2_flag,invalid_V2_flag
hexc_00050,51,12842173,12840082,2091,12842173,negative,False,True,-192.29332879440085,0.1392439305539144,0.1199057486653474,0.0050051051752984,0.0143330767132684,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2423902813453288,0.2423902813453288,finite_negative,False,False,False,False,False
hexc_00051,52,1512479,1512478,1,1512479,positive,False,True,13.229260584493224,0.0713499660129912,0.0686807082255686,0.0,0.0026692577874225,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00052,53,356173,356170,3,356243,positive,False,True,22.56633807844032,0.0917954514179663,0.0880421204440856,0.0146736966602346,-0.0109203656863539,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.7106267175770637,0.7106267175770637,finite_positive,False,False,False,False,False
hexc_00053,54,7112297,7110038,2259,7112297,negative,False,True,-113.30394854654696,0.1547550134720171,0.1421341086327225,0.0030623697626775,0.0095585350766169,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.14830630773199935,0.14830630773199935,finite_negative,False,False,False,False,False
hexc_00054,55,12895717,12894136,1581,12895717,negative,False,True,-156.60587200935356,0.1217247995908262,0.1031699645978112,0.0082557947953519,0.010299040197663,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3998166578098617,0.3998166578098617,finite_negative,False,False,False,False,False
hexc_00055,56,1511449,1511046,403,1511527,positive,False,True,9.625130217388572,0.0952884508457212,0.0811829553542681,0.007718928919738,0.006386566571715,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.37381699025502335,0.37381699025502335,finite_positive,False,False,False,False,False
hexc_00056,57,179620853,179616870,3983,179620853,negative,False,True,-637.8829200418768,0.1434186712486546,0.1108425832777827,0.0081468555780067,0.024429232392865,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.39454088305248736,0.39454088305248736,finite_negative,False,False,False,False,False
hexc_00057,58,1188361,1188358,3,1188511,positive,False,True,24.97616952660599,0.0833294497303515,0.0806391928862905,0.0134398679639979,-0.0107496111199369,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.6508741101216323,0.6508741101216323,finite_positive,False,False,False,False,False
hexc_00058,59,293,292,1,293,positive,False,True,4.680172609017068,0.1707575979731007,0.1660290921582204,5.505631574898212e-17,0.0047285058148801,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,2.6663007862641786e-15,2.6663007862641786e-15,finite_positive,False,False,False,False,False
hexc_00059,60,3290983,3290975,8,3291137,positive,False,True,37.02008815604045,0.0730965487832678,0.068097615704397,0.0205672364492246,-0.0155683033703539,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.9960426514166575,0.9960426514166575,finite_positive,False,False,False,False,False
hexc_00060,61,1190071,1190068,3,1190143,positive,False,True,24.97904537377347,0.0832943901091022,0.080631858151701,0.0134386455041789,-0.0107761135467777,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.650814908093087,0.650814908093087,finite_positive,False,False,False,False,False
hexc_00061,62,113166227,113154493,11734,113166227,negative,False,True,-570.3217879884924,0.2503069484559692,0.2349919129337335,0.0041822745120619,0.0111327610101736,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2025417369139787,0.2025417369139787,finite_negative,False,False,False,False,False
hexc_00062,63,30816007,30813688,2319,30816007,negative,False,True,-215.2921471839013,0.1321516982536188,0.1136507642000766,0.0075446709207132,0.0109562631328288,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.36537791776185097,0.36537791776185097,finite_negative,False,False,False,False,False
hexc_00063,64,604810421,604757400,53021,604810421,negative,True,False,-1034.3984432700745,0.4494568065190746,0.436528398028676,0.0016779826148503,0.0112504258755482,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.08126236389865395,0.08126236389865395,post_P0_negative_tail,False,False,False,False,False
hexc_00064,65,3438889,3438886,3,3439001,positive,False,True,27.10131744255433,0.0792717980142518,0.0750723212794575,0.0125120542877309,-0.0083125775529367,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.605941384404636,0.605941384404636,finite_positive,False,False,False,False,False
hexc_00065,66,1196077,1196076,1,1196077,positive,False,True,12.994557592691232,0.0711424243631883,0.0698053209783983,0.0,0.0013371033847899,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00066,67,39699197,39695992,3205,39699197,negative,False,True,-265.53724747196566,0.1495716452263878,0.1316093417511963,0.0085253544488815,0.0094369490263099,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.4128710568624238,0.4128710568624238,finite_negative,False,False,False,False,False
hexc_00067,68,1192069,1192068,1,1192069,positive,False,True,12.991201010838148,0.0712244136304279,0.0698216715498185,0.0,0.0014027420806093,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
