scope,rows,Q_exc_max,Q_exc_mean,Q_exc_median,Q_exc_q95,Q_exc_q99,pass_Q_exc_le_0p05_frac,pass_Q_exc_le_0p10_frac,pass_Q_exc_le_0p25_frac,exc_over_delta_max,exc_over_delta_mean,exc_over_delta_median,exc_over_delta_q95,endpoint_dominated_2pct_frac,endpoint_line_r2_min,endpoint_line_r2_mean,endpoint_line_r2_median,rms_diff_norm_max,rms_diff_norm_mean,mean_abs_diff_norm_max,zero_crossings_max,zero_crossings_mean,max_abs_residual_slope_max,max_abs_curvature_max,near_linear_endpoint_dominated_frac,small_absolute_excursion_frac,large_excursion_frac,worst_Q_block_id,worst_Q_p_star,worst_Q_y,worst_Q_h,worst_Q_exc,worst_Q_exc_over_delta,worst_ratio_block_id,worst_ratio_p_star,worst_ratio_y,worst_ratio_h,worst_ratio_exc_over_delta,worst_ratio_Q_exc
mu:0.10-0.25,61,0.012866187364944506,0.006220380163660669,0.00574082804089952,0.009801010117957643,0.011770900546858216,1.0,1.0,1.0,0.11037931928530716,0.05919275056929678,0.05871013219300474,0.0934875866032049,0.0,0.953845721321826,0.9913991140805716,0.9929421105840595,0.004688379383159726,0.0020847899288053387,0.003075927274865427,11,5.786885245901639,19.182203343912988,19.9106671907939,0.0,1.0,0.0,5,356077,355293,784,0.012866187364944506,0.09517838355565865,377,187427707,187426768,939,0.11037931928530716,0.007160848019296187
depth:0.65-0.70,5,0.012866187364944506,0.0071709247389926305,0.007638782450585998,0.011821532210364128,0.01265725633402843,1.0,1.0,1.0,0.09517838355565865,0.047312371427673514,0.05111297035524889,0.09070401171757371,0.4,0.982435493512823,0.9928101615658165,0.9932997713476018,0.004688379383159726,0.002521520964038067,0.0029171609678567433,14,6.6,14.106316422083637,14.873095347344588,0.4,0.6,0.0,5,356077,355293,784,0.012866187364944506,0.09517838355565865,5,356077,355293,784,0.09517838355565865,0.012866187364944506
h:65<=h<=256,3,0.01271445729899623,0.009014971274349116,0.00853912222235375,0.012296923791331982,0.012630950597463381,1.0,1.0,1.0,0.19614403119405235,0.16986125693261944,0.19265238764993126,0.19579486683964023,0.0,0.8773930395407324,0.9052035884753069,0.8807115543537705,0.005268336232529328,0.003962351877225544,0.004282781571016569,8,4.666666666666667,16.25302474527325,17.345688046266787,0.0,1.0,0.0,14,1195669,1195386,205,0.01271445729899623,0.19614403119405235,14,1195669,1195386,205,0.19614403119405235,0.01271445729899623
depth:0.60-0.65,3,0.01271445729899623,0.008878349964969433,0.01140626154171027,0.012583637723267635,0.012688293383850512,1.0,1.0,1.0,0.19614403119405235,0.1191196382472862,0.15546458056940837,0.19207608613158794,0.3333333333333333,0.8807115543537705,0.9431563713348315,0.9488369824627791,0.005268336232529328,0.003427242484451851,0.004282781571016569,3,2.3333333333333335,14.094675813484173,14.886617719511378,0.3333333333333333,0.6666666666666666,0.0,14,1195669,1195386,205,0.01271445729899623,0.19614403119405235,14,1195669,1195386,205,0.19614403119405235,0.01271445729899623
h:1025<=h<=8192,75,0.011040709334800693,0.005995783094410636,0.005732442374278748,0.00835058874773787,0.010524101921302495,1.0,1.0,1.0,0.11408951482251108,0.060374185435921476,0.06090362648766412,0.0966215710160145,0.0,0.9737524522223648,0.9919770272917913,0.9931056464236081,0.0033562296138435165,0.0019778943845229157,0.0028350359755854515,14,5.84,19.26798014936685,20.104035108564858,0.0,1.0,0.0,36,39707851,39704004,3847,0.011040709334800693,0.08050362998308207,181,180635669,180633960,1709,0.11408951482251108,0.008350838332214333
scale:100M<=p<500M,56,0.010267555200510526,0.005624519110749883,0.005278255897953792,0.008581863364619528,0.010010955405106442,1.0,1.0,1.0,0.23779336094866635,0.07047257695928628,0.06753413416374363,0.16068356656670382,0.10714285714285714,0.7506821577643364,0.981598425189694,0.9916625968056443,0.0047037960237479295,0.001938208244309123,0.0036845246766081573,9,5.142857142857143,18.14246521926907,18.932896377223187,0.10714285714285714,0.8928571428571429,0.0,321,109471171,109470995,14,0.010267555200510526,0.18471342034934896,276,108562291,108561847,313,0.23779336094866635,0.009105982863413702
h:8193<=h<=65536,18,0.009801010117957643,0.005049088397733285,0.005048196457636417,0.00872477417616793,0.009585762929599699,1.0,1.0,1.0,0.04637738606453616,0.01908105289177542,0.018193250350364842,0.03772399326355386,0.6666666666666666,0.998406600867123,0.9993371035749793,0.9996045624647074,0.0021168699270145627,0.0013845514104692761,0.0011780398134151253,14,5.666666666666667,19.11930148267129,20.04000112536778,0.6666666666666666,0.3333333333333333,0.0,28,109670797,109660803,9994,0.009801010117957643,0.04637738606453616,28,109670797,109660803,9994,0.04637738606453616,0.009801010117957643
mu:0.05-0.10,14,0.008534850186440335,0.0053698339208032575,0.005205983361178201,0.007818284080006548,0.008391536965153577,1.0,1.0,1.0,0.03889727601150021,0.022673202087112054,0.01988267826886304,0.03714204716875183,0.5,0.9981028262942337,0.9990421514574892,0.9989634033421257,0.0021168699270145627,0.001542123596309946,0.0012777487910334774,14,5.571428571428571,17.451512728755006,18.39535320480536,0.5,0.5,0.0,40,30417481,30409154,8327,0.008534850186440335,0.03619692394573347,87,109467389,109460158,7231,0.03889727601150021,0.007432440791926819
tail:p_star>=500M,22,0.006921461508882129,0.0047873360747636125,0.0051218934722196685,0.00672093617944219,0.0068819729656546475,1.0,1.0,1.0,0.14481076384731076,0.060512511292745375,0.055211604449832016,0.13843329668597482,0.18181818181818182,0.9203280722206659,0.9845027310187642,0.9943387068902825,0.003220478503285852,0.0017113522272631935,0.002747924317648514,11,5.090909090909091,19.26798014936685,20.104035108564858,0.18181818181818182,0.8181818181818182,0.0,223,604848841,604844050,4791,0.006921461508882129,0.057207502358006486,463,604208581,604207847,503,0.14481076384731076,0.00603335988273422
scale:p>=500M,22,0.006921461508882129,0.0047873360747636125,0.0051218934722196685,0.00672093617944219,0.0068819729656546475,1.0,1.0,1.0,0.14481076384731076,0.060512511292745375,0.055211604449832016,0.13843329668597482,0.18181818181818182,0.9203280722206659,0.9845027310187642,0.9943387068902825,0.003220478503285852,0.0017113522272631935,0.002747924317648514,11,5.090909090909091,19.26798014936685,20.104035108564858,0.18181818181818182,0.8181818181818182,0.0,223,604848841,604844050,4791,0.006921461508882129,0.057207502358006486,463,604208581,604207847,503,0.14481076384731076,0.00603335988273422
shape:near_linear_endpoint_dominated,15,0.006030386853480715,0.0038103931027401953,0.0041822745120619845,0.0055175744903571975,0.005927824380856012,1.0,1.0,1.0,0.01938165385821932,0.011027155462182246,0.013022843185199338,0.019035108667951214,1.0,0.998822200353522,0.9997214174674492,0.9997255836925049,0.001742626079276771,0.0011147357534638978,0.001120783309298251,14,5.533333333333333,19.11930148267129,20.04000112536778,1.0,0.0,0.0,21,30847123,30831334,15789,0.006030386853480715,0.01858897541635377,184,604356173,604335487,20686,0.01938165385821932,0.005297797763304263
mu:0.018-0.05,6,0.005297797763304263,0.003463934164343777,0.0036115090286334916,0.005252095370618066,0.005288657284767023,1.0,1.0,1.0,0.01938165385821932,0.009151024007330364,0.006721038576327233,0.018721218733672492,1.0,0.9995661661205235,0.9998254289893943,0.9998701422885335,0.0016670254954707356,0.0009900221756516852,0.0010787970482161317,9,5.833333333333333,19.11930148267129,20.04000112536778,1.0,0.0,0.0,184,604356173,604335487,20686,0.005297797763304263,0.01938165385821932,184,604356173,604335487,20686,0.01938165385821932,0.005297797763304263
h:h>65536,3,0.003787590185198272,0.0024958413205760123,0.0022301154184481845,0.003631842708523263,0.0037564406898632705,1.0,1.0,1.0,0.0044411356770266905,0.002547414427617734,0.001968398642393234,0.004193861973563345,1.0,0.9999537690955725,0.9999781233484534,0.9999866973176978,0.0012029100555803675,0.0008841808018745992,0.0007761973581299689,4,3.3333333333333335,2.43929215461867,3.4475152296146616,1.0,0.0,0.0,7,30774449,30670319,104130,0.003787590185198272,0.0044411356770266905,7,30774449,30670319,104130,0.0044411356770266905,0.003787590185198272
mu:0.01-0.018,1,0.003787590185198272,0.003787590185198272,0.003787590185198272,0.003787590185198272,0.003787590185198272,1.0,1.0,1.0,0.0044411356770266905,0.0044411356770266905,0.0044411356770266905,0.0044411356770266905,1.0,0.9999537690955725,0.9999537690955725,0.9999537690955725,0.0012029100555803675,0.0012029100555803675,0.0007761973581299689,3,3.0,2.43929215461867,3.4475152296146616,1.0,0.0,0.0,7,30774449,30670319,104130,0.003787590185198272,0.0044411356770266905,7,30774449,30670319,104130,0.0044411356770266905,0.003787590185198272
depth:>=0.70,2,0.0022416133345536226,0.0022358643765009035,0.0022358643765009035,0.0022410384387483505,0.002241498355392568,1.0,1.0,1.0,0.003374101030683164,0.0023034049970582214,0.0023034049970582214,0.0032670314273206694,1.0,0.9999699089579047,0.9999819062949973,0.9999819062949973,0.000889777047863694,0.0008270279918620737,0.0005518682157844923,9,6.5,16.144443600077466,17.084921396115078,1.0,0.0,0.0,3,30974597,30910184,64413,0.0022416133345536226,0.003374101030683164,3,30974597,30910184,64413,0.003374101030683164,0.0022416133345536226
mu:0.006-0.01,1,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,0.0022301154184481845,1.0,1.0,1.0,0.0012327089634332786,0.0012327089634332786,0.0012327089634332786,0.0012327089634332786,1.0,0.99999390363209,0.99999390363209,0.99999390363209,0.000889777047863694,0.000889777047863694,0.0005518682157844923,4,4.0,1.1135130555267096,1.3773537228269936,1.0,0.0,0.0,1,180530237,179845447,684790,0.0022301154184481845,0.0012327089634332786,1,180530237,179845447,684790,0.0012327089634332786,0.0022301154184481845
