block_id,p_star,start_prime,worst_prime,end_prime,covered_y,covered_h,d_start,d_worst,d_end,Q_tail_start,Q_tail_max_inside,Q_tail_end,candidate_crossing,first_crossing_inside_flag,covered_flag,finite_certificate_flag,covered_by_block_or_certificate,local_violation_flag,absorbed_by_HExc_flag,endpoint_favorable_flag_final,endpoint_repayment_norm,accumulation_proxy,Q_local,Q_post_response,Q_exc,Q_o2p4_total,Q_bdy,Q_pp,O2_total_with_o2p4,cross_Q,cross_Q_y,cross_Q_h,is_tail,B3_block_pass
65,3439001,3438647,3438833,3439001,3438886.0,3.0,0.5018857380107127,0.5480401426356053,0.49774264118639266,0.007542952042850715,0.1921605705424212,0.0,False,False,True,True,True,False,False,True,0.050297501449212606,0.0,0.0792717980142518,0.0092756016610594,,0.0092756016610594,0.0092756016610594,0.0,0.0394267072610594,,,,False,True
66,1196077,1195679,1195811,1196077,1196076.0,1.0,0.5018218696056503,0.547773217609015,0.49625517182562934,0.007287478422601357,0.19109287043605994,0.0,False,False,True,True,True,False,False,True,0.051518045783385646,0.0,0.0711424243631883,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
67,39699197,39693751,39695941,39699197,39695992.0,3205.0,0.5005820093143163,0.5473945756897027,0.49704885500864066,0.0023280372572651586,0.18957830275881093,0.0,False,False,True,True,True,False,True,True,0.050345720681062064,0.0,0.1495716452263878,0.0,0.0085253544488815,0.0,0.0,0.0,0.0301511056,,,,False,True
68,1192069,1191571,1191833,1192069,1192068.0,1.0,0.5048772170148954,0.5469392600349418,0.49750162355087646,0.01950886805958163,0.18775704013976702,0.0,False,False,True,True,True,False,False,True,0.04943763648406532,0.0,0.0712244136304279,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
69,108581987,108573599,108578039,108581987,108578163.0,3824.0,0.5003883292325686,0.5466631288926747,0.4998277736184274,0.0015533169302743843,0.18665251557069862,0.0,False,False,True,True,True,False,True,True,0.04683535527424725,0.0,0.1469597990717331,0.0271615657187839,0.0043804824344325,0.0,0.0,0.0,0.0301511056,,,,False,True
70,12847921,12846403,12847007,12847921,12847029.0,892.0,0.5016458193482172,0.5432900203093735,0.49819168261092006,0.0065832773928686805,0.17316008123749382,0.0,False,False,True,True,True,False,True,True,0.045098337698453395,0.0,0.0908608054490663,0.0,0.0077829840818417,0.0,0.0,0.0,0.0301511056,,,,False,True
71,1191481,1191097,1191221,1191481,1191480.0,1.0,0.5027184128703867,0.5428951223217148,0.4975351955316158,0.01087365148154662,0.1715804892868591,0.0,False,False,True,True,True,False,False,True,0.045359926790098995,0.0,0.0710316103925829,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
72,12843647,12842779,12843151,12843647,12843190.0,457.0,0.5036413628678407,0.5413127420473837,0.4989238703604324,0.014565451471362678,0.16525096818953466,0.0,False,False,True,True,True,False,True,True,0.042388871686951296,0.0,0.0679786634633438,0.0122200993213202,0.0081632419242064,0.0,0.0,0.0,0.0301511056,,,,False,True
73,40882169,40876393,40877191,40882169,40877269.0,4900.0,0.5011107424400572,0.540882856167803,0.4968282854496972,0.004442969760228621,0.16353142467121184,0.0,False,False,True,True,True,False,True,True,0.04405457071810576,0.0,0.1837301433813745,0.0,0.0069729630121156,0.0,0.0,0.0,0.0301511056,,,,False,True
74,1186291,1186057,1186127,1186291,1186290.0,1.0,0.5013871005136341,0.5407802134133265,0.4920553692906016,0.005548402054536439,0.16312085365330597,0.0,False,False,True,True,True,False,False,True,0.048724844122724896,0.0,0.0716803042452162,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
75,113195507,113166673,113182453,113195507,113182659.0,12848.0,0.5002176470995406,0.540411260645798,0.49962649782275975,0.000870588398162564,0.16164504258319212,0.0,False,False,True,True,True,False,True,True,0.04078476282303826,0.0,0.2647255241959858,0.0134234864192398,0.0052963922956069,0.0002378661538515,0.0,0.0002378661538515,0.0303889717538515,,,,False,True
76,2879,2861,2861,2879,2878.0,1.0,0.5383936210858575,0.5383936210858575,0.3509650451203691,0.15357448434343013,0.15357448434343013,0.0,False,False,True,True,True,False,False,True,0.18742857596548848,0.0,0.1282261417306278,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
77,39674417,39671011,39673181,39674417,39673239.0,1178.0,0.5012431167633005,0.5400354849372387,0.4993984061105252,0.004972467053201868,0.16014193974895496,0.0,False,False,True,True,True,False,True,True,0.04063707882671352,0.0,0.0933658727593846,0.0078754107526163,0.0048863359951688,0.0,0.0,0.0,0.0301511056,,,,False,True
78,3441797,3441019,3441211,3441797,3441229.0,568.0,0.5050909073743465,0.5395140348759366,0.49921414115781265,0.020363629497385904,0.15805613950374653,0.0,False,False,True,True,True,False,True,True,0.040299893718123966,0.0,0.0865309897820664,0.0182616071404513,0.0054337359968187,0.0,0.0,0.0,0.0301511056,,,,False,True
79,109546081,109527797,109535411,109546081,109535495.0,10586.0,0.5011850018956672,0.5395123641595936,0.49992653448194635,0.004740007582668682,0.15804945663837433,0.0,False,False,True,True,True,False,True,True,0.03958582967764725,0.0,0.2408302537232801,0.0064669537032203,0.0043289464415077,0.0,0.0,0.0,0.0301511056,,,,False,True
80,1198607,1198399,1198451,1198607,1198510.0,3.0,0.5101667747953835,0.5391643679924852,0.4990824451204216,0.040667099181534105,0.15665747196994095,0.0,False,False,True,True,True,False,False,True,0.04008192287206364,0.0,0.0831464357639209,0.0022111566240151,,0.0022111566240151,0.0022111566240151,0.0,0.0323622622240152,,,,False,True
81,1512197,1511927,1512041,1512197,1512196.0,1.0,0.5041782792878873,0.5390922629679531,0.4936198932253948,0.016713117151549106,0.15636905187181238,0.0,False,False,True,True,True,False,False,True,0.04547236974255829,0.0,0.0705955645536329,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
82,12782599,12781271,12781939,12782599,12782006.0,494.0,0.5015127098338377,0.5390778316381877,0.48263642958479963,0.006050839335350666,0.1563113265527507,0.0,False,False,True,True,True,False,True,True,0.056441402053388025,0.0,0.0796044258439215,0.0,0.0108684538700757,0.0,0.0,0.0,0.0301511056,,,,False,True
